"K" "migration_type" "init_migration_rate" "migration_edge_only" "migration_rate_scales_with_K" "mu_driver_birth" "mu_passenger" "mu_driver_migration" "normal_birth_rate" "baseline_death_rate" "s_driver_birth" "s_passenger" "s_driver_migration" "max_relative_birth_rate" "max_relative_migration_rate" "init_pop" "seed" "biopsy_size_per_sample" "Generation" "NumCells" "TotalBirths" "TotalDeaths" "TotalMigrations" "Passengers" "Drivers" "VarPassengers" "VarDrivers" "MeanBirthRate" "MeanMigrationRate" "VarBirthRate" "VarMigRate" "NumClones" "NumGenotypes" "NumDriverGenotypes" "NumDemes" "NumNon-EmptyDemes" "MatrixColumns" "DriverMatrixColumns" "EverGenotypes" "CellsWith0Drivers" "CellsWith1Drivers" "CellsWith2Drivers" "CellsWith3Drivers" "CellsWith4Drivers" "CellsWith5Drivers" "CellsWith6Drivers" "CellsWith7Drivers" "CellsWith8Drivers" "CellsWith9Drivers" "CellsWith10Drivers" "maxgen" "gen_adj" "SmoothNumCells" "SmoothRadius" "GrowthRate" "RadiusGrowthRate" "mean_autocor" "log_mean_autocor" "sqrt_mean_autocor" "skewness" "Population" "Parent" "Identity" "DriverIdentity" "DriverMutations" "MigrationMutations" "Immortal" "PassengerMutations" "BirthRate" "MigrationRate" "OriginTime" "Descendants" "pop_size" "VAF" "Diversity" "Diversity2" "Diversity_Descendants" "case"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0 0 0 10 10 1 9045000 100 535.287842 1000000 50522375 49522376 0 105.356453 0.004455 87.863762 0.004432 1 0 0 0 381101 381101 68 1 1 3057032 120 9611757 995548 4449 3 0 0 0 0 0 0 0 0 535.287842 1 972132.752807511 556.272834049708 18184.4924825888 5.22185463826167 0 -Inf 0 NA 995548 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.00896079175926 1.00896080080036 1.00892684165088 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0.1 0 0 10 10 1 9045000 100 405.819122 1000000 8887006 7887007 0 86.930565 0.928208 55.87854 0.067488 1.174564 0 0.003019989 0 331561 331561 54 1 1 680544 55 1691363 72215 927362 423 0 0 0 0 0 0 0 0 405.819122 1 133026.757915015 205.775927093834 3406.99670267389 2.64033408703395 0 -Inf 0 NA 72215 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 2.16151706651176 2.16151957715615 2.55034065165696 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0 0 0 10 10 1 136001 100 455.677185 1000000 49503321 48503322 0 91.683022 0.002636 89.169868 0.002625 1 0 0 0 380608 380608 86 1 1 3000753 149 9423796 997364 2636 0 0 0 0 0 0 0 0 0 455.677185 1 953583.895475186 550.940270115919 17789.9517586514 5.13992140978587 0 -Inf 0 NA 997364 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.00529251415752 1.00529251947805 1.00527854579549 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0.1 0 0 10 10 1 136001 100 285.07843 1000000 7821324 6821325 0 59.693073 1.032654 14.313448 0.086997 1.164343 0 0.008349293 0 334954 334954 63 1 1 620347 64 1486921 27770 911813 60410 7 0 0 0 0 0 0 0 285.07843 1 154784.270202288 221.967032306898 6621.50004808529 4.77005379370907 0 -Inf 0 NA 27770 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.21219780107632 1.21219805830234 2.13283408571131 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0 0 0 10 10 1 190002 100 545.993225 1000000 50296908 49296909 0 105.730659 0.006104 84.817879 0.00607 1 0 0 0 380840 380840 81 1 1 3046615 138 9570569 993905 6086 9 0 0 0 0 0 0 0 0 545.993225 1 972850.97409888 556.478286044662 17997.5497681334 5.15847708276067 0 -Inf 0 NA 993905 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.01229457188623 1.01229458433197 1.0122375271332 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0.1 0 0 10 10 1 190002 100 328.270874 1000000 4132900 3132901 0 66.084747 0.990134 8.391764 0.010486 1.35482 0 0.003260003 0 299057 299057 42 1 1 404149 48 786646 10238 989390 372 0 0 0 0 0 0 0 0 328.270874 1 30820.883877365 99.0484327947086 988.291662644225 1.59761759553242 0 -Inf 0 NA 10238 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.14361308258007 1.14361324681806 2.11234673050978 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0 0 0 10 10 1 3003 100 559.870178 1000000 49662498 48662499 0 106.210709 0.004736 85.210457 0.004706 1 0 0 0 381157 381157 78 1 1 3009738 141 9451456 995265 4734 1 0 0 0 0 0 0 0 0 559.870178 1 970716.411392953 555.867457607681 18714.4888459826 5.36863543011053 0 -Inf 0 NA 995265 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.00953306316635 1.0095330727903 1.00948984580653 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0.1 0 0 10 10 1 3003 100 428.796173 1000000 9480351 8480352 0 73.779793 0.913519 18.913355 0.080176 1.180267 0 0.00326557 0 331218 331218 39 1 1 714086 46 1803408 86997 912487 516 0 0 0 0 0 0 0 0 428.796173 1 146914.314871498 216.250500220268 3638.02000525049 2.68287145411739 0 -Inf 0 NA 86997 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.48069959584872 1.48070030762147 2.19440178696446 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0 0 0 10 10 1 28004 100 512.223022 1000000 49029514 48029515 0 100.891075 0.005608 90.88987 0.005567 1 0 0 0 381787 381787 89 1 1 2975288 151 9335056 994392 5608 0 0 0 0 0 0 0 0 0 512.223022 1 932297.645071786 544.756420147772 17601.1459059716 5.15069024506851 0 -Inf 0 NA 994392 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.01130555108705 1.01130556252043 1.0112420032521 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0.1 0 0 10 10 1 28004 100 407.042969 1000000 11084479 10084480 0 84.963989 0.871553 65.876556 0.113699 1.18352 0 0.006144841 0 330878 330878 53 1 1 807200 61 2111154 129473 869501 1026 0 0 0 0 0 0 0 0 407.042969 1 197464.02202147 250.708496814623 4768.10856075071 3.02989050065194 0 -Inf 0 NA 129473 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 2.5633893141452 2.56339332173093 2.54867864469457 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0 0 0 10 10 1 435005 100 459.856598 1000000 49636536 48636537 0 89.611404 0.008432 101.41938 0.008341 1 0 0 0 381560 381560 80 1 1 3007831 128 9445459 991568 8432 0 0 0 0 0 0 0 0 0 459.856598 1 954565.936713496 551.2238879713 17854.9604698766 5.15597734422265 0 -Inf 0 NA 991568 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.01703122715202 1.01703124447333 1.01688742742341 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0.1 0 0 10 10 1 435005 100 368.319061 1000000 14730692 13730693 0 68.167435 0.882042 35.14539 0.181983 1.109742 0 0.004144521 0 347071 347071 64 1 1 1014351 71 2802861 156680 804598 38722 0 0 0 0 0 0 0 0 368.319061 1 300101.089555081 309.071421616282 7817.09096832489 4.03836854397068 0 -Inf 0 NA 156680 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 2.45305135691984 2.45305492133819 2.47777252572146 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0 0 0 10 10 1 7750006 100 521.777405 1000000 50306722 49306723 0 98.599762 0.003377 85.324379 0.003359 1 0 0 0 380662 380662 80 1 1 3045247 123 9574487 996623 3377 0 0 0 0 0 0 0 0 0 521.777405 1 983383.424582727 559.482498344633 18556.1178502783 5.29876482559548 0 -Inf 0 NA 996623 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.0067872775743 1.00678728440765 1.00676432198723 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0.1 0 0 10 10 1 7750006 100 366.567017 1000000 6831373 5831374 0 71.427277 0.964376 17.720985 0.035214 1.202767 0 0.001639417 0 325620 325620 51 1 1 563408 53 1301081 36058 963508 434 0 0 0 0 0 0 0 0 366.567017 1 84025.8029955004 163.542788859672 2484.73491578656 2.42885945094787 0 -Inf 0 NA 36058 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.08208580280027 1.08208589162425 2.00596419417227 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0 0 0 10 10 1 4095007 100 578.623779 1000000 49833189 48833190 0 120.370239 0.004547 109.626289 0.00489 1 0 0 0 379780 379780 87 1 1 3015443 154 9479849 995639 4175 186 0 0 0 0 0 0 0 0 578.623779 1 932529.547351779 544.824168040082 17459.0277088723 5.10142699741536 0 -Inf 0 NA 995639 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.00877738892985 1.00877739778429 1.00911263204554 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0.1 0 0 10 10 1 4095007 100 335.201813 1000000 4681202 3681203 0 65.077728 0.982839 9.096227 0.017534 1.313604 0 0.001780899 0 305270 305270 42 1 1 437193 43 891768 17509 982143 348 0 0 0 0 0 0 0 0 335.201813 1 50711.0576966122 127.050505719845 1770.93364659996 2.2314710550698 0 -Inf 0 NA 17509 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.03645314280415 1.03645318058616 2.00063016214027 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0 0 0 10 10 1 171008 100 620.477905 1000000 50151250 49151251 0 125.590111 0.003659 126.052422 0.003639 1 0 0 0 380914 380914 75 1 1 3036336 136 9545384 996341 3659 0 0 0 0 0 0 0 0 0 620.477905 1 941516.451453575 547.443142711966 16909.8691315925 4.93213468857107 0 -Inf 0 NA 996341 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.00735531241729 1.00735531982672 1.007328361359 "caseA"
1048576 0 0 0 1 1e-05 0.1 0 -1 0.98 0.1 0 0 10 10 1 171008 100 475.351959 1000000 10805340 9805341 0 98.665039 0.982852 34.883324 0.104817 1.11646 0 0.006527089 0 346137 346137 49 1 1 793554 58 2056861 61174 894823 43980 23 0 0 0 0 0 0 0 475.351959 1 179470.232344813 239.012864153911 5603.57041476305 3.74883652026373 0 -Inf 0 NA 61174 0 0 0 0 0 1 0 1 0 0 1000000 1000000 1 1.6331054183552 1.63310645228478 2.34303388053345 "caseA"
