Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
0.000000	1	0	0	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
1.336528	5	4	0	0	0.800000	0.000000	0.160000	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	2	2	1	1	1	2	1	2	5	0	0	0	0	0	0	0	0	0	0
2.538135	9	8	0	0	0.888889	0.000000	0.098765	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	2	2	1	1	1	2	1	2	9	0	0	0	0	0	0	0	0	0	0
3.556665	20	19	0	0	0.950000	0.000000	0.247500	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	4	4	1	1	1	4	1	4	20	0	0	0	0	0	0	0	0	0	0
4.557314	43	42	0	0	1.116279	0.000000	0.288805	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	10	10	1	1	1	10	1	10	43	0	0	0	0	0	0	0	0	0	0
5.560007	101	100	0	0	1.277228	0.000000	0.418194	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	19	19	1	1	1	19	1	19	101	0	0	0	0	0	0	0	0	0	0
6.565746	274	273	0	0	1.452555	0.000000	0.532421	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	49	49	1	1	1	49	1	49	274	0	0	0	0	0	0	0	0	0	0
7.567974	702	701	0	0	1.633903	0.000000	0.713552	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	130	130	1	1	1	131	1	131	702	0	0	0	0	0	0	0	0	0	0
8.568080	1837	1836	0	0	1.786064	0.000000	0.898706	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	345	345	1	1	1	348	1	348	1837	0	0	0	0	0	0	0	0	0	0
9.568629	2049	3853	1805	0	1.987799	0.000000	1.189214	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	510	510	1	1	1	542	1	743	2049	0	0	0	0	0	0	0	0	0	0
10.568701	2049	5883	3835	0	2.184480	0.000000	1.430094	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	604	604	1	1	1	689	1	1169	2049	0	0	0	0	0	0	0	0	0	0
11.568818	2049	7915	5867	0	2.434358	0.000000	1.749848	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	630	630	1	1	1	784	1	1545	2049	0	0	0	0	0	0	0	0	0	0
12.569877	2049	9997	7949	0	2.786237	0.000000	2.105594	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	687	687	1	1	1	913	1	1957	2049	0	0	0	0	0	0	0	0	0	0
13.569986	2049	12096	10048	0	2.983895	0.000000	2.169089	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	734	734	1	1	1	1052	1	2397	2049	0	0	0	0	0	0	0	0	0	0
14.570765	2049	14158	12110	0	3.227428	0.000000	2.485127	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	722	722	1	1	1	1152	1	2790	2049	0	0	0	0	0	0	0	0	0	0
15.572132	2049	16190	14142	0	3.452416	0.000000	2.794340	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	722	722	1	1	1	1260	1	3160	2049	0	0	0	0	0	0	0	0	0	0
16.572645	2049	18263	16215	0	3.586628	0.000000	2.842793	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	757	757	1	1	1	1394	1	3570	2049	0	0	0	0	0	0	0	0	0	0
17.572983	2049	20328	18280	0	3.759883	0.000000	2.961379	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	773	773	1	1	1	1515	1	3979	2049	0	0	0	0	0	0	0	0	0	0
18.573675	2049	22421	20373	0	4.039043	0.000000	3.451854	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	774	774	1	1	1	1620	1	4349	2049	0	0	0	0	0	0	0	0	0	0
19.574488	2049	24481	22433	0	4.315764	0.000000	4.027672	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	782	782	1	1	1	1735	1	4731	2049	0	0	0	0	0	0	0	0	0	0
20.574774	2049	26468	24420	0	4.448999	0.000000	3.970202	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	762	762	1	1	1	1831	1	5102	2049	0	0	0	0	0	0	0	0	0	0
21.575329	2049	28501	26453	0	4.699853	0.000000	4.142716	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	776	776	1	1	1	1965	1	5504	2049	0	0	0	0	0	0	0	0	0	0
22.575760	2049	30550	28502	0	4.818448	0.000000	4.263778	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	776	776	1	1	1	2070	1	5911	2049	0	0	0	0	0	0	0	0	0	0
23.576454	2049	32617	30569	0	5.078575	0.000000	4.689271	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	780	780	1	1	1	2172	1	6291	2049	0	0	0	0	0	0	0	0	0	0
24.578127	2049	34644	32596	0	5.219131	0.000000	5.090584	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	795	795	1	1	1	2297	1	6697	2049	0	0	0	0	0	0	0	0	0	0
25.580671	2049	36713	34665	0	5.244021	0.000000	4.799398	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	771	771	1	1	1	2402	1	7074	2049	0	0	0	0	0	0	0	0	0	0
26.580694	2049	38686	36638	0	5.342606	0.000000	5.088100	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	755	755	1	1	1	2491	1	7448	2049	0	0	0	0	0	0	0	0	0	0
27.580715	2049	40748	38700	0	5.655442	0.000000	5.448884	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	776	776	1	1	1	2607	1	7838	2049	0	0	0	0	0	0	0	0	0	0
28.580767	2049	42805	40757	0	5.840410	0.000000	5.975989	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	791	791	1	1	1	2747	1	8237	2049	0	0	0	0	0	0	0	0	0	0
29.580994	2049	44921	42873	0	6.125427	0.000000	6.682639	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	766	766	1	1	1	2836	1	8611	2049	0	0	0	0	0	0	0	0	0	0
30.582335	2049	46963	44915	0	6.381162	0.000000	6.880096	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	762	762	1	1	1	2958	1	8996	2049	0	0	0	0	0	0	0	0	0	0
31.582363	2049	48971	46923	0	6.673499	0.000000	7.106182	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	781	781	1	1	1	3091	1	9383	2049	0	0	0	0	0	0	0	0	0	0
32.582634	2049	51046	48998	0	6.812103	0.000000	7.081823	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	799	799	1	1	1	3238	1	9783	2049	0	0	0	0	0	0	0	0	0	0
33.582672	2049	53013	50965	0	7.150317	0.000000	7.132109	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	784	784	1	1	1	3324	1	10151	2049	0	0	0	0	0	0	0	0	0	0
34.583557	2049	55115	53067	0	7.424597	0.000000	7.155004	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	776	776	1	1	1	3435	1	10521	2049	0	0	0	0	0	0	0	0	0	0
35.584229	2049	57197	55149	0	7.726696	0.000000	8.348911	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	807	807	1	1	1	3577	1	10920	2049	0	0	0	0	0	0	0	0	0	0
36.584267	2049	59200	57152	0	7.990727	0.000000	8.963786	0.000000	1.000000e+00	2.504631e-09	0.000000e+00	0.000000e+00	770	770	1	1	1	3662	1	11275	2049	0	0	0	0	0	0	0	0	0	0
