Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
220368	0	0	0	0	0	1	0	1.000000	0.000000	0.000000	1000000
0	0	38	38	1	0	1	0	1.101126	0.000000	221.676056	80948
22186	0	37	37	1	0	1	0	1.150522	0.000000	220.312637	124928
0	0	80	80	1	0	1	1	1.223150	0.000000	278.549652	71681
57167	0	45	45	1	0	1	0	1.147764	0.000000	238.200912	81921
0	0	81	81	1	0	1	0	1.084918	0.000000	278.894501	37659
26575	0	61	61	1	0	1	0	1.501120	0.000000	252.945404	229382
4629	0	118	118	1	0	1	0	1.050035	0.000000	301.879303	8192
30051	38	100	100	2	0	1	0	1.324926	0.000000	289.477051	68660
54575	61	212	212	2	0	1	0	2.163220	0.000000	356.458893	202758
2136	80	127	127	2	0	1	1	1.410744	0.000000	310.393433	71681
7659	0	306	306	1	0	1	0	1.047634	0.000000	385.964478	7659
2048	0	156	156	1	0	1	0	1.209090	0.000000	331.358459	2048
14231	0	177	177	1	0	1	0	1.231452	0.000000	342.932556	28672
48312	127	196	196	3	0	1	1	1.585456	0.000000	348.734131	67585
6132	0	183	183	1	0	1	2	1.157126	0.000000	345.020508	10240
15189	100	226	226	3	0	1	0	1.642110	0.000000	360.773895	21555
24830	81	243	243	2	0	1	0	1.300049	0.000000	365.260620	37659
10240	38	244	244	2	0	1	0	1.273434	0.000000	366.021729	12288
10	212	292	292	3	0	1	0	2.215637	0.000000	379.593506	40971
4095	0	279	279	1	0	1	0	1.112309	0.000000	376.014587	4096
455	0	261	261	1	0	1	0	1.005666	0.000000	370.473755	455
97138	37	286	286	2	0	1	0	1.347396	0.000000	377.600739	102400
1829	0	350	350	1	0	1	1	1.078301	0.000000	398.953552	1999
1475	0	302	302	1	0	1	0	1.121556	0.000000	383.778076	2048
2048	0	367	367	1	0	1	0	1.092873	0.000000	403.616943	2048
0	45	325	325	2	0	1	0	1.314113	0.000000	391.468597	18432
10240	177	377	377	2	0	1	0	1.372838	0.000000	406.230499	10240
17615	325	359	359	3	0	1	0	1.429859	0.000000	401.132538	18432
21143	0	365	365	1	0	1	0	1.289500	0.000000	402.576385	26625
10185	100	451	451	3	0	1	1	1.563491	0.000000	424.546875	10241
3563	118	409	409	2	0	1	0	1.098383	0.000000	415.959564	3563
4096	183	420	420	2	0	1	2	1.484867	0.000000	417.819946	4096
4080	212	456	456	3	0	1	0	2.263599	0.000000	425.131836	4086
2048	0	470	470	1	0	1	0	1.148869	0.000000	428.131134	2048
4096	100	541	541	3	0	1	0	1.681202	0.000000	438.044586	4096
42700	212	487	487	3	0	1	0	2.516253	0.000000	430.010956	75779
60	0	485	485	1	0	1	0	1.029973	0.000000	429.873749	2010
2035	196	598	598	4	0	1	1	1.753288	0.000000	447.243317	2035
6572	212	775	775	3	0	1	0	2.231193	0.000000	467.603027	6572
2312	365	556	556	2	0	1	0	1.334628	0.000000	440.152008	2312
4096	45	842	842	2	0	1	0	1.575349	0.000000	475.353088	4096
0	45	594	594	2	0	1	0	1.175896	0.000000	446.527557	2048
180	177	730	730	2	0	1	0	1.240484	0.000000	461.987946	180
16005	0	688	688	1	0	1	1	1.143795	0.000000	458.271240	17985
12277	212	583	583	3	0	1	0	2.431888	0.000000	444.255463	12288
2048	244	595	595	3	0	1	0	1.472046	0.000000	446.644348	2048
36854	292	776	776	4	0	1	0	2.901980	0.000000	467.611755	40961
6144	226	741	741	4	0	1	0	1.853536	0.000000	463.576385	6144
51	0	750	750	1	0	1	0	1.045773	0.000000	464.641663	51
98	286	845	845	3	0	1	0	1.375893	0.000000	475.701813	98
3290	0	744	744	1	0	1	0	1.172896	0.000000	463.664368	3291
1812	688	913	913	2	0	1	1	1.229816	0.000000	482.118225	1815
1704	196	761	761	4	0	1	1	1.676586	0.000000	465.686310	1704
1969	100	820	820	3	0	1	0	1.469708	0.000000	472.865143	1969
5	0	767	767	1	0	1	0	1.103563	0.000000	466.366272	5
2048	0	833	833	1	0	1	0	1.623828	0.000000	474.190796	2048
8192	0	863	863	1	0	1	1	1.329917	0.000000	477.482971	8192
17	0	1152	1152	1	0	1	0	1.000438	0.000000	498.048523	17
3116	0	852	852	1	0	1	0	1.152049	0.000000	476.290527	3116
1960	127	919	919	3	0	1	1	1.587885	0.000000	482.528900	1960
1950	485	966	966	2	0	1	0	1.182487	0.000000	486.384064	1950
2048	0	878	878	1	0	1	0	1.399550	0.000000	478.680969	2048
983	776	1075	1075	5	0	1	0	3.026723	0.000000	493.477325	983
2048	212	1192	1192	3	0	1	0	2.592914	0.000000	500.926788	2048
29097	487	1062	1062	4	0	1	0	3.416584	0.000000	492.899658	32770
36	0	1095	1095	1	0	1	0	1.111984	0.000000	494.930176	36
1728	196	973	973	4	0	1	1	1.706152	0.000000	486.743317	1728
9938	243	958	958	3	0	1	0	1.450233	0.000000	485.960724	9977
5121	196	1130	1130	4	0	1	1	1.819373	0.000000	497.033905	5121
6844	196	1089	1089	4	0	1	1	1.772836	0.000000	494.246521	6844
947	776	1184	1184	5	0	1	0	3.079799	0.000000	500.402527	947
3510	0	995	995	1	0	1	0	1.266629	0.000000	487.987122	4079
204	0	1049	1049	1	0	1	0	1.000679	0.000000	491.475525	204
2048	594	1026	1026	3	0	1	0	1.902699	0.000000	490.046570	2048
400	212	999	999	3	0	1	0	2.206804	0.000000	488.225128	400
3499	1062	1309	1309	5	0	1	0	3.644484	0.000000	508.303894	3499
2047	243	1104	1104	3	0	1	0	1.646406	0.000000	495.369385	2047
786	359	1125	1125	4	0	1	0	1.625556	0.000000	496.914001	791
2020	365	1187	1187	2	0	1	0	1.555310	0.000000	500.642273	2020
79	0	1131	1131	1	0	1	0	1.077971	0.000000	497.042145	79
58	100	1310	1310	3	0	1	0	1.361386	0.000000	508.335114	58
527	995	1258	1258	2	0	1	0	1.337496	0.000000	505.020844	527
1143	365	1238	1238	2	0	1	0	1.451760	0.000000	504.184906	1143
1472	0	1209	1209	1	0	1	0	1.186630	0.000000	501.835846	1472
2155	776	1282	1282	5	0	1	0	2.959548	0.000000	506.450287	2155
570	0	1283	1283	1	0	1	0	1.098716	0.000000	506.638947	570
2754	0	1175	1175	1	0	1	0	1.208043	0.000000	499.828400	2756
12	487	1824	1824	4	0	1	0	2.516651	0.000000	529.869629	12
13	243	1262	1262	3	0	1	1	1.391611	0.000000	505.190002	13
78	0	1243	1243	1	0	1	0	1.096541	0.000000	504.352386	78
507	0	1239	1239	1	0	1	0	1.135855	0.000000	504.204834	507
46	45	1223	1223	2	0	1	0	1.166773	0.000000	502.591644	46
2586	177	1380	1380	2	0	1	0	1.713096	0.000000	511.727783	4021
1749	196	1253	1253	4	0	1	1	1.876695	0.000000	504.876007	1749
1	0	1916	1916	1	0	0	0	1.227455	0.000000	532.791565	1
62	0	1261	1261	1	0	1	1	1.103374	0.000000	505.122467	62
61	0	1366	1366	1	0	1	0	1.157410	0.000000	511.129974	61
228	487	1264	1264	4	0	1	0	2.590699	0.000000	505.322662	228
2010	0	1295	1295	1	0	1	0	1.421164	0.000000	507.513397	2010
7	487	1882	1882	4	0	0	0	3.071193	0.000000	531.557800	7
29	0	1359	1359	1	0	1	0	1.024083	0.000000	510.887360	29
792	243	1348	1348	3	0	1	0	1.537951	0.000000	509.962524	792
45	286	1793	1793	3	0	1	1	1.679806	0.000000	528.673645	45
5	451	1393	1393	4	0	1	1	1.584257	0.000000	512.278015	5
5911	0	1355	1355	1	0	1	0	1.461810	0.000000	510.562683	5911
25	0	1403	1403	1	0	1	1	1.072391	0.000000	512.687439	25
5982	212	1347	1347	3	0	1	0	2.596782	0.000000	509.879974	5982
3030	286	1315	1315	3	0	1	0	1.627329	0.000000	508.504059	3030
24	995	1486	1486	2	0	1	0	1.282632	0.000000	516.219116	24
221	226	1358	1358	4	0	1	0	1.779388	0.000000	510.839142	221
6	212	1838	1838	3	0	1	0	2.358455	0.000000	530.464294	6
10	286	1349	1349	3	0	1	0	1.397894	0.000000	510.163361	10
6	0	1376	1376	1	0	1	0	1.142043	0.000000	511.546387	6
7	61	1438	1438	2	0	1	0	1.506172	0.000000	513.979614	7
170	350	1471	1471	2	0	1	1	1.243846	0.000000	515.690857	170
9	0	1789	1789	1	0	0	0	1.043903	0.000000	528.372314	9
2042	286	1384	1384	3	0	1	0	1.822295	0.000000	511.762939	2042
1	0	1677	1677	1	0	1	0	1.017607	0.000000	524.070862	1
18	0	1621	1621	1	0	1	0	1.056920	0.000000	521.920715	18
1	286	1876	1876	3	0	0	0	1.524027	0.000000	531.439270	1
26	359	1428	1428	4	0	1	0	1.476965	0.000000	513.489563	26
689	100	1454	1454	3	0	1	0	1.546871	0.000000	514.810059	689
7	0	1425	1425	1	0	1	0	1.013642	0.000000	513.324036	7
89	688	1753	1753	2	0	1	2	1.330543	0.000000	527.231812	89
4	286	1660	1660	3	0	1	0	1.392673	0.000000	523.406006	4
326	37	1441	1441	2	0	1	0	1.385390	0.000000	514.143799	326
2	0	1721	1721	1	0	0	0	1.065971	0.000000	525.949890	2
1	0	1866	1866	1	0	0	2	1.043333	0.000000	531.179504	1
16	0	1596	1596	1	0	1	0	1.086382	0.000000	521.161499	16
187	0	1421	1421	1	0	1	0	1.154121	0.000000	513.180054	187
35	487	1430	1430	4	0	1	0	2.569497	0.000000	513.550842	35
121	45	1435	1435	2	0	1	0	1.300084	0.000000	513.872681	121
3	1062	1884	1884	5	0	1	0	3.611319	0.000000	531.612671	3
43	1062	1816	1816	5	0	1	0	3.690600	0.000000	529.455811	43
6	183	1580	1580	2	0	1	3	1.270619	0.000000	520.596619	6
12	0	1728	1728	1	0	1	0	1.168449	0.000000	526.140076	12
76	688	1526	1526	2	0	1	1	1.175022	0.000000	518.185364	76
573	302	1540	1540	2	0	1	0	1.497367	0.000000	518.999146	573
5	1125	1828	1828	5	0	0	0	1.660684	0.000000	530.061401	5
1435	1380	1535	1535	3	0	1	0	1.839197	0.000000	518.747498	1435
40	0	1560	1560	1	0	1	0	1.123848	0.000000	519.692871	40
3	61	1909	1909	2	0	0	0	1.704429	0.000000	532.490479	3
1	37	1546	1546	2	0	1	0	1.242874	0.000000	519.148560	1
13	196	1563	1563	4	0	1	2	1.634501	0.000000	519.803894	13
15	0	1584	1584	1	0	1	0	1.024975	0.000000	520.710815	15
11	583	1603	1603	4	0	1	0	2.518198	0.000000	521.472168	11
2	0	1867	1867	1	0	0	0	1.051226	0.000000	531.194580	2
25	196	1722	1722	4	0	1	1	2.404768	0.000000	525.974548	25
122	1062	1687	1687	5	0	1	0	3.548420	0.000000	524.453552	122
2	61	1848	1848	2	0	0	0	1.629240	0.000000	530.787720	2
15	37	1711	1711	2	0	1	1	1.156944	0.000000	525.682190	15
1	279	1926	1926	2	0	0	0	1.131382	0.000000	532.961914	1
21	0	1803	1803	1	0	1	0	1.089215	0.000000	528.992676	21
37	61	1767	1767	2	0	1	0	1.542885	0.000000	527.622742	37
7	45	1812	1812	2	0	0	0	1.245216	0.000000	529.217163	7
27	286	1758	1758	3	0	1	0	1.411467	0.000000	527.424194	27
39	958	1612	1612	4	0	1	0	1.540003	0.000000	521.717163	39
17	487	1764	1764	4	0	1	0	2.726154	0.000000	527.559998	17
4	45	1869	1869	2	0	0	0	1.174100	0.000000	531.217651	4
1	0	1922	1922	1	0	0	0	1.088925	0.000000	532.914551	1
31	212	1765	1765	3	0	1	0	2.195702	0.000000	527.571777	31
2	0	1879	1879	1	0	0	0	1.232926	0.000000	531.510376	2
18	995	1661	1661	2	0	1	0	1.598186	0.000000	523.435669	18
6	183	1698	1698	2	0	1	2	1.159096	0.000000	525.080505	6
51	451	1757	1757	4	0	1	1	2.067538	0.000000	527.409668	51
6	776	1805	1805	5	0	1	1	2.908834	0.000000	529.077026	6
4	776	1878	1878	5	0	0	0	3.284940	0.000000	531.447937	4
51	196	1785	1785	4	0	1	2	1.846469	0.000000	528.225037	51
4	286	1855	1855	3	0	0	0	1.521171	0.000000	530.910034	4
6	487	1808	1808	4	0	1	0	3.183995	0.000000	529.097046	6
19	212	1809	1809	3	0	1	0	2.328998	0.000000	529.123474	19
2	1175	1815	1815	2	0	0	0	1.349132	0.000000	529.386963	2
1	744	1913	1913	2	0	0	0	1.775907	0.000000	532.574036	1
1	776	1934	1934	5	0	0	0	2.928470	0.000000	533.183594	1
1	226	1843	1843	4	0	0	0	1.643346	0.000000	530.562195	1
1	776	1933	1933	5	0	0	0	2.919992	0.000000	533.154968	1
1	100	1888	1888	3	0	0	0	1.430327	0.000000	531.745056	1
1	1062	1921	1921	5	0	0	1	3.485205	0.000000	532.887512	1
4	487	1861	1861	4	0	1	0	2.753368	0.000000	531.075867	4
1	196	1883	1883	4	0	0	1	1.638783	0.000000	531.601196	1
10	776	1886	1886	5	0	1	0	3.050140	0.000000	531.673584	10
6	456	1895	1895	4	0	0	0	2.405512	0.000000	531.925232	6
3	913	1874	1874	3	0	0	1	1.241550	0.000000	531.345276	3
1	1062	1924	1924	5	0	0	0	3.533329	0.000000	532.936035	1
1	286	1908	1908	3	0	0	0	1.419008	0.000000	532.388367	1
1	212	1918	1918	3	0	0	0	2.521719	0.000000	532.804993	1
7	365	1899	1899	2	0	0	0	1.292789	0.000000	531.991638	7
2	1062	1906	1906	5	0	0	1	3.602405	0.000000	532.234070	2
2	1062	1927	1927	5	0	0	0	3.617059	0.000000	532.989441	2
2	196	1929	1929	4	0	0	1	1.645166	0.000000	532.990723	2
