Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.568701	1	0.000488	345
10.568701	2	0.000976	110
10.568701	3	0.001464	66
10.568701	4	0.001952	23
10.568701	5	0.002440	17
10.568701	6	0.002928	9
10.568701	7	0.003416	7
10.568701	8	0.003904	9
10.568701	9	0.004392	3
10.568701	10	0.004880	2
10.568701	48	0.023426	1
10.568701	574	0.280137	1
10.568701	62	0.030259	1
10.568701	22	0.010737	1
10.568701	27	0.013177	1
10.568701	26	0.012689	1
10.568701	19	0.009273	1
10.568701	45	0.021962	1
10.568701	17	0.008297	1
10.568701	11	0.005368	3
10.568701	14	0.006833	1
20.574774	1	0.000488	342
20.574774	2	0.000976	159
20.574774	3	0.001464	101
20.574774	4	0.001952	49
20.574774	5	0.002440	36
20.574774	6	0.002928	25
20.574774	7	0.003416	14
20.574774	8	0.003904	8
20.574774	9	0.004392	6
20.574774	10	0.004880	4
20.574774	56	0.027330	1
20.574774	18	0.008785	1
20.574774	12	0.005857	3
20.574774	13	0.006345	4
20.574774	17	0.008297	2
20.574774	11	0.005368	3
20.574774	22	0.010737	2
20.574774	16	0.007809	1
20.574774	15	0.007321	1
30.582335	1	0.000488	378
30.582335	2	0.000976	125
30.582335	3	0.001464	81
30.582335	4	0.001952	51
30.582335	5	0.002440	32
30.582335	6	0.002928	28
30.582335	7	0.003416	25
30.582335	8	0.003904	13
30.582335	9	0.004392	9
30.582335	10	0.004880	2
30.582335	32	0.015617	1
30.582335	13	0.006345	5
30.582335	11	0.005368	6
30.582335	22	0.010737	1
30.582335	16	0.007809	1
30.582335	12	0.005857	2
30.582335	14	0.006833	1
30.582335	27	0.013177	1
40.585915	1	0.000360	444
40.585915	2	0.000720	162
40.585915	3	0.001080	91
40.585915	4	0.001440	71
40.585915	5	0.001800	44
40.585915	6	0.002160	25
40.585915	7	0.002520	26
40.585915	8	0.002880	16
40.585915	9	0.003240	11
40.585915	10	0.003600	10
40.585915	15	0.005400	1
40.585915	17	0.006120	4
40.585915	11	0.003960	6
40.585915	13	0.004680	3
40.585915	16	0.005760	3
40.585915	21	0.007559	1
40.585915	29	0.010439	3
40.585915	19	0.006839	2
40.585915	25	0.008999	2
40.585915	14	0.005040	4
40.585915	12	0.004320	1
40.585915	18	0.006479	1
40.585915	30	0.010799	1
40.585915	26	0.009359	1
50.588448	1	0.000244	774
50.588448	2	0.000488	305
50.588448	3	0.000732	180
50.588448	4	0.000976	82
50.588448	5	0.001220	79
50.588448	6	0.001464	50
50.588448	7	0.001709	18
50.588448	8	0.001953	27
50.588448	9	0.002197	15
50.588448	10	0.002441	11
50.588448	11	0.002685	14
50.588448	15	0.003661	5
50.588448	18	0.004393	3
50.588448	16	0.003905	2
50.588448	19	0.004638	1
50.588448	12	0.002929	11
50.588448	13	0.003173	3
50.588448	21	0.005126	1
50.588448	23	0.005614	1
50.588448	14	0.003417	1
60.593086	1	0.000244	749
60.593086	2	0.000488	314
60.593086	3	0.000732	161
60.593086	4	0.000976	97
60.593086	5	0.001220	74
60.593086	6	0.001464	49
60.593086	7	0.001709	25
60.593086	8	0.001953	24
60.593086	9	0.002197	13
60.593086	10	0.002441	11
60.593086	14	0.003417	5
60.593086	18	0.004393	4
60.593086	11	0.002685	11
60.593086	29	0.007078	1
60.593086	12	0.002929	7
60.593086	15	0.003661	3
60.593086	13	0.003173	8
60.593086	16	0.003905	2
60.593086	17	0.004149	2
68.681175	1	0.000200	852
68.681175	2	0.000400	336
68.681175	3	0.000600	173
68.681175	4	0.000800	132
68.681175	5	0.001000	93
68.681175	6	0.001200	58
68.681175	7	0.001400	33
68.681175	8	0.001600	26
68.681175	9	0.001800	13
68.681175	10	0.002000	19
68.681175	13	0.002600	5
68.681175	15	0.003000	8
68.681175	21	0.004200	2
68.681175	16	0.003200	8
68.681175	11	0.002200	13
68.681175	29	0.005800	1
68.681175	24	0.004800	1
68.681175	17	0.003400	5
68.681175	22	0.004400	1
68.681175	19	0.003800	3
68.681175	14	0.002800	3
68.681175	18	0.003600	1
68.681175	12	0.002400	5
68.681175	35	0.007000	1
70.595192	1	0.000163	1112
70.595192	2	0.000325	394
70.595192	3	0.000488	204
70.595192	4	0.000651	126
70.595192	5	0.000814	92
70.595192	6	0.000976	63
70.595192	7	0.001139	47
70.595192	8	0.001302	34
70.595192	9	0.001465	34
70.595192	10	0.001627	19
70.595192	11	0.001790	15
70.595192	12	0.001953	15
70.595192	17	0.002766	2
70.595192	15	0.002441	5
70.595192	20	0.003255	2
70.595192	19	0.003092	2
70.595192	14	0.002278	8
70.595192	18	0.002929	1
70.595192	16	0.002604	10
70.595192	23	0.003743	4
70.595192	29	0.004719	1
70.595192	30	0.004882	1
70.595192	13	0.002116	10
70.595192	22	0.003580	2
70.595192	21	0.003417	1
70.595192	26	0.004231	1
80.596466	1	0.000122	1288
80.596466	2	0.000244	512
80.596466	3	0.000366	303
80.596466	4	0.000488	162
80.596466	5	0.000610	130
80.596466	6	0.000732	91
80.596466	7	0.000854	71
80.596466	8	0.000976	42
80.596466	9	0.001098	41
80.596466	10	0.001221	25
80.596466	11	0.001343	21
80.596466	27	0.003295	2
80.596466	15	0.001831	10
80.596466	29	0.003540	2
80.596466	14	0.001709	9
