NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	DriverIdentity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	PassengerMutations
1	1	-1	-1	0.000000	0	0	0	1	1.000000	0.000000	0.000000	0	0	0
5	1	-1	-1	1.336528	0	0	0	5	1.000000	0.000000	0.000000	0	0	0
9	1	-1	-1	2.538135	0	0	0	9	1.000000	0.000000	0.000000	0	0	0
20	1	-1	-1	3.556665	0	0	0	20	1.000000	0.000000	0.000000	0	0	0
43	1	-1	-1	4.557314	0	0	0	43	1.000000	0.000000	0.000000	0	0	0
101	1	-1	-1	5.560007	0	0	0	101	1.000000	0.000000	0.000000	0	0	0
274	1	-1	-1	6.565746	0	0	0	274	1.000000	0.000000	0.000000	0	0	0
702	1	-1	-1	7.567974	0	0	0	702	1.000000	0.000000	0.000000	0	0	0
1837	1	-1	-1	8.568080	0	0	0	1837	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	9.568629	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	10.568701	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	11.568818	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	12.569877	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	13.569986	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	14.570765	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	15.572132	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	16.572645	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	17.572983	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	18.573675	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	19.574488	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	20.574774	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	21.575329	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	22.575760	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	23.576454	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	24.578127	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	25.580671	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	26.580694	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	27.580715	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	28.580767	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	29.580994	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	30.582335	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	31.582363	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	32.582634	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	33.582672	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	34.583557	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	35.584229	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	36.584267	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	37.584270	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	38.584671	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2049	1	-1	-1	39.585739	0	0	0	2049	1.000000	0.000000	0.000000	0	0	0
2778	1	-1	-1	40.585915	0	0	0	2778	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	41.585979	0	0	0	4097	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	42.586277	0	0	0	4097	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	43.586433	0	0	0	4097	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	44.586868	0	0	0	4096	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	45.587498	0	0	0	4094	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	46.587612	0	0	0	4093	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	47.587757	0	0	0	4094	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	48.587849	0	0	0	4097	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	49.588120	0	0	0	4097	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	50.588448	0	0	0	4097	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	51.588593	0	0	0	4097	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	52.589134	0	0	0	4097	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	53.589653	0	0	0	4097	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	54.590611	0	0	0	4097	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	55.591373	0	0	0	4097	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	56.592369	0	0	0	4096	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	57.592442	0	0	0	4096	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	58.592457	0	0	0	4097	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	59.592602	0	0	0	4097	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	60.593086	0	0	0	4097	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	61.593204	0	0	0	4097	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	62.593613	0	0	0	4097	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	63.594082	0	0	0	4097	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	64.594116	0	0	0	4097	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	65.594582	0	0	0	4097	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	66.594635	0	0	0	4097	1.000000	0.000000	0.000000	0	0	0
4097	1	-1	-1	67.594696	0	0	0	4097	1.000000	0.000000	0.000000	0	0	0
4721	1	-1	-1	68.594917	0	0	0	4721	1.000000	0.000000	0.000000	0	0	0
6145	1	-1	-1	69.595131	0	0	0	6145	1.000000	0.000000	0.000000	0	0	0
6145	1	-1	-1	70.595192	0	0	0	6145	1.000000	0.000000	0.000000	0	0	0
6145	1	-1	-1	71.595329	0	0	0	6145	1.000000	0.000000	0.000000	0	0	0
6145	1	-1	-1	72.595451	0	0	0	6145	1.000000	0.000000	0.000000	0	0	0
6145	1	-1	-1	73.595535	0	0	0	6145	1.000000	0.000000	0.000000	0	0	0
6145	1	-1	-1	74.595879	0	0	0	6145	1.000000	0.000000	0.000000	0	0	0
6145	1	-1	-1	75.596001	0	0	0	6145	1.000000	0.000000	0.000000	0	0	0
6144	1	-1	-1	76.596008	0	0	0	6144	1.000000	0.000000	0.000000	0	0	0
6145	1	-1	-1	77.596176	0	0	0	6145	1.000000	0.000000	0.000000	0	0	0
6145	1	-1	-1	78.596359	0	0	0	6145	1.000000	0.000000	0.000000	0	0	0
6173	1	-1	-1	79.596405	0	0	0	6173	1.000000	0.000000	0.000000	0	0	0
8193	1	-1	-1	80.596466	0	0	0	8192	1.000000	0.000000	0.000000	0	0	0
8193	1	-1	-1	81.596603	0	0	0	8193	1.000000	0.000000	0.000000	0	0	0
8193	1	-1	-1	82.596664	0	0	0	8193	1.000000	0.000000	0.000000	0	0	0
8193	1	-1	-1	83.596680	0	0	0	8193	1.000000	0.000000	0.000000	0	0	0
8193	1	-1	-1	84.597206	0	0	0	8193	1.000000	0.000000	0.000000	0	0	0
8193	1	-1	-1	85.597221	0	0	0	8193	1.000000	0.000000	0.000000	0	0	0
8193	1	-1	-1	86.597237	0	0	0	8193	1.000000	0.000000	0.000000	0	0	0
8193	1	-1	-1	87.597374	0	0	0	8193	1.000000	0.000000	0.000000	0	0	0
8193	1	-1	-1	88.597397	0	0	0	8193	1.000000	0.000000	0.000000	0	0	0
8193	1	-1	-1	89.597618	0	0	0	8193	1.000000	0.000000	0.000000	0	0	0
8193	1	-1	-1	90.597855	0	0	0	8193	1.000000	0.000000	0.000000	0	0	0
8192	1	-1	-1	91.597855	0	0	0	8192	1.000000	0.000000	0.000000	0	0	0
8193	1	-1	-1	92.597961	0	0	0	8193	1.000000	0.000000	0.000000	0	0	0
8193	1	-1	-1	93.598160	0	0	0	8193	1.000000	0.000000	0.000000	0	0	0
8193	1	-1	-1	94.598358	0	0	0	8193	1.000000	0.000000	0.000000	0	0	0
8193	1	-1	-1	95.598625	0	0	0	8193	1.000000	0.000000	0.000000	0	0	0
8193	1	-1	-1	96.599098	0	0	0	8193	1.000000	0.000000	0.000000	0	0	0
8193	1	-1	-1	97.599106	0	0	0	8193	1.000000	0.000000	0.000000	0	0	0
8193	1	-1	-1	98.599220	0	0	0	8193	1.000000	0.000000	0.000000	0	0	0
8193	1	-1	-1	99.599449	0	0	0	8193	1.000000	0.000000	0.000000	0	0	0
8193	1	-1	-1	100.599457	0	0	0	8193	1.000000	0.000000	0.000000	0	0	0
8193	1	-1	-1	101.599815	0	0	0	8193	1.000000	0.000000	0.000000	0	0	0
8193	1	-1	-1	102.599915	0	0	0	8193	1.000000	0.000000	0.000000	0	0	0
8193	1	-1	-1	103.599991	0	0	0	8193	1.000000	0.000000	0.000000	0	0	0
8193	1	-1	-1	104.600288	0	0	0	8193	1.000000	0.000000	0.000000	0	0	0
8193	1	-1	-1	105.600372	0	0	0	8193	1.000000	0.000000	0.000000	0	0	0
8193	1	-1	-1	106.600502	0	0	0	8193	1.000000	0.000000	0.000000	0	0	0
9707	1	-1	-1	107.600563	0	0	0	9707	1.000000	0.000000	0.000000	0	0	0
10241	1	-1	-1	108.600616	0	0	0	10241	1.000000	0.000000	0.000000	0	0	0
10241	1	-1	-1	109.600616	0	0	0	10241	1.000000	0.000000	0.000000	0	0	0
10241	1	-1	-1	110.600647	0	0	0	10241	1.000000	0.000000	0.000000	0	0	0
10241	1	-1	-1	111.601128	0	0	0	10241	1.000000	0.000000	0.000000	0	0	0
10241	1	-1	-1	112.601234	0	0	0	10241	1.000000	0.000000	0.000000	0	0	0
10241	1	-1	-1	113.601257	0	0	0	10240	1.000000	0.000000	0.000000	0	0	0
10241	1	-1	-1	114.601265	0	0	0	10238	1.000000	0.000000	0.000000	0	0	0
10241	1	-1	-1	115.601288	0	0	0	10239	1.000000	0.000000	0.000000	0	0	0
10241	1	-1	-1	116.601318	0	0	0	10239	1.000000	0.000000	0.000000	0	0	0
10241	1	-1	-1	117.601402	0	0	0	10239	1.000000	0.000000	0.000000	0	0	0
10241	1	-1	-1	118.601494	0	0	0	10240	1.000000	0.000000	0.000000	0	0	0
10579	1	-1	-1	119.601524	0	0	0	10577	1.000000	0.000000	0.000000	0	0	0
12289	1	-1	-1	120.601547	0	0	0	12288	1.000000	0.000000	0.000000	0	0	0
12289	1	-1	-1	121.601646	0	0	0	12289	1.000000	0.000000	0.000000	0	0	0
12289	1	-1	-1	122.601868	0	0	0	12289	1.000000	0.000000	0.000000	0	0	0
12289	1	-1	-1	123.601929	0	0	0	12287	1.000000	0.000000	0.000000	0	0	0
12289	1	-1	-1	124.601959	0	0	0	12285	1.000000	0.000000	0.000000	0	0	0
12289	1	-1	-1	125.602066	0	0	0	12286	1.000000	0.000000	0.000000	0	0	0
12289	1	-1	-1	126.602097	0	0	0	12289	1.000000	0.000000	0.000000	0	0	0
12289	1	-1	-1	127.602104	0	0	0	12289	1.000000	0.000000	0.000000	0	0	0
12289	1	-1	-1	128.602249	0	0	0	12289	1.000000	0.000000	0.000000	0	0	0
12289	1	-1	-1	129.602753	0	0	0	12289	1.000000	0.000000	0.000000	0	0	0
12289	1	-1	-1	130.602768	0	0	0	12289	1.000000	0.000000	0.000000	0	0	0
12289	1	-1	-1	131.602783	0	0	0	12289	1.000000	0.000000	0.000000	0	0	0
12289	1	-1	-1	132.602844	0	0	0	12289	1.000000	0.000000	0.000000	0	0	0
12289	1	-1	-1	133.603210	0	0	0	12289	1.000000	0.000000	0.000000	0	0	0
12289	1	-1	-1	134.603333	0	0	0	12289	1.000000	0.000000	0.000000	0	0	0
14017	1	-1	-1	135.603348	0	0	0	14017	1.000000	0.000000	0.000000	0	0	0
14337	1	-1	-1	136.603378	0	0	0	14337	1.000000	0.000000	0.000000	0	0	0
14337	1	-1	-1	137.603394	0	0	0	14336	1.000000	0.000000	0.000000	0	0	0
14337	1	-1	-1	138.603561	0	0	0	14336	1.000000	0.000000	0.000000	0	0	0
14337	1	-1	-1	139.603699	0	0	0	14337	1.000000	0.000000	0.000000	0	0	0
14337	1	-1	-1	140.603699	0	0	0	14337	1.000000	0.000000	0.000000	0	0	0
14337	1	-1	-1	141.603775	0	0	0	14336	1.000000	0.000000	0.000000	0	0	0
16305	1	-1	-1	142.603790	0	0	0	16304	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	143.603790	0	0	0	18433	1.000000	0.000000	0.000000	0	0	0
18432	1	-1	-1	144.603790	0	0	0	18432	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	145.603912	0	0	0	18433	1.000000	0.000000	0.000000	0	0	0
18432	1	-1	-1	146.603912	0	0	0	18432	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	147.603928	0	0	0	18433	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	148.603928	0	0	0	18432	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	149.603973	0	0	0	18433	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	150.604019	0	0	0	18433	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	151.604034	0	0	0	18433	1.000000	0.000000	0.000000	0	0	0
18432	1	-1	-1	152.604034	0	0	0	18430	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	153.604111	0	0	0	18429	1.000000	0.000000	0.000000	0	0	0
18432	1	-1	-1	154.604126	0	0	0	18423	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	155.604126	0	0	0	18427	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	156.604172	0	0	0	18432	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	157.604172	0	0	0	18433	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	158.604172	0	0	0	18431	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	159.604218	0	0	0	18432	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	160.604263	0	0	0	18433	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	161.604263	0	0	0	18433	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	162.604370	0	0	0	18433	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	163.604462	0	0	0	18433	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	164.604477	0	0	0	18433	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	165.604523	0	0	0	18431	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	166.604752	0	0	0	18432	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	167.604767	0	0	0	18430	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	168.604782	0	0	0	18429	1.000000	0.000000	0.000000	0	0	0
18432	1	-1	-1	169.604782	0	0	0	18424	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	170.604874	0	0	0	18423	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	170.604874	22	22	0	10	1.042829	0.000000	165.444778	1	0	0
18433	1	-1	-1	171.604965	0	0	0	18429	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	171.604965	22	22	0	4	1.042829	0.000000	165.444778	1	0	0
18433	1	-1	-1	172.604996	0	0	0	18429	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	172.604996	22	22	0	4	1.042829	0.000000	165.444778	1	0	0
18433	1	-1	-1	173.605011	0	0	0	18431	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	173.605011	22	22	0	2	1.042829	0.000000	165.444778	1	0	0
18433	1	-1	-1	174.605057	0	0	0	18433	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	174.605057	22	22	0	0	1.042829	0.000000	165.444778	1	0	0
18433	1	-1	-1	175.605072	0	0	0	18432	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	175.605072	22	22	0	0	1.042829	0.000000	165.444778	1	0	0
18433	1	-1	-1	176.605103	0	0	0	18431	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	176.605103	22	22	0	0	1.042829	0.000000	165.444778	1	0	0
18433	1	-1	-1	177.605133	0	0	0	18432	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	177.605133	22	22	0	0	1.042829	0.000000	165.444778	1	0	0
18433	1	-1	-1	178.605209	0	0	0	18432	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	178.605209	22	22	0	0	1.042829	0.000000	165.444778	1	0	0
18433	1	-1	-1	179.605225	0	0	0	18433	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	179.605225	22	22	0	0	1.042829	0.000000	165.444778	1	0	0
18433	1	-1	-1	180.605255	0	0	0	18433	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	180.605255	22	22	0	0	1.042829	0.000000	165.444778	1	0	0
18433	1	-1	-1	181.605286	0	0	0	18433	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	181.605286	22	22	0	0	1.042829	0.000000	165.444778	1	0	0
18433	1	-1	-1	182.605316	0	0	0	18433	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	182.605316	22	22	0	0	1.042829	0.000000	165.444778	1	0	0
18433	1	-1	-1	183.605362	0	0	0	18433	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	183.605362	22	22	0	0	1.042829	0.000000	165.444778	1	0	0
18433	1	-1	-1	184.605362	0	0	0	18433	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	184.605362	22	22	0	0	1.042829	0.000000	165.444778	1	0	0
18433	1	-1	-1	185.605362	0	0	0	18433	1.000000	0.000000	0.000000	0	0	0
18433	1	-1	-1	185.605362	22	22	0	0	1.042829	0.000000	165.444778	1	0	0
18433	1	-1	-1	186.605408	0	0	0	18432	1.000000	0.000000	0.000000	0	0	0
