Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.568701	1	0.000488	0
10.568701	2	0.000976	0
10.568701	3	0.001464	0
10.568701	4	0.001952	0
10.568701	5	0.002440	0
10.568701	6	0.002928	0
10.568701	7	0.003416	0
10.568701	8	0.003904	0
10.568701	9	0.004392	0
10.568701	10	0.004880	0
10.568701	2049	1.000000	1
20.574774	1	0.000488	0
20.574774	2	0.000976	0
20.574774	3	0.001464	0
20.574774	4	0.001952	0
20.574774	5	0.002440	0
20.574774	6	0.002928	0
20.574774	7	0.003416	0
20.574774	8	0.003904	0
20.574774	9	0.004392	0
20.574774	10	0.004880	0
20.574774	2049	1.000000	1
30.582335	1	0.000488	0
30.582335	2	0.000976	0
30.582335	3	0.001464	0
30.582335	4	0.001952	0
30.582335	5	0.002440	0
30.582335	6	0.002928	0
30.582335	7	0.003416	0
30.582335	8	0.003904	0
30.582335	9	0.004392	0
30.582335	10	0.004880	0
30.582335	2049	1.000000	1
40.585915	1	0.000360	0
40.585915	2	0.000720	0
40.585915	3	0.001080	0
40.585915	4	0.001440	0
40.585915	5	0.001800	0
40.585915	6	0.002160	0
40.585915	7	0.002520	0
40.585915	8	0.002880	0
40.585915	9	0.003240	0
40.585915	10	0.003600	0
40.585915	2778	1.000000	1
50.588448	1	0.000244	0
50.588448	2	0.000488	0
50.588448	3	0.000732	0
50.588448	4	0.000976	0
50.588448	5	0.001220	0
50.588448	6	0.001464	0
50.588448	7	0.001709	0
50.588448	8	0.001953	0
50.588448	9	0.002197	0
50.588448	10	0.002441	0
50.588448	4097	1.000000	1
60.593086	1	0.000244	0
60.593086	2	0.000488	0
60.593086	3	0.000732	0
60.593086	4	0.000976	0
60.593086	5	0.001220	0
60.593086	6	0.001464	0
60.593086	7	0.001709	0
60.593086	8	0.001953	0
60.593086	9	0.002197	0
60.593086	10	0.002441	0
60.593086	4097	1.000000	1
68.681175	1	0.000200	0
68.681175	2	0.000400	0
68.681175	3	0.000600	0
68.681175	4	0.000800	0
68.681175	5	0.001000	0
68.681175	6	0.001200	0
68.681175	7	0.001400	0
68.681175	8	0.001600	0
68.681175	9	0.001800	0
68.681175	10	0.002000	0
68.681175	5000	1.000000	1
70.595192	1	0.000163	0
70.595192	2	0.000325	0
70.595192	3	0.000488	0
70.595192	4	0.000651	0
70.595192	5	0.000814	0
70.595192	6	0.000976	0
70.595192	7	0.001139	0
70.595192	8	0.001302	0
70.595192	9	0.001465	0
70.595192	10	0.001627	0
70.595192	6145	1.000000	1
80.596466	1	0.000122	1
80.596466	2	0.000244	0
80.596466	3	0.000366	0
80.596466	4	0.000488	0
80.596466	5	0.000610	0
80.596466	6	0.000732	0
80.596466	7	0.000854	0
80.596466	8	0.000976	0
80.596466	9	0.001098	0
80.596466	10	0.001221	0
80.596466	8193	1.000000	1
90.597855	1	0.000122	0
90.597855	2	0.000244	0
90.597855	3	0.000366	0
90.597855	4	0.000488	0
90.597855	5	0.000610	0
90.597855	6	0.000732	0
90.597855	7	0.000854	0
90.597855	8	0.000976	0
90.597855	9	0.001098	0
90.597855	10	0.001221	0
90.597855	8193	1.000000	1
100.599457	1	0.000122	0
100.599457	2	0.000244	0
100.599457	3	0.000366	0
100.599457	4	0.000488	0
100.599457	5	0.000610	0
100.599457	6	0.000732	0
100.599457	7	0.000854	0
100.599457	8	0.000976	0
100.599457	9	0.001098	0
100.599457	10	0.001221	0
100.599457	8193	1.000000	1
107.769638	1	0.000100	0
107.769638	2	0.000200	0
107.769638	3	0.000300	0
107.769638	4	0.000400	0
107.769638	5	0.000500	0
107.769638	6	0.000600	0
107.769638	7	0.000700	0
107.769638	8	0.000800	0
107.769638	9	0.000900	0
107.769638	10	0.001000	0
107.769638	10000	1.000000	1
110.600647	1	0.000098	0
110.600647	2	0.000195	0
110.600647	3	0.000293	0
110.600647	4	0.000391	0
110.600647	5	0.000488	0
110.600647	6	0.000586	0
110.600647	7	0.000684	0
110.600647	8	0.000781	0
110.600647	9	0.000879	0
110.600647	10	0.000976	0
110.600647	10241	1.000000	1
120.601547	1	0.000081	1
120.601547	2	0.000163	0
120.601547	3	0.000244	0
120.601547	4	0.000325	0
120.601547	5	0.000407	0
120.601547	6	0.000488	0
120.601547	7	0.000570	0
120.601547	8	0.000651	0
120.601547	9	0.000732	0
120.601547	10	0.000814	0
120.601547	12289	1.000000	1
130.602768	1	0.000081	0
130.602768	2	0.000163	0
130.602768	3	0.000244	0
130.602768	4	0.000325	0
130.602768	5	0.000407	0
130.602768	6	0.000488	0
130.602768	7	0.000570	0
130.602768	8	0.000651	0
130.602768	9	0.000732	0
130.602768	10	0.000814	0
130.602768	12289	1.000000	1
140.603699	1	0.000070	0
140.603699	2	0.000139	0
140.603699	3	0.000209	0
140.603699	4	0.000279	0
140.603699	5	0.000349	0
140.603699	6	0.000418	0
140.603699	7	0.000488	0
140.603699	8	0.000558	0
140.603699	9	0.000628	0
140.603699	10	0.000697	0
140.603699	14337	1.000000	1
142.300934	1	0.000067	1
142.300934	2	0.000133	0
142.300934	3	0.000200	0
142.300934	4	0.000267	0
142.300934	5	0.000333	0
142.300934	6	0.000400	0
142.300934	7	0.000467	0
142.300934	8	0.000533	0
142.300934	9	0.000600	0
