Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
0.000000	1	0	0	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	8.086067e-11	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
1.112877	2	1	0	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	8.086067e-11	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0
2.138834	13	12	0	0	0.615385	0.000000	0.698225	0.000000	1.000000e+00	8.086067e-11	0.000000e+00	0.000000e+00	4	4	1	1	1	4	1	4	13	0	0	0	0	0	0	0	0	0	0
3.149792	51	50	0	0	0.960784	0.000000	0.978854	0.000000	1.000000e+00	8.086067e-11	0.000000e+00	0.000000e+00	13	13	1	1	1	13	1	13	51	0	0	0	0	0	0	0	0	0	0
4.154377	132	131	0	0	1.075758	0.022727	1.024564	0.022211	1.001271e+00	8.086067e-11	6.945254e-05	0.000000e+00	29	29	2	1	1	29	2	29	129	3	0	0	0	0	0	0	0	0	0
5.173827	308	307	0	0	1.240260	0.009740	1.500717	0.009645	1.000545e+00	8.086067e-11	3.016098e-05	0.000000e+00	59	59	2	1	1	59	2	59	305	3	0	0	0	0	0	0	0	0	0
6.176421	801	800	0	0	1.420724	0.011236	1.479672	0.011110	1.000628e+00	8.086067e-11	3.473987e-05	0.000000e+00	153	153	2	1	1	153	2	153	792	9	0	0	0	0	0	0	0	0	0
7.177411	2130	2129	0	0	1.622535	0.018779	1.724191	0.018427	1.001050e+00	8.086067e-11	5.761983e-05	0.000000e+00	428	428	2	1	1	430	2	430	2090	40	0	0	0	0	0	0	0	0	0
8.177633	5837	5836	0	0	1.819428	0.023814	2.049959	0.023246	1.001341e+00	8.086067e-11	7.427415e-05	0.000000e+00	1104	1104	3	1	1	1110	3	1110	5698	139	0	0	0	0	0	0	0	0	0
9.177781	8193	13605	5413	0	1.992921	0.026730	2.184031	0.026016	1.001513e+00	8.086067e-11	8.455449e-05	0.000000e+00	1923	1923	4	1	1	2000	4	2549	7974	219	0	0	0	0	0	0	0	0	0
