Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
0	0	0	0	0	0	1	0	1.000000	0.000000	0.000000	1000000
0	0	1	1	1	0	1	0	1.055919	0.000000	3.849531	1000000
0	1	46	46	2	0	1	0	1.174165	0.000000	118.940445	40960
0	1	75	75	2	0	1	0	1.313656	0.000000	162.110870	49153
0	75	100	100	3	0	1	0	1.637071	0.000000	207.479248	49153
271	1	118	118	2	0	1	1	1.354336	0.000000	225.736832	65536
0	46	106	106	3	0	1	0	1.510197	0.000000	214.693558	40960
0	189	237	237	4	0	1	1	2.101386	0.000000	330.001984	8192
0	1	172	172	2	0	1	0	1.308981	0.000000	281.187164	844351
0	106	186	186	4	0	1	0	1.781503	0.000000	290.712067	40960
0	118	189	189	3	0	1	1	1.601123	0.000000	291.781769	8192
0	172	224	224	3	0	1	0	1.496658	0.000000	321.927979	8192
0	172	233	233	3	0	1	2	1.672995	0.000000	328.175995	836159
0	237	258	258	5	0	1	2	2.196110	0.000000	345.464050	8192
0	186	245	245	5	0	1	0	2.120968	0.000000	334.090057	40960
0	100	246	246	4	0	1	0	2.322130	0.000000	334.784424	49153
0	246	349	349	5	0	1	1	2.506230	0.000000	395.396820	49153
0	224	281	281	4	0	1	0	1.749494	0.000000	356.363922	8192
0	281	352	352	5	0	1	0	2.145891	0.000000	396.081024	8192
0	349	459	459	6	0	1	1	2.582259	0.000000	444.998749	49153
0	245	385	385	6	0	1	0	2.440813	0.000000	409.333740	40960
0	233	408	408	4	0	1	2	1.831149	0.000000	419.094391	836159
0	258	432	432	6	0	1	2	2.390630	0.000000	434.714447	8192
32572	385	490	490	7	0	1	0	2.569051	0.000000	459.334198	40960
0	118	536	536	3	0	1	1	1.452273	0.000000	480.807800	32768
0	352	532	532	6	0	1	0	2.850374	0.000000	479.025482	8192
0	432	537	537	7	0	1	3	2.692027	0.000000	481.578735	8192
649	408	527	527	5	0	1	2	2.640137	0.000000	477.138885	836159
0	459	630	630	7	0	1	1	2.753703	0.000000	514.550293	24577
0	527	637	637	6	0	1	2	2.945211	0.000000	516.090942	98304
7404	118	667	667	3	0	1	1	1.550738	0.000000	523.542358	16384
0	527	758	758	6	0	1	2	3.332265	0.000000	540.412781	16384
0	527	901	901	6	0	1	2	3.131807	0.000000	562.689514	8192
0	527	734	734	6	0	1	2	3.086951	0.000000	536.932861	163840
0	527	812	812	6	0	1	2	2.890617	0.000000	548.321106	106498
0	536	788	788	4	0	1	1	1.891256	0.000000	545.172974	32768
0	527	833	833	6	0	1	2	3.007272	0.000000	552.113159	92102
0	532	881	881	7	0	1	0	3.086423	0.000000	559.956238	8192
15800	527	916	916	6	0	1	2	2.738460	0.000000	564.532410	16214
32761	812	979	979	7	0	1	2	3.332730	0.000000	572.158325	106498
3561	758	978	978	7	0	1	2	4.156764	0.000000	572.106079	16384
9212	833	1003	1003	7	0	1	2	3.609953	0.000000	574.467651	92102
8188	527	1097	1097	6	0	1	2	2.854056	0.000000	584.661133	24576
18250	788	1020	1020	5	0	1	1	2.110299	0.000000	575.716553	32768
32213	527	1272	1272	6	0	1	3	3.496364	0.000000	599.891968	49152
8528	527	1048	1048	6	0	1	2	2.939102	0.000000	578.911194	40960
11	537	1105	1105	8	0	1	3	3.290420	0.000000	585.372192	8192
55838	637	1072	1072	7	0	1	2	3.356584	0.000000	581.752747	98304
8375	527	1063	1063	6	0	1	2	3.232199	0.000000	580.586609	31344
0	459	1070	1070	7	0	1	1	3.109042	0.000000	581.646545	24576
18220	734	1135	1135	7	0	1	3	3.651976	0.000000	588.644958	163840
17003	527	1277	1277	6	0	1	3	3.040653	0.000000	600.235352	49154
8310	979	1173	1173	8	0	1	2	3.669848	0.000000	592.685486	40961
0	901	1178	1178	7	0	1	2	3.690654	0.000000	592.901672	8192
0	527	1261	1261	6	0	1	2	3.296755	0.000000	599.081543	49154
