Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
8.017926	1	0.000200	495
8.017926	2	0.000400	164
8.017926	3	0.000600	82
8.017926	4	0.000800	43
8.017926	5	0.001000	35
8.017926	6	0.001200	16
8.017926	7	0.001400	16
8.017926	8	0.001600	18
8.017926	9	0.001800	9
8.017926	10	0.002000	4
8.017926	835	0.167000	1
8.017926	111	0.022200	1
8.017926	120	0.024000	1
8.017926	83	0.016600	1
8.017926	376	0.075200	1
8.017926	155	0.031000	1
8.017926	50	0.010000	1
8.017926	88	0.017600	1
8.017926	37	0.007400	2
8.017926	79	0.015800	1
8.017926	129	0.025800	1
8.017926	92	0.018400	1
8.017926	16	0.003200	3
8.017926	36	0.007200	1
8.017926	12	0.002400	7
8.017926	34	0.006800	1
8.017926	39	0.007800	3
8.017926	13	0.002600	5
8.017926	60	0.012000	1
8.017926	31	0.006200	1
8.017926	21	0.004200	1
8.017926	11	0.002200	7
8.017926	25	0.005000	2
8.017926	27	0.005400	1
8.017926	45	0.009000	1
8.017926	19	0.003800	3
8.017926	14	0.002800	3
8.017926	20	0.004000	2
8.017926	18	0.003600	1
8.017926	22	0.004400	2
8.017926	23	0.004600	1
10.178174	1	0.000122	1284
10.178174	2	0.000244	445
10.178174	3	0.000366	208
10.178174	4	0.000488	112
10.178174	5	0.000610	66
10.178174	6	0.000732	41
10.178174	7	0.000854	36
10.178174	8	0.000976	30
10.178174	9	0.001098	18
10.178174	10	0.001221	12
10.178174	881	0.107531	1
10.178174	116	0.014158	1
10.178174	108	0.013182	1
10.178174	72	0.008788	1
10.178174	405	0.049432	1
10.178174	120	0.014647	1
10.178174	47	0.005737	1
10.178174	111	0.013548	1
10.178174	34	0.004150	1
10.178174	81	0.009886	1
10.178174	182	0.022214	1
10.178174	73	0.008910	1
10.178174	13	0.001587	8
10.178174	25	0.003051	2
10.178174	29	0.003540	2
10.178174	35	0.004272	1
10.178174	11	0.001343	11
10.178174	67	0.008178	1
10.178174	45	0.005492	1
10.178174	33	0.004028	1
10.178174	23	0.002807	1
10.178174	28	0.003418	1
10.178174	16	0.001953	4
10.178174	36	0.004394	2
10.178174	44	0.005370	1
10.178174	15	0.001831	7
10.178174	49	0.005981	1
10.178174	22	0.002685	3
10.178174	40	0.004882	1
10.178174	14	0.001709	3
10.178174	18	0.002197	3
10.178174	12	0.001465	6
10.178174	17	0.002075	3
10.178174	41	0.005004	2
10.178174	21	0.002563	2
10.178174	20	0.002441	1
20.178930	1	0.000122	1485
20.178930	2	0.000244	633
20.178930	3	0.000366	322
20.178930	4	0.000488	206
20.178930	5	0.000610	125
20.178930	6	0.000732	88
20.178930	7	0.000854	65
20.178930	8	0.000976	38
20.178930	9	0.001098	36
20.178930	10	0.001221	25
20.178930	107	0.013060	1
20.178930	13	0.001587	14
20.178930	48	0.005859	1
20.178930	15	0.001831	5
20.178930	18	0.002197	3
20.178930	28	0.003418	1
20.178930	14	0.001709	12
20.178930	11	0.001343	14
20.178930	12	0.001465	9
20.178930	20	0.002441	4
20.178930	19	0.002319	2
20.178930	16	0.001953	4
20.178930	22	0.002685	1
20.178930	21	0.002563	1
20.178930	17	0.002075	1
30.180630	1	0.000122	1604
30.180630	2	0.000244	631
30.180630	3	0.000366	334
30.180630	4	0.000488	199
30.180630	5	0.000610	129
30.180630	6	0.000732	105
30.180630	7	0.000854	68
30.180630	8	0.000976	51
30.180630	9	0.001098	33
30.180630	10	0.001221	24
30.180630	26	0.003173	1
30.180630	17	0.002075	4
30.180630	15	0.001831	4
30.180630	11	0.001343	16
30.180630	12	0.001465	13
30.180630	14	0.001709	3
30.180630	13	0.001587	8
30.180630	24	0.002929	2
30.180630	16	0.001953	6
30.180630	19	0.002319	1
30.180630	20	0.002441	1
30.180630	18	0.002197	1
40.181171	1	0.000122	1517
40.181171	2	0.000244	615
40.181171	3	0.000366	343
40.181171	4	0.000488	220
40.181171	5	0.000610	140
40.181171	6	0.000732	90
40.181171	7	0.000854	59
40.181171	8	0.000976	37
40.181171	9	0.001098	34
40.181171	10	0.001221	21
40.181171	26	0.003173	1
40.181171	11	0.001343	18
40.181171	13	0.001587	10
40.181171	14	0.001709	5
40.181171	18	0.002197	3
40.181171	12	0.001465	16
40.181171	19	0.002319	5
40.181171	16	0.001953	4
40.181171	17	0.002075	2
40.181171	15	0.001831	4
40.181171	28	0.003418	1
40.181171	24	0.002929	1
40.181171	32	0.003906	1
40.181171	25	0.003051	1
40.181171	20	0.002441	2
50.182476	1	0.000122	1491
50.182476	2	0.000244	691
50.182476	3	0.000366	346
50.182476	4	0.000488	202
50.182476	5	0.000610	155
50.182476	6	0.000732	83
50.182476	7	0.000854	63
50.182476	8	0.000976	38
50.182476	9	0.001098	31
50.182476	10	0.001221	20
50.182476	19	0.002319	3
50.182476	14	0.001709	10
50.182476	15	0.001831	3
50.182476	11	0.001343	18
50.182476	13	0.001587	5
50.182476	17	0.002075	6
50.182476	26	0.003173	1
50.182476	21	0.002563	2
50.182476	12	0.001465	9
50.182476	20	0.002441	6
50.182476	16	0.001953	1
50.182476	22	0.002685	1
50.182476	18	0.002197	2
57.872463	1	0.000100	1655
57.872463	2	0.000200	615
57.872463	3	0.000300	402
57.872463	4	0.000400	232
