Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
0	0	0	0	0	0	1	0	1.000000	0.001458	0.000000	1000000
0	0	13	13	1	0	1	0	1.230609	0.001458	245.602692	445673
0	0	15	15	1	0	1	0	1.255492	0.001458	251.718521	554327
199800	15	49	49	2	0	1	0	1.721830	0.001458	342.708069	554327
197431	13	59	59	2	0	1	1	1.731097	0.001458	362.982635	445673
15	59	86	86	3	0	1	1	1.996473	0.001458	396.532257	2533
0	49	153	153	3	0	1	0	1.881100	0.001458	439.887177	9735
0	49	184	184	3	0	1	0	2.151698	0.001458	449.184967	139726
9544	153	359	359	4	0	1	0	2.276350	0.001458	492.274017	9735
14911	59	441	441	3	0	1	1	2.130096	0.001458	506.018005	38724
1	49	434	434	3	0	1	0	2.018757	0.001458	504.976898	1
0	49	498	498	3	0	1	0	1.973854	0.001458	511.509216	149973
0	59	484	484	3	0	1	1	2.080997	0.001458	509.847321	103005
487	59	486	486	3	0	1	1	2.308865	0.001458	509.933990	487
1255	59	683	683	3	0	1	1	1.925004	0.001458	529.342529	1255
8257	59	623	623	3	0	1	1	2.205480	0.001458	523.505798	8375
1028	49	785	785	3	0	1	0	1.767914	0.001458	537.618530	1028
21981	441	747	747	4	0	1	1	2.406476	0.001458	533.953674	23813
52841	184	709	709	4	0	1	3	2.942111	0.001458	530.932983	139726
10600	484	759	759	4	0	1	1	2.525669	0.001458	535.216797	103005
35	49	1091	1091	3	0	1	0	2.267481	0.001458	559.014709	35
1205	59	771	771	3	0	1	1	2.021035	0.001458	536.167419	1740
3751	59	850	850	3	0	1	1	2.053265	0.001458	542.740906	4049
172	49	940	940	3	0	1	0	1.775530	0.001458	549.099976	172
0	49	923	923	3	0	1	0	2.220359	0.001458	548.196228	111
81	49	962	962	3	0	1	0	2.254166	0.001458	550.941040	81
4267	59	918	918	3	0	1	1	2.015445	0.001458	547.789185	9438
56	359	1332	1332	5	0	1	0	2.520004	0.001458	571.617249	56
54	359	1563	1563	5	0	1	0	2.375107	0.001458	582.924072	54
92	923	1219	1219	4	0	1	0	2.840830	0.001458	566.235962	111
2927	59	1105	1105	3	0	1	1	2.099844	0.001458	559.800293	2927
286	59	1097	1097	3	0	1	1	1.784056	0.001458	559.176697	286
18276	49	1029	1029	3	0	1	1	2.390237	0.001458	555.599182	18709
13016	59	1036	1036	3	0	1	1	2.175439	0.001458	555.870667	17270
