Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.021861	1	0.058824	4
10.021861	2	0.117647	3
10.021861	3	0.176471	1
10.021861	4	0.235294	1
10.021861	5	0.294118	0
10.021861	6	0.352941	0
10.021861	7	0.411765	0
10.021861	8	0.470588	0
10.021861	9	0.529412	0
10.021861	10	0.588235	0
20.033371	1	0.035714	5
20.033371	2	0.071429	1
20.033371	3	0.107143	1
20.033371	4	0.142857	1
20.033371	5	0.178571	1
20.033371	6	0.214286	0
20.033371	7	0.250000	0
20.033371	8	0.285714	0
20.033371	9	0.321429	1
20.033371	10	0.357143	0
30.039923	1	0.021277	11
30.039923	2	0.042553	3
30.039923	3	0.063830	6
30.039923	4	0.085106	0
30.039923	5	0.106383	0
30.039923	6	0.127660	2
30.039923	7	0.148936	0
30.039923	8	0.170213	0
30.039923	9	0.191489	0
30.039923	10	0.212766	0
40.043304	1	0.006494	34
40.043304	2	0.012987	5
40.043304	3	0.019481	6
40.043304	4	0.025974	2
40.043304	5	0.032468	3
40.043304	6	0.038961	1
40.043304	7	0.045455	1
40.043304	8	0.051948	0
40.043304	9	0.058442	0
40.043304	10	0.064935	1
40.043304	20	0.129870	1
40.043304	13	0.084416	2
50.047939	1	0.004425	45
50.047939	2	0.008850	10
50.047939	3	0.013274	8
50.047939	4	0.017699	3
50.047939	5	0.022124	4
50.047939	6	0.026549	7
50.047939	7	0.030973	1
50.047939	8	0.035398	1
50.047939	9	0.039823	0
50.047939	10	0.044248	0
50.047939	11	0.048673	1
50.047939	16	0.070796	1
50.047939	21	0.092920	1
60.053020	1	0.002801	65
60.053020	2	0.005602	26
60.053020	3	0.008403	21
60.053020	4	0.011204	8
60.053020	5	0.014006	10
60.053020	6	0.016807	3
60.053020	7	0.019608	3
60.053020	8	0.022409	2
60.053020	9	0.025210	1
60.053020	10	0.028011	0
60.053020	18	0.050420	1
60.053020	13	0.036415	1
70.056839	1	0.002183	81
70.056839	2	0.004367	47
70.056839	3	0.006550	14
70.056839	4	0.008734	9
70.056839	5	0.010917	8
70.056839	6	0.013100	5
70.056839	7	0.015284	4
70.056839	8	0.017467	3
70.056839	9	0.019651	2
70.056839	10	0.021834	1
70.056839	14	0.030568	1
70.056839	15	0.032751	2
70.056839	11	0.024017	1
80.060814	1	0.002037	86
80.060814	2	0.004073	36
80.060814	3	0.006110	27
80.060814	4	0.008147	15
80.060814	5	0.010183	5
80.060814	6	0.012220	7
80.060814	7	0.014257	3
80.060814	8	0.016293	4
80.060814	9	0.018330	1
80.060814	10	0.020367	1
80.060814	12	0.024440	1
80.060814	13	0.026477	1
80.060814	11	0.022403	1
80.060814	17	0.034623	1
90.064384	1	0.001658	105
90.064384	2	0.003317	38
90.064384	3	0.004975	32
90.064384	4	0.006633	14
90.064384	5	0.008292	10
90.064384	6	0.009950	7
90.064384	7	0.011609	5
90.064384	8	0.013267	4
90.064384	9	0.014925	2
90.064384	10	0.016584	0
90.064384	14	0.023217	1
90.064384	13	0.021559	3
90.064384	12	0.019900	1
90.064384	17	0.028192	1
90.064384	11	0.018242	1
100.068352	1	0.001332	130
100.068352	2	0.002663	67
100.068352	3	0.003995	29
100.068352	4	0.005326	13
100.068352	5	0.006658	11
100.068352	6	0.007989	4
100.068352	7	0.009321	8
100.068352	8	0.010652	4
100.068352	9	0.011984	3
100.068352	10	0.013316	0
100.068352	16	0.021305	2
100.068352	13	0.017310	3
100.068352	11	0.014647	2
100.068352	22	0.029294	1
100.068352	15	0.019973	1
100.068352	12	0.015979	2
110.070351	1	0.000935	213
110.070351	2	0.001871	78
110.070351	3	0.002806	41
110.070351	4	0.003742	22
110.070351	5	0.004677	18
110.070351	6	0.005613	9
110.070351	7	0.006548	7
110.070351	8	0.007484	8
110.070351	9	0.008419	5
110.070351	10	0.009355	2
110.070351	11	0.010290	3
110.070351	12	0.011225	3
110.070351	14	0.013096	2
110.070351	24	0.022451	1
110.070351	13	0.012161	1
110.070351	18	0.016838	1
110.070351	15	0.014032	1
120.073067	1	0.000654	257
120.073067	2	0.001309	120
120.073067	3	0.001963	61
120.073067	4	0.002618	45
120.073067	5	0.003272	27
120.073067	6	0.003927	23
120.073067	7	0.004581	10
120.073067	8	0.005236	3
120.073067	9	0.005890	9
120.073067	10	0.006545	4
120.073067	11	0.007199	3
120.073067	13	0.008508	2
120.073067	18	0.011780	1
120.073067	20	0.013089	1
120.073067	14	0.009162	4
120.073067	12	0.007853	1
120.073067	15	0.009817	1
130.074158	1	0.000496	353
130.074158	2	0.000991	155
130.074158	3	0.001487	78
130.074158	4	0.001982	47
130.074158	5	0.002478	29
130.074158	6	0.002973	16
130.074158	7	0.003469	19
130.074158	8	0.003964	13
130.074158	9	0.004460	7
130.074158	10	0.004955	4
130.074158	11	0.005451	8
130.074158	36	0.017839	1
130.074158	25	0.012389	1
130.074158	14	0.006938	3
130.074158	16	0.007929	1
130.074158	12	0.005946	3
130.074158	18	0.008920	1
130.074158	20	0.009911	1
130.074158	19	0.009415	1
130.074158	13	0.006442	2
130.074158	26	0.012884	1
140.075409	1	0.000399	463
140.075409	2	0.000797	172
140.075409	3	0.001196	99
140.075409	4	0.001594	68
140.075409	5	0.001993	48
140.075409	6	0.002391	29
