NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	DriverIdentity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	PassengerMutations
1	1	-1	-1	0.000000	0	0	0	1	1.000000	1.181952	0.000000	0	0	0
6	1	-1	-1	1.406238	0	0	0	6	1.000000	1.181952	0.000000	0	0	0
10	1	-1	-1	2.502857	0	0	0	10	1.000000	1.181952	0.000000	0	0	0
17	1	-1	-1	3.513062	0	0	0	17	1.000000	1.181952	0.000000	0	0	0
24	1	-1	-1	4.520036	0	0	0	24	1.000000	1.181952	0.000000	0	0	0
32	1	-1	-1	5.566540	0	0	0	32	1.000000	1.181952	0.000000	0	0	0
46	1	-1	-1	6.567283	0	0	0	46	1.000000	1.181952	0.000000	0	0	0
57	1	-1	-1	7.569781	0	0	0	57	1.000000	1.181952	0.000000	0	0	0
70	1	-1	-1	8.571724	0	0	0	70	1.000000	1.181952	0.000000	0	0	0
88	1	-1	-1	9.572927	0	0	0	88	1.000000	1.181952	0.000000	0	0	0
109	1	-1	-1	10.583992	0	0	0	109	1.000000	1.181952	0.000000	0	0	0
138	1	-1	-1	11.586765	0	0	0	138	1.000000	1.181952	0.000000	0	0	0
154	1	-1	-1	12.591343	0	0	0	154	1.000000	1.181952	0.000000	0	0	0
178	1	-1	-1	13.594416	0	0	0	178	1.000000	1.181952	0.000000	0	0	0
196	1	-1	-1	14.603579	0	0	0	196	1.000000	1.181952	0.000000	0	0	0
220	1	-1	-1	15.603674	0	0	0	220	1.000000	1.181952	0.000000	0	0	0
244	1	-1	-1	16.611326	0	0	0	244	1.000000	1.181952	0.000000	0	0	0
267	1	-1	-1	17.611473	0	0	0	267	1.000000	1.181952	0.000000	0	0	0
307	1	-1	-1	18.613073	0	0	0	307	1.000000	1.181952	0.000000	0	0	0
342	1	-1	-1	19.615715	0	0	0	342	1.000000	1.181952	0.000000	0	0	0
375	1	-1	-1	20.618443	0	0	0	375	1.000000	1.181952	0.000000	0	0	0
410	1	-1	-1	21.619759	0	0	0	410	1.000000	1.181952	0.000000	0	0	0
453	1	-1	-1	22.626299	0	0	0	453	1.000000	1.181952	0.000000	0	0	0
487	1	-1	-1	23.627409	0	0	0	487	1.000000	1.181952	0.000000	0	0	0
528	1	-1	-1	24.632555	0	0	0	528	1.000000	1.181952	0.000000	0	0	0
576	1	-1	-1	25.632732	0	0	0	576	1.000000	1.181952	0.000000	0	0	0
631	1	-1	-1	26.633265	0	0	0	631	1.000000	1.181952	0.000000	0	0	0
681	1	-1	-1	27.633694	0	0	0	681	1.000000	1.181952	0.000000	0	0	0
