Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
0.000000	1	0	0	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	1.181952e+00	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
1.406238	6	6	1	5	0.333333	0.000000	0.222222	0.000000	1.000000e+00	1.181952e+00	0.000000e+00	0.000000e+00	6	2	1	6	6	2	1	2	6	0	0	0	0	0	0	0	0	0	0
2.502857	10	13	4	8	0.500000	0.000000	0.250000	0.000000	1.000000e+00	1.181952e+00	0.000000e+00	0.000000e+00	9	2	1	9	9	2	1	2	10	0	0	0	0	0	0	0	0	0	0
3.513062	17	31	15	16	0.529412	0.000000	0.249135	0.000000	1.000000e+00	1.181952e+00	0.000000e+00	0.000000e+00	17	4	1	17	17	4	1	5	17	0	0	0	0	0	0	0	0	0	0
4.520036	24	55	32	22	0.583333	0.000000	0.243056	0.000000	1.000000e+00	1.181952e+00	0.000000e+00	0.000000e+00	23	5	1	23	23	6	1	8	24	0	0	0	0	0	0	0	0	0	0
5.566540	32	79	48	30	0.562500	0.000000	0.308594	0.000000	1.000000e+00	1.181952e+00	0.000000e+00	0.000000e+00	31	6	1	31	31	7	1	12	32	0	0	0	0	0	0	0	0	0	0
6.567283	46	120	75	43	0.673913	0.000000	0.393667	0.000000	1.000000e+00	1.181952e+00	0.000000e+00	0.000000e+00	45	12	1	44	44	12	1	19	46	0	0	0	0	0	0	0	0	0	0
7.569781	57	172	116	55	0.789474	0.000000	0.376731	0.000000	1.000000e+00	1.181952e+00	0.000000e+00	0.000000e+00	56	20	1	56	56	20	1	33	57	0	0	0	0	0	0	0	0	0	0
8.571724	70	239	170	69	1.028571	0.000000	0.656327	0.000000	1.000000e+00	1.181952e+00	0.000000e+00	0.000000e+00	70	25	1	70	70	28	1	50	70	0	0	0	0	0	0	0	0	0	0
9.572927	88	326	239	85	1.090909	0.000000	0.741736	0.000000	1.000000e+00	1.181952e+00	0.000000e+00	0.000000e+00	86	28	1	86	86	33	1	62	88	0	0	0	0	0	0	0	0	0	0
10.583992	109	431	323	107	1.220183	0.000000	0.777207	0.000000	1.000000e+00	1.181952e+00	0.000000e+00	0.000000e+00	109	35	1	108	108	40	1	83	109	0	0	0	0	0	0	0	0	0	0
11.586765	138	561	424	136	1.405797	0.000000	0.878807	0.000000	1.000000e+00	1.181952e+00	0.000000e+00	0.000000e+00	138	48	1	137	137	56	1	111	138	0	0	0	0	0	0	0	0	0	0
12.591343	154	700	547	152	1.512987	0.000000	1.042039	0.000000	1.000000e+00	1.181952e+00	0.000000e+00	0.000000e+00	153	54	1	153	153	67	1	138	154	0	0	0	0	0	0	0	0	0	0
13.594416	178	871	694	176	1.623595	0.000000	1.043713	0.000000	1.000000e+00	1.181952e+00	0.000000e+00	0.000000e+00	177	61	1	177	177	77	1	169	178	0	0	0	0	0	0	0	0	0	0
14.603579	196	1051	856	194	1.714286	0.000000	1.122449	0.000000	1.000000e+00	1.181952e+00	0.000000e+00	0.000000e+00	196	73	1	195	195	91	1	193	196	0	0	0	0	0	0	0	0	0	0
15.603674	220	1245	1026	219	1.800000	0.000000	1.141818	0.000000	1.000000e+00	1.181952e+00	0.000000e+00	0.000000e+00	220	86	1	220	220	108	1	229	220	0	0	0	0	0	0	0	0	0	0
16.611326	244	1472	1229	241	1.954918	0.000000	1.346328	0.000000	1.000000e+00	1.181952e+00	0.000000e+00	0.000000e+00	242	103	1	242	242	134	1	274	244	0	0	0	0	0	0	0	0	0	0
17.611473	267	1742	1476	265	2.078652	0.000000	1.428270	0.000000	1.000000e+00	1.181952e+00	0.000000e+00	0.000000e+00	266	122	1	266	266	158	1	325	267	0	0	0	0	0	0	0	0	0	0
18.613073	307	2035	1729	306	2.175896	0.000000	1.513035	0.000000	1.000000e+00	1.181952e+00	0.000000e+00	0.000000e+00	307	140	1	307	307	185	1	381	307	0	0	0	0	0	0	0	0	0	0
19.615715	342	2350	2009	340	2.309942	0.000000	1.629082	0.000000	1.000000e+00	1.181952e+00	0.000000e+00	0.000000e+00	341	161	1	341	341	222	1	443	342	0	0	0	0	0	0	0	0	0	0
20.618443	375	2693	2319	373	2.458667	0.000000	1.720291	0.000000	1.000000e+00	1.181952e+00	0.000000e+00	0.000000e+00	375	192	1	374	374	266	1	518	375	0	0	0	0	0	0	0	0	0	0
