Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
941592	0	0	0	0	0	1	0	1.000000	1.181952	0.000000	1000000
1	0	1	1	1	0	0	0	1.010560	1.181952	60.782856	1
1	0	4	4	1	0	0	0	1.137979	1.181952	97.550011	1
1	0	5	5	1	0	0	0	1.056126	1.181952	97.625031	1
1	0	8	8	1	0	0	0	1.080842	1.181952	101.486000	1
1	0	9	9	1	0	0	0	1.062452	1.181952	103.096169	1
1	0	10	10	1	0	0	0	1.052591	1.181952	105.680046	1
1	0	11	11	1	0	0	0	1.120515	1.181952	110.601189	1
1	0	12	12	1	0	0	0	1.011830	1.181952	111.094681	1
1	0	13	13	1	0	0	0	1.037922	1.181952	119.389297	1
1	0	17	17	1	0	0	0	1.021008	1.181952	126.014603	1
1	0	18	18	1	0	0	0	1.072613	1.181952	129.485596	1
1	0	19	19	1	0	0	0	1.078883	1.181952	130.881378	1
1	0	20	20	1	0	0	0	1.092765	1.181952	132.265839	1
1	0	21	21	1	0	0	0	1.117029	1.181952	134.738007	1
1	0	22	22	1	0	0	0	1.034962	1.181952	136.736710	1
2	0	24	24	1	0	0	1	1.004960	1.181952	145.438843	2
1	0	32	32	1	0	0	0	1.119411	1.181952	157.759338	1
1	0	34	34	1	0	0	1	1.054289	1.181952	161.599075	1
1	0	35	35	1	0	0	2	1.039618	1.181952	161.686508	1
1	0	36	36	1	0	0	0	1.067725	1.181952	167.043762	1
1	0	37	37	1	0	0	0	1.163474	1.181952	170.190460	1
1	0	38	38	1	0	0	0	1.015419	1.181952	171.605927	1
1	0	39	39	1	0	0	0	1.156201	1.181952	171.805435	1
1	0	41	41	1	0	0	0	1.169446	1.181952	175.424728	1
1	0	44	44	1	0	0	0	1.016411	1.181952	183.820648	1
1	0	45	45	1	0	0	0	1.086593	1.181952	184.394989	1
1	0	47	47	1	0	0	0	1.000917	1.181952	186.904480	1
1	0	52	52	1	0	0	0	1.013103	1.181952	194.157486	1
1	0	56	56	1	0	0	0	1.105453	1.181952	195.740891	1
1	0	58	58	1	0	0	0	1.071432	1.181952	196.175140	1
1	0	59	59	1	0	0	0	1.048131	1.181952	196.242645	1
1	0	61	61	1	0	0	0	1.109906	1.181952	198.296234	1
1	0	62	62	1	0	0	0	1.139163	1.181952	198.661163	1
1	0	66	66	1	0	0	0	1.087332	1.181952	203.606979	1
1	0	69	69	1	0	0	1	1.136048	1.181952	206.183075	1
1	0	71	71	1	0	0	0	1.050792	1.181952	207.190964	1
1	0	72	72	1	0	0	0	1.060536	1.181952	207.258484	1
1	0	73	73	1	0	0	0	1.352982	1.181952	207.370483	1
1	0	75	75	1	0	0	1	1.002588	1.181952	208.194565	1
1	0	79	79	1	0	0	0	1.143804	1.181952	211.191101	1
1	0	81	81	1	0	0	0	1.159876	1.181952	212.978729	1
1	0	83	83	1	0	0	0	1.003879	1.181952	213.303543	1
1	0	84	84	1	0	0	0	1.090452	1.181952	213.744232	1
1	0	85	85	1	0	0	1	1.016996	1.181952	215.532684	1
1	0	86	86	1	0	0	1	1.154013	1.181952	216.162949	1
1	0	88	88	1	0	0	0	1.105481	1.181952	217.467239	1
1	0	89	89	1	0	0	0	1.012889	1.181952	218.273132	1
1	0	90	90	1	0	0	0	1.153020	1.181952	219.940155	1
1	0	93	93	1	0	0	0	1.181102	1.181952	222.288376	1
1	0	94	94	1	0	0	0	1.104161	1.181952	222.706528	1
1	0	97	97	1	0	0	0	1.069930	1.181952	224.601212	1
1	0	98	98	1	0	0	0	1.170965	1.181952	225.968643	1
1	0	99	99	1	0	0	0	1.015994	1.181952	227.034134	1
1	0	101	101	1	0	0	0	1.108078	1.181952	228.446930	1
1	0	107	107	1	0	0	0	1.084904	1.181952	237.168503	1
1	0	106	106	1	0	0	0	1.021499	1.181952	234.442169	1
1	0	109	109	1	0	0	0	1.072633	1.181952	238.024963	1
1	0	112	112	1	0	0	0	1.064383	1.181952	238.859146	1
1	0	113	113	1	0	0	0	1.001332	1.181952	239.974319	1
1	0	114	114	1	0	0	0	1.006884	1.181952	240.325668	1
1	0	115	115	1	0	0	0	1.080059	1.181952	240.383240	1
1	0	116	116	1	0	0	0	1.045797	1.181952	240.816895	1
1	0	117	117	1	0	0	0	1.070017	1.181952	241.209167	1
1	0	120	120	1	0	0	0	1.001203	1.181952	244.373444	1
1	0	122	122	1	0	0	0	1.017915	1.181952	245.326340	1
1	0	124	124	1	0	0	0	1.046205	1.181952	245.641037	1
1	0	126	126	1	0	0	1	1.110696	1.181952	246.941238	1
1	0	127	127	1	0	0	0	1.028204	1.181952	247.594147	1
1	0	128	128	1	0	0	1	1.191156	1.181952	249.609299	1
1	0	129	129	1	0	0	0	1.149579	1.181952	250.151474	1
1	0	131	131	1	0	0	0	1.038102	1.181952	251.949509	1
1	0	132	132	1	0	0	0	1.112522	1.181952	252.805191	1
1	0	134	134	1	0	0	0	1.022113	1.181952	253.990326	1
1	0	136	136	1	0	0	1	1.023714	1.181952	254.630890	1
1	0	137	137	1	0	0	0	1.037058	1.181952	254.938766	1
1	0	139	139	1	0	0	0	1.106193	1.181952	255.477112	1
1	0	140	140	1	0	0	0	1.311822	1.181952	255.882599	1
1	0	141	141	1	0	0	0	1.015247	1.181952	258.815521	1
