Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.583992	1	0.009174	25
10.583992	2	0.018349	3
10.583992	3	0.027523	2
10.583992	4	0.036697	0
10.583992	5	0.045872	2
10.583992	6	0.055046	0
10.583992	7	0.064220	0
10.583992	8	0.073394	1
10.583992	9	0.082569	0
10.583992	10	0.091743	0
10.583992	20	0.183486	1
10.583992	34	0.311927	1
20.618443	1	0.002667	160
20.618443	2	0.005333	9
20.618443	3	0.008000	8
20.618443	4	0.010667	3
20.618443	5	0.013333	2
20.618443	6	0.016000	1
20.618443	7	0.018667	1
20.618443	8	0.021333	2
20.618443	9	0.024000	1
20.618443	10	0.026667	1
20.618443	49	0.130667	1
20.618443	21	0.056000	1
20.618443	20	0.053333	1
20.618443	13	0.034667	1
30.634146	1	0.001167	452
30.634146	2	0.002334	30
30.634146	3	0.003501	11
30.634146	4	0.004667	6
30.634146	5	0.005834	3
30.634146	6	0.007001	6
30.634146	7	0.008168	3
30.634146	8	0.009335	2
30.634146	9	0.010502	2
30.634146	10	0.011669	3
30.634146	29	0.033839	1
30.634146	18	0.021004	1
30.634146	12	0.014002	2
30.634146	14	0.016336	3
30.634146	26	0.030338	1
30.634146	13	0.015169	1
40.638233	1	0.000676	938
40.638233	2	0.001352	48
40.638233	3	0.002028	21
40.638233	4	0.002705	11
40.638233	5	0.003381	4
40.638233	6	0.004057	9
40.638233	7	0.004733	5
40.638233	8	0.005409	1
40.638233	9	0.006085	2
40.638233	10	0.006761	2
40.638233	12	0.008114	4
40.638233	13	0.008790	5
40.638233	17	0.011494	1
40.638233	14	0.009466	3
40.638233	11	0.007437	1
50.641968	1	0.000433	1564
50.641968	2	0.000865	60
50.641968	3	0.001298	25
50.641968	4	0.001730	10
50.641968	5	0.002163	14
50.641968	6	0.002595	8
50.641968	7	0.003028	3
50.641968	8	0.003460	5
50.641968	9	0.003893	5
50.641968	10	0.004325	6
50.641968	27	0.011678	1
50.641968	11	0.004758	3
50.641968	30	0.012976	1
50.641968	17	0.007353	1
50.641968	20	0.008651	1
50.641968	15	0.006488	2
50.641968	12	0.005190	2
50.641968	16	0.006920	1
50.641968	18	0.007785	1
50.641968	14	0.006055	1
60.643715	1	0.000299	2408
60.643715	2	0.000599	82
60.643715	3	0.000898	41
60.643715	4	0.001197	30
60.643715	5	0.001497	12
60.643715	6	0.001796	9
60.643715	7	0.002095	3
60.643715	8	0.002394	7
60.643715	9	0.002694	2
60.643715	10	0.002993	3
60.643715	12	0.003592	3
60.643715	13	0.003891	2
60.643715	15	0.004490	5
60.643715	26	0.007782	1
60.643715	11	0.003292	2
60.643715	20	0.005986	1
60.643715	16	0.004789	1
60.643715	18	0.005388	1
60.643715	31	0.009279	1
60.643715	17	0.005088	1
70.644936	1	0.000218	3398
70.644936	2	0.000436	120
70.644936	3	0.000654	45
70.644936	4	0.000871	18
70.644936	5	0.001089	15
70.644936	6	0.001307	10
70.644936	7	0.001525	5
70.644936	8	0.001743	2
70.644936	9	0.001961	5
70.644936	10	0.002179	8
70.644936	45	0.009804	1
70.644936	20	0.004357	3
70.644936	14	0.003050	1
70.644936	15	0.003268	4
70.644936	24	0.005229	2
70.644936	21	0.004575	1
70.644936	13	0.002832	2
70.644936	12	0.002614	2
70.644936	11	0.002397	4
70.644936	16	0.003486	2
70.644936	19	0.004139	1
70.644936	18	0.003922	1
70.644936	23	0.005011	1
73.490295	1	0.000200	3757
73.490295	2	0.000400	131
73.490295	3	0.000600	39
73.490295	4	0.000800	22
73.490295	5	0.001000	17
73.490295	6	0.001200	10
73.490295	7	0.001400	6
73.490295	8	0.001600	4
73.490295	9	0.001800	4
73.490295	10	0.002000	4
73.490295	37	0.007400	1
73.490295	19	0.003800	1
73.490295	12	0.002400	7
73.490295	14	0.002800	1
73.490295	24	0.004800	1
73.490295	11	0.002200	4
73.490295	33	0.006600	1
73.490295	16	0.003200	3
73.490295	13	0.002600	4
73.490295	29	0.005800	2
73.490295	15	0.003000	1
73.490295	25	0.005000	1
73.490295	28	0.005600	1
80.647095	1	0.000166	4667
80.647095	2	0.000331	154
80.647095	3	0.000497	35
80.647095	4	0.000663	33
80.647095	5	0.000828	22
80.647095	6	0.000994	13
80.647095	7	0.001160	5
80.647095	8	0.001325	3
80.647095	9	0.001491	12
80.647095	10	0.001657	7
80.647095	31	0.005136	2
80.647095	16	0.002651	1
80.647095	38	0.006296	1
80.647095	12	0.001988	2
80.647095	24	0.003976	1
80.647095	11	0.001822	4
80.647095	32	0.005302	1
80.647095	35	0.005799	1
80.647095	23	0.003810	1
80.647095	13	0.002154	4
80.647095	17	0.002816	2
80.647095	15	0.002485	1
90.648003	1	0.000128	6167
90.648003	2	0.000255	159
90.648003	3	0.000383	55
90.648003	4	0.000511	28
90.648003	5	0.000638	22
90.648003	6	0.000766	19
90.648003	7	0.000894	6
90.648003	8	0.001021	11
90.648003	9	0.001149	4
90.648003	10	0.001276	6
90.648003	25	0.003191	1
90.648003	24	0.003064	2
90.648003	15	0.001915	4
90.648003	13	0.001659	2
90.648003	31	0.003957	1
90.648003	11	0.001404	7
90.648003	39	0.004978	1
90.648003	27	0.003447	2
90.648003	12	0.001532	7
90.648003	14	0.001787	2
90.648003	21	0.002681	1
