Generation	NumCells	DriverDiversity	DriverEdgeDiversity	DriverAlphaDiversity	DriverDiversityFrom1SamplesAtDepth0	DriverDiversityFrom1SamplesAtDepth1	DriverDiversityFrom1SamplesAtDepth2	DriverDiversityFrom1SamplesAtDepth3	DriverDiversityFrom1SamplesAtDepth4	DriverDiversityFrom1SamplesAtDepth5	DriverDiversityFrom1SamplesAtDepth6	DriverDiversityFrom1SamplesAtDepth7	DriverDiversityFrom1SamplesAtDepth8	DriverDiversityFrom1SamplesAtDepth9	DriverDiversityFrom1SamplesAtDepth10	DriverDiversityFrom1RandomSamples	DriverDiversityFrom1BigSamplesAtDepth0	DriverDiversityFrom1BigSamplesAtDepth1	DriverDiversityFrom1BigSamplesAtDepth2	DriverDiversityFrom1BigSamplesAtDepth3	DriverDiversityFrom1BigSamplesAtDepth4	DriverDiversityFrom1BigSamplesAtDepth5	DriverDiversityFrom1BigSamplesAtDepth6	DriverDiversityFrom1BigSamplesAtDepth7	DriverDiversityFrom1BigSamplesAtDepth8	DriverDiversityFrom1BigSamplesAtDepth9	DriverDiversityFrom1BigSamplesAtDepth10	DriverDiversityFrom1BigRandomSamples	DriverDiversityFrom2SamplesAtDepth0	DriverDiversityFrom2SamplesAtDepth1	DriverDiversityFrom2SamplesAtDepth2	DriverDiversityFrom2SamplesAtDepth3	DriverDiversityFrom2SamplesAtDepth4	DriverDiversityFrom2SamplesAtDepth5	DriverDiversityFrom2SamplesAtDepth6	DriverDiversityFrom2SamplesAtDepth7	DriverDiversityFrom2SamplesAtDepth8	DriverDiversityFrom2SamplesAtDepth9	DriverDiversityFrom2SamplesAtDepth10	DriverDiversityFrom2RandomSamples	DriverDiversityFrom2BigSamplesAtDepth0	DriverDiversityFrom2BigSamplesAtDepth1	DriverDiversityFrom2BigSamplesAtDepth2	DriverDiversityFrom2BigSamplesAtDepth3	DriverDiversityFrom2BigSamplesAtDepth4	DriverDiversityFrom2BigSamplesAtDepth5	DriverDiversityFrom2BigSamplesAtDepth6	DriverDiversityFrom2BigSamplesAtDepth7	DriverDiversityFrom2BigSamplesAtDepth8	DriverDiversityFrom2BigSamplesAtDepth9	DriverDiversityFrom2BigSamplesAtDepth10	DriverDiversityFrom2BigRandomSamples	DriverDiversityFrom4SamplesAtDepth0	DriverDiversityFrom4SamplesAtDepth1	DriverDiversityFrom4SamplesAtDepth2	DriverDiversityFrom4SamplesAtDepth3	DriverDiversityFrom4SamplesAtDepth4	DriverDiversityFrom4SamplesAtDepth5	DriverDiversityFrom4SamplesAtDepth6	DriverDiversityFrom4SamplesAtDepth7	DriverDiversityFrom4SamplesAtDepth8	DriverDiversityFrom4SamplesAtDepth9	DriverDiversityFrom4SamplesAtDepth10	DriverDiversityFrom4RandomSamples	DriverDiversityFrom4BigSamplesAtDepth0	DriverDiversityFrom4BigSamplesAtDepth1	DriverDiversityFrom4BigSamplesAtDepth2	DriverDiversityFrom4BigSamplesAtDepth3	DriverDiversityFrom4BigSamplesAtDepth4	DriverDiversityFrom4BigSamplesAtDepth5	DriverDiversityFrom4BigSamplesAtDepth6	DriverDiversityFrom4BigSamplesAtDepth7	DriverDiversityFrom4BigSamplesAtDepth8	DriverDiversityFrom4BigSamplesAtDepth9	DriverDiversityFrom4BigSamplesAtDepth10	DriverDiversityFrom4BigRandomSamples
0.000000	1	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
8.017926	5000	1.046230	1.050958	24.537851	1.040799	1.040799	1.000000	1.020200	1.040799	1.040799	1.061797	1.020200	1.083189	1.020200	1.040799	1.020200	1.061797	1.020200	1.020200	1.020200	1.030556	1.020200	1.020200	1.040799	1.030450	1.061797	1.020200	1.051248	1.067108	1.030450	1.051248	1.015113	1.025312	1.035612	1.030450	1.035612	1.040799	1.030450	1.061797	1.046011	1.038721	1.026338	1.047057	1.036648	1.044967	1.051248	1.057626	1.053350	1.040841	1.051248	1.044967	1.055456	1.052299	1.041840	1.050199	1.058653	1.049176	1.029435	1.044967	1.042881	1.059711	1.049151	1.043924	1.042881	1.043935	1.037684	1.039760	1.049151	1.047593	1.051773	1.043935	1.047593	1.047057	1.053364	1.046546	1.047081
10.178174	8193	1.055952	1.045175	19.346823	1.040799	1.061797	1.061797	1.040799	1.083189	1.061797	1.083189	1.000000	1.083189	1.149690	1.041016	1.040799	1.051248	1.051248	1.062078	1.061797	1.040799	1.072444	1.083189	1.051248	1.072444	1.072444	1.116009	1.072444	1.072631	1.040799	1.077804	1.040799	1.067108	1.035612	1.072444	1.094286	1.046011	1.035612	1.056510	1.072789	1.045013	1.049151	1.068173	1.059679	1.047057	1.059679	1.055456	1.047105	1.066043	1.044967	1.061862	1.066114	1.059679	1.060832	1.062923	1.066079	1.058653	1.047057	1.061797	1.055567	1.060770	1.059711	1.056510	1.048128	1.055013	1.053891	1.046546	1.052852	1.055998	1.051289	1.049176	1.051840	1.060754	1.059182	1.051814	1.067659
20.178930	8193	1.055659	1.033698	27.969345	1.083189	1.000000	1.149690	1.020200	1.061797	1.083189	1.040799	1.104972	1.083189	1.040799	1.104972	1.061797	1.020200	1.051248	1.061797	1.083189	1.040799	1.030450	1.030450	1.061797	1.072444	1.040799	1.020200	1.030450	1.061797	1.051248	1.061797	1.077804	1.056510	1.035612	1.040799	1.088598	1.077804	1.094032	1.046011	1.051248	1.034578	1.040799	1.038721	1.072444	1.063918	1.057565	1.044967	1.049151	1.044967	1.085350	1.083189	1.051248	1.055456	1.050199	1.067108	1.063918	1.058622	1.067108	1.056510	1.047057	1.056510	1.052299	1.063918	1.067108	1.052299	1.057038	1.055456	1.049675	1.055456	1.061267	1.051248	1.052299	1.060208	1.052824	1.046534	1.052299
30.180630	8193	1.088280	1.141299	26.231901	1.083189	1.104972	1.083189	1.104972	1.083189	1.104972	1.040799	1.083189	1.104972	1.195886	1.061797	1.083189	1.072444	1.051248	1.083189	1.083189	1.072444	1.127142	1.083189	1.104972	1.094032	1.116009	1.051248	1.104972	1.116009	1.067108	1.072444	1.077804	1.051248	1.072444	1.067108	1.104972	1.083189	1.046011	1.110479	1.061797	1.091856	1.109376	1.070306	1.078879	1.091856	1.083189	1.081032	1.100585	1.089683	1.087515	1.074585	1.085350	1.087515	1.092943	1.083189	1.071374	1.084269	1.090769	1.091856	1.092943	1.078879	1.072444	1.089683	1.096212	1.084809	1.094577	1.094032	1.090226	1.086432	1.093488	1.085350	1.099490	1.081032	1.090226	1.091312	1.085891
40.181171	8193	1.139657	1.122702	29.100536	1.243472	1.127142	1.243472	1.149690	1.172608	1.172608	1.127142	1.061797	1.195886	1.104972	1.149690	1.083189	1.243472	1.195886	1.127142	1.184203	1.195886	1.127142	1.094032	1.208971	1.116009	1.162048	1.220927	1.173640	1.144443	1.105262	1.132743	1.094032	1.132743	1.144018	1.127507	1.184203	1.167355	1.219512	1.121563	1.144018	1.184438	1.158813	1.104972	1.179554	1.145326	1.111583	1.096212	1.100585	1.107172	1.138535	1.127436	1.120591	1.146461	1.152058	1.131621	1.136198	1.136198	1.149781	1.128260	1.147508	1.139581	1.134026	1.131621	1.138616	1.131100	1.138369	1.142929	1.127777	1.149303	1.146373	1.141841	1.134509	1.137847	1.129978	1.141233	1.143582
50.182476	8193	1.234340	1.238016	28.902067	1.195886	1.127142	1.267748	1.219512	1.342282	1.219512	1.219512	1.267748	1.172608	1.149690	1.172608	1.243472	1.231451	1.195886	1.243472	1.281969	1.172608	1.195886	1.184203	1.304717	1.184203	1.219512	1.304717	1.195886	1.172608	1.237451	1.231451	1.231451	1.243472	1.225471	1.249512	1.237451	1.225471	1.201761	1.207657	1.172608	1.219512	1.226666	1.226666	1.224278	1.219512	1.253145	1.243472	1.233849	1.224278	1.241061	1.207657	1.200584	1.236250	1.220702	1.254358	1.232809	1.231451	1.220851	1.255752	1.244678	1.221893	1.206476	1.234010	1.234010	1.232050	1.240459	1.240543	1.228537	1.226666	1.242350	1.233329	1.241664	1.200584	1.217728	1.230332	1.214760
57.872463	10000	1.331708	1.321037	-75.862465	1.342282	1.444669	1.418842	1.317176	1.496558	1.243472	1.317176	1.393146	1.367615	1.267748	1.367615	1.317176	1.354922	1.342282	1.304717	1.380358	1.483570	1.367615	1.280000	1.405975	1.380358	1.329699	1.354922	1.393146	1.286153	1.335983	1.286153	1.323430	1.298512	1.304717	1.304717	1.292324	1.376062	1.386746	1.323430	1.367615	1.314679	1.380358	1.287386	1.339761	1.324682	1.359993	1.294797	1.342282	1.309693	1.367615	1.339761	1.337242	1.357456	1.372706	1.332211	1.322178	1.371433	1.315927	1.338501	1.343543	1.370160	1.330954	1.297273	1.317176	1.339131	1.337242	1.319676	1.315927	1.346700	1.317976	1.334014	1.358897	1.323411	1.329731	1.337424	1.339131
58.459087	15000	1.343291	1.372866	216.049469	1.317176	1.292324	1.548467	1.342282	1.267748	1.367615	1.219512	1.342282	1.127142	1.219512	1.292324	1.317176	1.354922	1.317176	1.367615	1.329699	1.367615	1.354922	1.292324	1.342282	1.354922	1.444669	1.304717	1.184203	1.317176	1.310938	1.329699	1.273865	1.393146	1.335983	1.310938	1.354922	1.286153	1.313529	1.344184	1.317176	1.347331	1.329699	1.359993	1.359993	1.344805	1.382912	1.362532	1.327189	1.349859	1.357456	1.334725	1.327189	1.352389	1.332211	1.322178	1.347331	1.343543	1.329699	1.343543	1.324682	1.349859	1.349859	1.328444	1.357456	1.369523	1.351124	1.334725	1.349227	1.359358	1.356822	1.339532	1.328771	1.363465	1.341366	1.347699	1.346700
59.374733	20000	1.354162	1.359754	-41.692211	1.342282	1.267748	1.367615	1.367615	1.342282	1.393146	1.083189	1.292324	1.418842	1.195886	1.393146	1.444669	1.367615	1.342282	1.304717	1.317176	1.393146	1.342282	1.431742	1.367615	1.431742	1.304717	1.280000	1.280000	1.329699	1.317176	1.348595	1.342282	1.310938	1.362264	1.304717	1.348595	1.373980	1.255572	1.304717	1.348595	1.332211	1.327189	1.405975	1.349859	1.359993	1.390585	1.367615	1.370160	1.415542	1.370899	1.332002	1.354922	1.372706	1.338501	1.329699	1.315927	1.330954	1.335983	1.339761	1.349859	1.367036	1.351888	1.345492	1.377805	1.333468	1.337871	1.368887	1.356979	1.349673	1.333288	1.335339	1.354288	1.337093	1.373009	1.340766	1.359358
60.183132	24577	1.363882	1.382262	70.173943	1.292324	1.470588	1.393146	1.393146	1.393146	1.342282	1.317176	1.243472	1.292324	1.393146	1.172608	1.317176	1.418842	1.418842	1.304717	1.431742	1.405975	1.393146	1.444669	1.342282	1.444669	1.342282	1.393146	1.418842	1.304717	1.310938	1.348595	1.361262	1.335983	1.332451	1.386746	1.399556	1.342282	1.304717	1.329699	1.373980	1.403406	1.365072	1.339761	1.342282	1.367615	1.344805	1.322178	1.357456	1.426578	1.393146	1.346507	1.307203	1.380358	1.352389	1.346068	1.362532	1.352389	1.342282	1.339761	1.353655	1.371433	1.356189	1.389074	1.359993	1.359358	1.370796	1.358090	1.351124	1.368131	1.364654	1.371357	1.370160	1.352389	1.376530	1.348965	1.365072
70.183586	24577	1.634871	1.612689	89.004829	1.600000	1.600000	1.548467	1.675603	1.496558	1.675603	1.574307	1.548467	1.770538	1.675603	1.700102	1.625488	1.638136	1.712182	1.548467	1.587176	1.561402	1.650710	1.650710	1.700102	1.700102	1.687906	1.759170	1.712182	1.644433	1.548467	1.650710	1.606393	1.600000	1.709703	1.570753	1.551199	1.625488	1.656967	1.700102	1.675603	1.645690	1.663202	1.648201	1.660710	1.638136	1.658215	1.673131	1.655717	1.617866	1.650710	1.601334	1.628023	1.677626	1.671893	1.687906	1.651444	1.640657	1.643175	1.663202	1.628023	1.645690	1.660710	1.668662	1.660710	1.616594	1.602241	1.606393	1.630555	1.643703	1.648687	1.645892	1.656967	1.630617	1.637860	1.644952	1.648829
80.183929	24577	1.919617	1.937507	89.427414	1.987281	1.937234	1.907669	1.907669	1.937234	1.834862	1.891074	1.980198	1.961554	1.980198	1.923077	1.854599	1.980198	1.923077	1.987281	1.966762	1.930315	1.983930	1.937234	1.899516	1.930315	1.961554	1.990248	1.965988	1.958816	1.943824	1.943824	1.953077	1.943824	1.969464	1.976089	1.976089	1.953077	1.946993	1.991585	1.937234	1.979406	1.981736	1.963765	1.961554	1.971135	1.973445	1.962624	1.966762	1.954492	1.979406	1.944172	1.945101	1.968254	1.975498	1.950078	1.967760	1.955990	1.965749	1.972073	1.970438	1.963153	1.965237	1.956230	1.872447	1.930002	1.917404	1.944094	1.938578	1.949800	1.962432	1.967503	1.967681	1.965816	1.958258	1.960681	1.923446
90.184410	24577	2.002947	2.007847	94.679916	2.000000	1.987281	1.971609	1.996805	1.987281	2.000000	1.961554	1.992826	1.999200	1.999200	1.980198	1.980198	1.990248	1.999800	1.995012	1.992826	1.943823	1.971609	1.971609	1.996805	1.980198	1.961554	1.990248	1.971609	2.008990	1.966762	1.992826	1.990248	1.999200	1.993310	1.976089	1.966762	1.971609	1.991586	1.985654	2.007176	1.990248	1.988514	2.001818	1.997411	1.996136	1.992826	1.995028	1.998649	1.995777	2.002074	1.997317	1.990248	1.995293	1.991548	1.993952	1.999712	1.999800	2.003488	2.003422	1.993294	1.995958	1.987793	1.994207	2.005708	2.004337	1.995166	1.997436	2.003515	2.000248	1.995968	1.998696	2.002593	1.998896	1.997949	1.997230	2.007486
100.184654	24577	1.795143	1.780981	90.173416	1.724138	1.700102	1.923077	1.814224	1.724138	1.770538	1.814224	1.650710	1.834862	1.792757	1.907669	1.600000	1.803589	1.781737	1.712182	1.803589	1.770538	1.792757	1.882353	1.864107	1.747641	1.882353	1.844848	1.770538	1.814429	1.809013	1.735960	1.854599	1.712182	1.779220	1.824651	1.808932	1.770538	1.747641	1.770538	1.781222	1.761457	1.816326	1.752271	1.781737	1.749959	1.781737	1.812113	1.731248	1.752271	1.781737	1.754027	1.794642	1.754577	1.785062	1.772792	1.786167	1.759170	1.786167	1.713383	1.777279	1.753425	1.762597	1.780108	1.799905	1.808475	1.804138	1.794276	1.798174	1.782621	1.781205	1.769164	1.754577	1.782292	1.798739	1.763094	1.794423
110.185150	24577	1.492559	1.583244	94.700768	1.548467	1.393146	1.367615	1.317176	1.675603	1.292324	1.574307	1.600000	1.470588	1.574307	1.650710	1.690903	1.535509	1.663202	1.483570	1.483570	1.548467	1.600000	1.496558	1.561402	1.522534	1.574307	1.393146	1.470588	1.466195	1.474818	1.444669	1.470588	1.472727	1.486245	1.451142	1.554938	1.561402	1.548467	1.567859	1.561402	1.470588	1.488764	1.532915	1.512146	1.538102	1.527725	1.569149	1.530320	1.519937	1.543286	1.516232	1.496733	1.500455	1.512146	1.514743	1.499156	1.527725	1.510847	1.529023	1.529023	1.499156	1.477078	1.516527	1.483626	1.505847	1.527118	1.519392	1.506265	1.514545	1.540266	1.533924	1.519288	1.506301	1.487466	1.508167	1.484067
120.185371	24577	1.294258	1.280990	94.208488	1.367615	1.393146	1.195886	1.243472	1.342282	1.267748	1.292324	1.172608	1.267748	1.600000	1.393146	1.172608	1.354922	1.231451	1.317176	1.354922	1.184203	1.243472	1.207657	1.231451	1.354922	1.184203	1.304717	1.334579	1.281004	1.231451	1.237451	1.286153	1.273865	1.307253	1.225471	1.255572	1.237451	1.243472	1.231451	1.293389	1.307203	1.255572	1.289853	1.267748	1.322178	1.287386	1.258001	1.245885	1.260433	1.241061	1.296775	1.267861	1.312184	1.275091	1.280000	1.261651	1.266527	1.266527	1.276317	1.299751	1.277544	1.286153	1.245733	1.304460	1.282557	1.285431	1.284925	1.289871	1.267888	1.289661	1.301951	1.285537	1.286153	1.280000	1.285112	1.301200
130.185806	24577	1.180106	1.165038	92.451950	1.149690	1.127142	1.243472	1.104972	1.219512	1.149690	1.172608	1.243472	1.104972	1.149690	1.172608	1.198179	1.195886	1.219512	1.243472	1.104972	1.061797	1.195886	1.149690	1.184203	1.149690	1.127142	1.184203	1.105522	1.161592	1.173141	1.174605	1.239791	1.150963	1.168192	1.149690	1.190033	1.195886	1.190033	1.195886	1.185870	1.202938	1.207657	1.179554	1.179554	1.186532	1.191202	1.241061	1.165694	1.163397	1.170300	1.161822	1.194989	1.166844	1.178394	1.153104	1.190033	1.178394	1.197059	1.155385	1.174920	1.184203	1.179554	1.176285	1.176092	1.205938	1.197520	1.202911	1.193894	1.205480	1.184049	1.194202	1.194714	1.166269	1.192957	1.178597	1.198117
140.186172	24577	1.119736	1.090392	89.680237	1.104972	1.104972	1.195886	1.061797	1.040799	1.061797	1.105950	1.195886	1.104972	1.040799	1.149690	1.129178	1.104972	1.127142	1.138369	1.127841	1.161103	1.138369	1.139147	1.127142	1.083189	1.127841	1.116632	1.141553	1.116632	1.122807	1.046121	1.122980	1.111528	1.140648	1.166844	1.133128	1.105262	1.116009	1.167832	1.134462	1.116009	1.109622	1.113794	1.122821	1.116144	1.105092	1.098397	1.120451	1.132075	1.102777	1.135833	1.110366	1.096424	1.108397	1.100642	1.122960	1.109738	1.122750	1.130654	1.130654	1.129681	1.104972	1.132400	1.119237	1.145260	1.137070	1.137206	1.133091	1.132638	1.132283	1.111762	1.136922	1.122891	1.108397	1.114388	1.117935
150.186890	24577	1.070287	1.064210	93.285446	1.061797	1.000000	1.061797	1.040799	1.083189	1.000000	1.040799	1.040799	1.104972	1.040799	1.061797	1.040799	1.051248	1.010050	1.010050	1.030450	1.061797	1.083189	1.030450	1.051248	1.020200	1.083189	1.051248	1.040799	1.056929	1.073091	1.073148	1.083791	1.056510	1.073300	1.067108	1.061797	1.025312	1.072444	1.051248	1.067563	1.040799	1.042881	1.038721	1.028392	1.030450	1.049151	1.061797	1.032512	1.053350	1.040799	1.031873	1.060283	1.028392	1.046011	1.046011	1.051248	1.055456	1.041840	1.044967	1.042881	1.039760	1.038721	1.053667	1.074349	1.067593	1.062194	1.065937	1.066913	1.061935	1.055847	1.051007	1.038721	1.044445	1.040799	1.045479	1.067792
