Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
0.000000	1	0	0	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
1.001992	3	3	1	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0
2.008534	9	14	6	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1	1	1	1	1	2	1	2	9	0	0	0	0	0	0	0	0	0	0
3.013707	18	37	20	0	0.555556	0.000000	0.358025	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	4	4	1	1	1	4	1	5	18	0	0	0	0	0	0	0	0	0	0
4.014626	18	57	40	0	0.833333	0.000000	0.361111	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	8	8	1	1	1	8	1	9	18	0	0	0	0	0	0	0	0	0	0
5.016594	22	79	58	0	0.818182	0.000000	0.148760	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	5	5	1	1	1	8	1	11	22	0	0	0	0	0	0	0	0	0	0
6.017650	16	96	81	0	1.000000	0.000000	0.125000	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	5	5	1	1	1	8	1	12	16	0	0	0	0	0	0	0	0	0	0
7.018096	20	110	91	0	1.250000	0.000000	0.387500	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	9	9	1	1	1	9	1	16	20	0	0	0	0	0	0	0	0	0	0
8.020373	18	131	114	0	1.000000	0.000000	0.222222	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	6	6	1	1	1	10	1	18	18	0	0	0	0	0	0	0	0	0	0
9.021607	18	147	130	0	1.055556	0.000000	0.274691	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	6	6	1	1	1	10	1	21	18	0	0	0	0	0	0	0	0	0	0
10.021861	17	161	145	0	1.176471	0.000000	0.615917	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	9	9	1	1	1	12	1	26	17	0	0	0	0	0	0	0	0	0	0
11.022866	23	186	164	0	1.521739	0.000000	0.510397	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	9	9	1	1	1	15	1	30	23	0	0	0	0	0	0	0	0	0	0
12.024806	23	207	185	0	1.565217	0.000000	0.767486	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	12	12	1	1	1	16	1	35	23	0	0	0	0	0	0	0	0	0	0
13.025882	33	242	210	0	1.515152	0.000000	1.886134	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	10	10	1	1	1	18	1	42	33	0	0	0	0	0	0	0	0	0	0
14.028616	33	271	239	0	1.636364	0.000000	1.261708	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	13	13	1	1	1	22	1	49	33	0	0	0	0	0	0	0	0	0	0
15.029401	38	303	266	1	1.842105	0.000000	1.027701	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	12	11	1	2	2	22	1	55	38	0	0	0	0	0	0	0	0	0	0
16.030903	24	323	300	1	2.333333	0.000000	0.388889	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	9	9	1	2	2	22	1	59	24	0	0	0	0	0	0	0	0	0	0
17.031412	16	340	325	1	2.625000	0.000000	0.859375	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	8	8	1	2	1	22	1	62	16	0	0	0	0	0	0	0	0	0	0
18.032200	23	359	337	1	3.173913	0.000000	0.578450	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	9	9	1	2	1	24	1	66	23	0	0	0	0	0	0	0	0	0	0
19.033262	29	382	354	1	3.275862	0.000000	0.337693	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	14	14	1	2	1	29	1	73	29	0	0	0	0	0	0	0	0	0	0
20.033371	28	405	378	1	3.357143	0.000000	0.301020	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	10	10	1	2	1	32	1	80	28	0	0	0	0	0	0	0	0	0	0
21.034151	33	430	398	1	3.454545	0.000000	0.550964	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	12	12	1	2	1	32	1	85	33	0	0	0	0	0	0	0	0	0	0
22.034510	28	454	427	1	3.571429	0.000000	0.459184	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	11	11	1	2	1	32	1	87	28	0	0	0	0	0	0	0	0	0	0
23.035675	42	497	456	1	3.928571	0.000000	0.447279	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	15	15	1	2	1	37	1	95	42	0	0	0	0	0	0	0	0	0	0
24.036016	33	523	491	1	3.939394	0.000000	0.662994	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	12	12	1	2	1	38	1	99	33	0	0	0	0	0	0	0	0	0	0
25.036314	30	546	517	1	4.200000	0.000000	0.760000	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	11	11	1	2	1	38	1	103	30	0	0	0	0	0	0	0	0	0	0
26.037052	35	579	545	1	4.542857	0.000000	0.762449	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	15	15	1	2	1	43	1	111	35	0	0	0	0	0	0	0	0	0	0
27.037176	51	625	575	2	4.745098	0.000000	0.778162	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	18	18	1	3	2	47	1	119	51	0	0	0	0	0	0	0	0	0	0
28.038017	61	677	617	2	5.065574	0.000000	1.307176	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	20	20	1	3	2	50	1	130	61	0	0	0	0	0	0	0	0	0	0
29.039904	66	733	668	2	5.181818	0.000000	1.027548	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	23	23	1	3	2	53	1	136	66	0	0	0	0	0	0	0	0	0	0
30.039923	47	777	731	2	5.489362	0.000000	1.441376	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	22	22	1	3	2	57	1	150	47	0	0	0	0	0	0	0	0	0	0
31.040066	28	809	782	2	5.750000	0.000000	1.901786	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	19	19	1	3	1	57	1	163	28	0	0	0	0	0	0	0	0	0	0
32.040123	44	851	808	2	6.090909	0.000000	1.446281	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	17	17	1	3	1	57	1	169	44	0	0	0	0	0	0	0	0	0	0
33.040611	53	903	851	2	6.622642	0.000000	2.121752	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	19	19	1	3	1	60	1	175	53	0	0	0	0	0	0	0	0	0	0
34.041908	64	965	902	2	7.062500	0.000000	2.527344	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	27	27	1	3	1	69	1	191	64	0	0	0	0	0	0	0	0	0	0
35.041912	72	1018	947	2	7.277778	0.000000	2.422840	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	28	28	1	3	1	73	1	202	72	0	0	0	0	0	0	0	0	0	0
36.042011	86	1107	1022	2	7.511628	0.000000	2.854516	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	29	29	1	3	1	75	1	214	86	0	0	0	0	0	0	0	0	0	0
37.042027	101	1212	1112	2	7.772277	0.000000	2.472895	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	40	40	1	3	1	91	1	242	101	0	0	0	0	0	0	0	0	0	0
38.043003	131	1345	1215	3	8.114504	0.000000	1.750248	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	41	40	1	4	2	99	1	265	131	0	0	0	0	0	0	0	0	0	0
