Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.021861	1	0.058824	0
10.021861	2	0.117647	0
10.021861	3	0.176471	0
10.021861	4	0.235294	0
10.021861	5	0.294118	0
10.021861	6	0.352941	0
10.021861	7	0.411765	0
10.021861	8	0.470588	0
10.021861	9	0.529412	0
10.021861	10	0.588235	0
10.021861	17	1.000000	1
20.033371	1	0.035714	0
20.033371	2	0.071429	0
20.033371	3	0.107143	0
20.033371	4	0.142857	0
20.033371	5	0.178571	0
20.033371	6	0.214286	0
20.033371	7	0.250000	0
20.033371	8	0.285714	0
20.033371	9	0.321429	0
20.033371	10	0.357143	0
20.033371	28	1.000000	1
30.039923	1	0.021277	0
30.039923	2	0.042553	0
30.039923	3	0.063830	0
30.039923	4	0.085106	0
30.039923	5	0.106383	0
30.039923	6	0.127660	0
30.039923	7	0.148936	0
30.039923	8	0.170213	0
30.039923	9	0.191489	0
30.039923	10	0.212766	0
30.039923	47	1.000000	1
40.043304	1	0.006494	0
40.043304	2	0.012987	0
40.043304	3	0.019481	0
40.043304	4	0.025974	0
40.043304	5	0.032468	0
40.043304	6	0.038961	0
40.043304	7	0.045455	0
40.043304	8	0.051948	0
40.043304	9	0.058442	0
40.043304	10	0.064935	0
40.043304	154	1.000000	1
50.047939	1	0.004425	0
50.047939	2	0.008850	0
50.047939	3	0.013274	0
50.047939	4	0.017699	0
50.047939	5	0.022124	0
50.047939	6	0.026549	0
50.047939	7	0.030973	0
50.047939	8	0.035398	0
50.047939	9	0.039823	0
50.047939	10	0.044248	0
50.047939	226	1.000000	1
60.053020	1	0.002801	0
60.053020	2	0.005602	0
60.053020	3	0.008403	0
60.053020	4	0.011204	0
60.053020	5	0.014006	0
60.053020	6	0.016807	0
60.053020	7	0.019608	0
60.053020	8	0.022409	0
60.053020	9	0.025210	0
60.053020	10	0.028011	0
60.053020	357	1.000000	1
70.056839	1	0.002183	0
70.056839	2	0.004367	0
70.056839	3	0.006550	0
70.056839	4	0.008734	0
70.056839	5	0.010917	0
70.056839	6	0.013100	0
70.056839	7	0.015284	0
70.056839	8	0.017467	0
70.056839	9	0.019651	0
70.056839	10	0.021834	0
70.056839	458	1.000000	1
80.060814	1	0.002037	0
80.060814	2	0.004073	0
80.060814	3	0.006110	0
80.060814	4	0.008147	0
80.060814	5	0.010183	0
80.060814	6	0.012220	0
80.060814	7	0.014257	0
80.060814	8	0.016293	0
80.060814	9	0.018330	0
80.060814	10	0.020367	0
80.060814	491	1.000000	1
90.064384	1	0.001658	0
90.064384	2	0.003317	0
90.064384	3	0.004975	0
90.064384	4	0.006633	0
90.064384	5	0.008292	0
90.064384	6	0.009950	0
90.064384	7	0.011609	0
90.064384	8	0.013267	0
90.064384	9	0.014925	0
90.064384	10	0.016584	0
90.064384	603	1.000000	1
100.068352	1	0.001332	0
100.068352	2	0.002663	0
100.068352	3	0.003995	0
100.068352	4	0.005326	0
100.068352	5	0.006658	0
100.068352	6	0.007989	0
100.068352	7	0.009321	0
100.068352	8	0.010652	0
100.068352	9	0.011984	0
100.068352	10	0.013316	0
100.068352	751	1.000000	1
110.070351	1	0.000935	0
110.070351	2	0.001871	0
110.070351	3	0.002806	0
110.070351	4	0.003742	0
110.070351	5	0.004677	0
110.070351	6	0.005613	0
110.070351	7	0.006548	0
110.070351	8	0.007484	0
110.070351	9	0.008419	0
110.070351	10	0.009355	0
110.070351	1069	1.000000	1
120.073067	1	0.000654	0
120.073067	2	0.001309	0
120.073067	3	0.001963	0
120.073067	4	0.002618	0
120.073067	5	0.003272	0
120.073067	6	0.003927	0
120.073067	7	0.004581	0
120.073067	8	0.005236	0
120.073067	9	0.005890	0
120.073067	10	0.006545	0
120.073067	1528	1.000000	1
130.074158	1	0.000496	0
130.074158	2	0.000991	0
130.074158	3	0.001487	0
130.074158	4	0.001982	0
130.074158	5	0.002478	0
130.074158	6	0.002973	0
130.074158	7	0.003469	0
130.074158	8	0.003964	0
130.074158	9	0.004460	0
130.074158	10	0.004955	0
130.074158	2018	1.000000	1
140.075409	1	0.000399	0
140.075409	2	0.000797	0
140.075409	3	0.001196	0
140.075409	4	0.001594	0
140.075409	5	0.001993	0
140.075409	6	0.002391	0
140.075409	7	0.002790	0
140.075409	8	0.003189	0
140.075409	9	0.003587	0
140.075409	10	0.003986	0
140.075409	2509	1.000000	1
150.076324	1	0.000358	0
150.076324	2	0.000716	0
150.076324	3	0.001074	0
150.076324	4	0.001432	0
150.076324	5	0.001790	0
150.076324	6	0.002148	0
150.076324	7	0.002506	0
150.076324	8	0.002864	0
150.076324	9	0.003222	0
150.076324	10	0.003580	0
150.076324	2793	1.000000	1
160.077301	1	0.000321	0
160.077301	2	0.000642	0
160.077301	3	0.000963	0
160.077301	4	0.001285	0
160.077301	5	0.001606	0
160.077301	6	0.001927	0
160.077301	7	0.002248	0
160.077301	8	0.002569	0
160.077301	9	0.002890	0
160.077301	10	0.003211	0
160.077301	3114	1.000000	1
170.078613	1	0.000301	0
170.078613	2	0.000602	0
170.078613	3	0.000903	0
170.078613	4	0.001203	0
170.078613	5	0.001504	0
170.078613	6	0.001805	0
170.078613	7	0.002106	0
170.078613	8	0.002407	0
170.078613	9	0.002708	0
170.078613	10	0.003008	0
