Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
0.000000	1	0	0	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
1.000789	2	1	0	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0
2.002111	3	3	1	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0
3.002329	3	5	3	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0
4.005249	4	9	6	0	0.750000	0.000000	0.187500	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2	2	1	1	1	2	1	2	4	0	0	0	0	0	0	0	0	0	0
5.005858	6	12	7	0	1.166667	0.000000	0.138889	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2	2	1	1	1	3	1	3	6	0	0	0	0	0	0	0	0	0	0
6.006385	5	16	12	0	1.600000	0.000000	0.240000	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2	2	1	1	1	3	1	3	5	0	0	0	0	0	0	0	0	0	0
7.006390	3	20	18	0	2.000000	0.000000	0.000000	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1	1	1	1	1	3	1	3	3	0	0	0	0	0	0	0	0	0	0
8.007145	4	28	25	0	2.000000	0.000000	0.000000	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1	1	1	1	1	5	1	5	4	0	0	0	0	0	0	0	0	0	0
9.007629	17	47	31	0	2.235294	0.000000	0.179931	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	5	5	1	1	1	8	1	10	17	0	0	0	0	0	0	0	0	0	0
10.008218	30	75	46	0	2.466667	0.000000	0.515556	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	7	7	1	1	1	11	1	16	30	0	0	0	0	0	0	0	0	0	0
11.008361	32	108	77	0	2.781250	0.000000	0.670898	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	11	11	1	1	1	16	1	23	32	0	0	0	0	0	0	0	0	0	0
12.008858	33	146	114	0	2.757576	0.000000	0.789715	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	9	9	1	1	1	16	1	28	33	0	0	0	0	0	0	0	0	0	0
13.009266	26	165	140	0	2.730769	0.000000	0.965976	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	9	9	1	1	1	16	1	32	26	0	0	0	0	0	0	0	0	0	0
14.009539	28	187	160	0	2.392857	0.000000	0.452806	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	6	6	1	1	1	16	1	33	28	0	0	0	0	0	0	0	0	0	0
15.010385	36	219	184	0	2.555556	0.000000	0.524691	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	9	9	1	1	1	19	1	39	36	0	0	0	0	0	0	0	0	0	0
16.012074	50	270	221	0	2.680000	0.000000	0.577600	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	14	14	1	1	1	27	1	49	50	0	0	0	0	0	0	0	0	0	0
17.015116	56	320	265	0	2.857143	0.000000	0.765306	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	18	18	1	1	1	30	1	59	56	0	0	0	0	0	0	0	0	0	0
18.016031	52	371	320	0	3.211539	0.000000	1.051405	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	24	24	1	1	1	39	1	72	52	0	0	0	0	0	0	0	0	0	0
19.023104	55	419	365	0	3.581818	0.000000	1.443306	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	25	25	1	1	1	40	1	80	55	0	0	0	0	0	0	0	0	0	0
20.024990	53	474	422	0	3.962264	0.000000	1.658953	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	26	26	1	1	1	43	1	92	53	0	0	0	0	0	0	0	0	0	0
21.026737	50	534	485	0	4.060000	0.000000	1.136400	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	28	28	1	1	1	48	1	102	50	0	0	0	0	0	0	0	0	0	0
22.034140	73	600	528	0	4.410959	0.000000	1.036592	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	34	34	1	1	1	58	1	119	73	0	0	0	0	0	0	0	0	0	0
23.034880	73	672	600	0	4.534246	0.000000	1.235128	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	31	31	1	1	1	59	1	130	73	0	0	0	0	0	0	0	0	0	0
24.038364	105	775	671	0	5.114286	0.000000	1.377415	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	45	45	1	1	1	75	1	156	105	0	0	0	0	0	0	0	0	0	0
25.042093	115	889	775	0	5.121739	0.000000	1.202571	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	47	47	1	1	1	84	1	179	115	0	0	0	0	0	0	0	0	0	0
26.046577	120	1006	887	0	5.241667	0.000000	1.399930	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	56	56	1	1	1	94	1	201	120	0	0	0	0	0	0	0	0	0	0
27.046587	145	1163	1019	2	5.262069	0.000000	1.296837	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	53	52	1	3	2	101	1	224	145	0	0	0	0	0	0	0	0	0	0
28.046680	163	1333	1171	3	5.815951	0.000000	1.659378	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	55	54	1	3	3	111	1	256	163	0	0	0	0	0	0	0	0	0	0
29.047747	162	1476	1315	3	5.956790	0.000000	2.201836	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	53	53	1	3	2	116	1	284	162	0	0	0	0	0	0	0	0	0	0
30.050016	179	1674	1496	3	6.296089	0.000000	2.901157	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	60	60	1	3	2	129	1	320	179	0	0	0	0	0	0	0	0	0	0
31.050812	200	1879	1680	4	6.195000	0.000000	2.366974	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	66	65	1	4	3	146	1	355	200	0	0	0	0	0	0	0	0	0	0
32.052650	201	2059	1859	6	6.636816	0.000000	2.878048	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	80	78	1	5	3	161	1	390	201	0	0	0	0	0	0	0	0	0	0
33.052982	232	2266	2035	8	6.754310	0.000000	2.935327	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	91	88	1	5	4	183	1	433	232	0	0	0	0	0	0	0	0	0	0
34.053013	241	2493	2253	8	6.825726	0.000000	2.849297	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	83	82	1	5	3	187	1	467	241	0	0	0	0	0	0	0	0	0	0
35.053146	241	2741	2501	8	6.759336	0.000000	3.560338	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	81	80	1	5	3	201	1	508	241	0	0	0	0	0	0	0	0	0	0
