Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.008218	1	0.033333	0
10.008218	2	0.066667	0
10.008218	3	0.100000	0
10.008218	4	0.133333	0
10.008218	5	0.166667	0
10.008218	6	0.200000	0
10.008218	7	0.233333	0
10.008218	8	0.266667	0
10.008218	9	0.300000	0
10.008218	10	0.333333	0
10.008218	30	1.000000	1
20.024990	1	0.018868	0
20.024990	2	0.037736	0
20.024990	3	0.056604	0
20.024990	4	0.075472	0
20.024990	5	0.094340	0
20.024990	6	0.113208	0
20.024990	7	0.132075	0
20.024990	8	0.150943	0
20.024990	9	0.169811	0
20.024990	10	0.188679	0
20.024990	53	1.000000	1
30.050016	1	0.005587	0
30.050016	2	0.011173	0
30.050016	3	0.016760	0
30.050016	4	0.022346	0
30.050016	5	0.027933	0
30.050016	6	0.033520	0
30.050016	7	0.039106	0
30.050016	8	0.044693	0
30.050016	9	0.050279	0
30.050016	10	0.055866	0
30.050016	179	1.000000	1
40.055019	1	0.002950	0
40.055019	2	0.005900	0
40.055019	3	0.008850	0
40.055019	4	0.011799	0
40.055019	5	0.014749	0
40.055019	6	0.017699	0
40.055019	7	0.020649	0
40.055019	8	0.023599	0
40.055019	9	0.026549	0
40.055019	10	0.029499	0
40.055019	339	1.000000	1
50.057648	1	0.002033	0
50.057648	2	0.004065	0
50.057648	3	0.006098	0
50.057648	4	0.008130	0
50.057648	5	0.010163	0
50.057648	6	0.012195	0
50.057648	7	0.014228	0
50.057648	8	0.016260	0
50.057648	9	0.018293	0
50.057648	10	0.020325	0
50.057648	492	1.000000	1
60.062370	1	0.001531	0
60.062370	2	0.003063	0
60.062370	3	0.004594	0
60.062370	4	0.006126	0
60.062370	5	0.007657	0
60.062370	6	0.009188	0
60.062370	7	0.010720	0
60.062370	8	0.012251	0
60.062370	9	0.013783	0
60.062370	10	0.015314	0
60.062370	653	1.000000	1
70.065140	1	0.001066	0
70.065140	2	0.002132	0
70.065140	3	0.003198	0
70.065140	4	0.004264	1
70.065140	5	0.005330	0
70.065140	6	0.006397	0
70.065140	7	0.007463	0
70.065140	8	0.008529	0
70.065140	9	0.009595	0
70.065140	10	0.010661	0
70.065140	938	1.000000	1
80.067245	1	0.000720	0
80.067245	2	0.001441	0
80.067245	3	0.002161	0
80.067245	4	0.002882	0
80.067245	5	0.003602	0
80.067245	6	0.004323	0
80.067245	7	0.005043	0
80.067245	8	0.005764	0
80.067245	9	0.006484	0
80.067245	10	0.007205	0
80.067245	1388	1.000000	1
90.068787	1	0.000538	0
90.068787	2	0.001075	0
90.068787	3	0.001613	0
90.068787	4	0.002151	0
90.068787	5	0.002688	0
90.068787	6	0.003226	0
90.068787	7	0.003763	0
90.068787	8	0.004301	0
90.068787	9	0.004839	0
90.068787	10	0.005376	0
90.068787	1860	1.000000	1
100.070290	1	0.000445	0
100.070290	2	0.000891	0
100.070290	3	0.001336	0
100.070290	4	0.001782	0
100.070290	5	0.002227	0
100.070290	6	0.002673	0
100.070290	7	0.003118	0
100.070290	8	0.003563	0
100.070290	9	0.004009	0
100.070290	10	0.004454	0
100.070290	2245	1.000000	1
110.071182	1	0.000392	0
110.071182	2	0.000783	0
110.071182	3	0.001175	0
110.071182	4	0.001567	0
110.071182	5	0.001958	0
110.071182	6	0.002350	0
110.071182	7	0.002742	0
110.071182	8	0.003134	0
110.071182	9	0.003525	0
110.071182	10	0.003917	0
110.071182	2553	1.000000	1
120.072334	1	0.000354	0
120.072334	2	0.000709	0
120.072334	3	0.001063	0
120.072334	4	0.001418	0
120.072334	5	0.001772	0
120.072334	6	0.002127	0
120.072334	7	0.002481	0
120.072334	8	0.002836	0
120.072334	9	0.003190	0
120.072334	10	0.003545	0
120.072334	2821	1.000000	1
130.073914	1	0.000318	0
130.073914	2	0.000637	0
130.073914	3	0.000955	0
130.073914	4	0.001274	0
130.073914	5	0.001592	0
130.073914	6	0.001911	0
130.073914	7	0.002229	0
130.073914	8	0.002548	0
130.073914	9	0.002866	0
130.073914	10	0.003185	0
130.073914	3140	1.000000	1
140.075241	1	0.000289	0
140.075241	2	0.000578	0
140.075241	3	0.000867	0
140.075241	4	0.001156	0
140.075241	5	0.001446	0
140.075241	6	0.001735	0
140.075241	7	0.002024	0
140.075241	8	0.002313	0
140.075241	9	0.002602	0
140.075241	10	0.002891	0
140.075241	3459	1.000000	1
150.076279	1	0.000249	0
150.076279	2	0.000499	0
150.076279	3	0.000748	0
150.076279	4	0.000998	0
150.076279	5	0.001247	0
150.076279	6	0.001497	0
150.076279	7	0.001746	0
150.076279	8	0.001996	0
150.076279	9	0.002245	0
150.076279	10	0.002494	0
150.076279	4009	1.000000	1
160.077209	1	0.000212	0
160.077209	2	0.000424	0
160.077209	3	0.000636	0
160.077209	4	0.000848	0
160.077209	5	0.001060	0
160.077209	6	0.001272	0
160.077209	7	0.001484	0
160.077209	8	0.001696	0
160.077209	9	0.001908	0
160.077209	10	0.002120	0
160.077209	4718	1.000000	1
168.239716	1	0.000200	0
168.239716	2	0.000400	0
168.239716	3	0.000600	0
168.239716	4	0.000800	0
168.239716	5	0.001000	0
168.239716	6	0.001200	0
168.239716	7	0.001400	0
168.239716	8	0.001600	0
168.239716	9	0.001800	0
168.239716	10	0.002000	0
