Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.008218	1	0.033333	3
10.008218	2	0.066667	2
10.008218	3	0.100000	1
10.008218	4	0.133333	0
10.008218	5	0.166667	0
10.008218	6	0.200000	0
10.008218	7	0.233333	0
10.008218	8	0.266667	0
10.008218	9	0.300000	0
10.008218	10	0.333333	0
10.008218	20	0.666667	1
20.024990	1	0.018868	18
20.024990	2	0.037736	1
20.024990	3	0.056604	2
20.024990	4	0.075472	1
20.024990	5	0.094340	2
20.024990	6	0.113208	1
20.024990	7	0.132075	1
20.024990	8	0.150943	0
20.024990	9	0.169811	0
20.024990	10	0.188679	0
30.050016	1	0.005587	27
30.050016	2	0.011173	13
30.050016	3	0.016760	6
30.050016	4	0.022346	4
30.050016	5	0.027933	1
30.050016	6	0.033520	2
30.050016	7	0.039106	1
30.050016	8	0.044693	2
30.050016	9	0.050279	1
30.050016	10	0.055866	0
30.050016	16	0.089385	1
30.050016	15	0.083799	1
30.050016	12	0.067039	1
40.055019	1	0.002950	49
40.055019	2	0.005900	22
40.055019	3	0.008850	14
40.055019	4	0.011799	7
40.055019	5	0.014749	7
40.055019	6	0.017699	1
40.055019	7	0.020649	2
40.055019	8	0.023599	3
40.055019	9	0.026549	0
40.055019	10	0.029499	1
40.055019	12	0.035398	1
40.055019	27	0.079646	1
40.055019	11	0.032448	1
40.055019	13	0.038348	1
40.055019	24	0.070796	1
50.057648	1	0.002033	73
50.057648	2	0.004065	37
50.057648	3	0.006098	16
50.057648	4	0.008130	12
50.057648	5	0.010163	12
50.057648	6	0.012195	7
50.057648	7	0.014228	3
50.057648	8	0.016260	3
50.057648	9	0.018293	1
50.057648	10	0.020325	0
50.057648	20	0.040650	1
50.057648	15	0.030488	1
50.057648	17	0.034553	1
50.057648	16	0.032520	1
50.057648	14	0.028455	1
50.057648	11	0.022358	1
60.062370	1	0.001531	108
60.062370	2	0.003063	51
60.062370	3	0.004594	31
60.062370	4	0.006126	11
60.062370	5	0.007657	10
60.062370	6	0.009188	10
60.062370	7	0.010720	4
60.062370	8	0.012251	1
60.062370	9	0.013783	4
60.062370	10	0.015314	4
60.062370	23	0.035222	1
60.062370	16	0.024502	1
60.062370	11	0.016845	3
60.062370	12	0.018377	1
70.065140	1	0.001066	162
70.065140	2	0.002132	67
70.065140	3	0.003198	44
70.065140	4	0.004264	16
70.065140	5	0.005330	9
70.065140	6	0.006397	7
70.065140	7	0.007463	8
70.065140	8	0.008529	5
70.065140	9	0.009595	3
70.065140	10	0.010661	5
70.065140	17	0.018124	2
70.065140	11	0.011727	2
70.065140	19	0.020256	1
70.065140	12	0.012793	1
70.065140	16	0.017058	1
70.065140	37	0.039446	1
70.065140	18	0.019190	1
70.065140	14	0.014925	2
80.067245	1	0.000720	249
80.067245	2	0.001441	104
80.067245	3	0.002161	52
80.067245	4	0.002882	31
80.067245	5	0.003602	19
80.067245	6	0.004323	22
80.067245	7	0.005043	9
80.067245	8	0.005764	8
80.067245	9	0.006484	4
80.067245	10	0.007205	4
80.067245	25	0.018012	1
80.067245	15	0.010807	2
80.067245	14	0.010086	1
80.067245	16	0.011527	2
80.067245	11	0.007925	4
80.067245	12	0.008646	1
80.067245	13	0.009366	2
80.067245	17	0.012248	1
80.067245	21	0.015130	1
90.068787	1	0.000538	333
90.068787	2	0.001075	157
90.068787	3	0.001613	70
90.068787	4	0.002151	45
90.068787	5	0.002688	21
90.068787	6	0.003226	28
90.068787	7	0.003763	14
90.068787	8	0.004301	13
90.068787	9	0.004839	7
90.068787	10	0.005376	4
90.068787	24	0.012903	1
90.068787	11	0.005914	8
90.068787	13	0.006989	2
90.068787	12	0.006452	2
90.068787	16	0.008602	1
90.068787	14	0.007527	3
90.068787	25	0.013441	1
100.070290	1	0.000445	476
100.070290	2	0.000891	134
100.070290	3	0.001336	101
100.070290	4	0.001782	54
100.070290	5	0.002227	32
100.070290	6	0.002673	21
100.070290	7	0.003118	19
100.070290	8	0.003563	14
100.070290	9	0.004009	11
100.070290	10	0.004454	9
100.070290	26	0.011581	1
100.070290	11	0.004900	5
100.070290	16	0.007127	2
100.070290	21	0.009354	1
100.070290	14	0.006236	4
100.070290	13	0.005791	1
100.070290	32	0.014254	1
100.070290	15	0.006682	1
100.070290	12	0.005345	1
110.071182	1	0.000392	486
110.071182	2	0.000783	202
110.071182	3	0.001175	98
110.071182	4	0.001567	64
110.071182	5	0.001958	44
110.071182	6	0.002350	31
110.071182	7	0.002742	21
110.071182	8	0.003134	14
110.071182	9	0.003525	11
110.071182	10	0.003917	5
110.071182	11	0.004309	3
110.071182	13	0.005092	4
110.071182	15	0.005875	2
110.071182	25	0.009792	1
110.071182	18	0.007051	2
110.071182	12	0.004700	6
110.071182	16	0.006267	1
110.071182	21	0.008226	1
110.071182	14	0.005484	1
120.072334	1	0.000354	507
120.072334	2	0.000709	198
120.072334	3	0.001063	110
120.072334	4	0.001418	86
120.072334	5	0.001772	40
120.072334	6	0.002127	33
120.072334	7	0.002481	14
120.072334	8	0.002836	17
120.072334	9	0.003190	14
120.072334	10	0.003545	10
120.072334	33	0.011698	1
120.072334	11	0.003899	7
120.072334	12	0.004254	7
120.072334	18	0.006381	2
120.072334	19	0.006735	1
