Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
0	0	0	0	0	0	1	0	1.000000	0.001458	0.000000	1000000
2342	0	13	13	1	0	1	0	1.297125	0.001458	237.816208	1000000
0	13	22	22	2	0	1	0	1.334358	0.001458	290.388733	309247
59852	22	65	65	3	0	1	0	1.691151	0.001458	388.033722	309247
8932	65	148	148	4	0	1	0	1.975059	0.001458	455.447815	12026
154043	13	105	105	2	0	1	0	1.638728	0.001458	421.519531	283576
1215	105	202	202	3	0	1	0	1.880001	0.001458	476.488281	2797
0	13	252	252	2	0	1	1	1.662406	0.001458	492.511780	297241
26648	105	270	270	3	0	1	0	2.063985	0.001458	497.469604	49672
0	65	297	297	4	0	1	0	1.957282	0.001458	504.670380	56308
5202	13	440	440	2	0	1	1	1.968561	0.001458	532.287231	107096
95484	252	362	362	3	0	1	1	2.153502	0.001458	518.691345	297241
2719	105	445	445	3	0	1	0	1.906098	0.001458	533.332336	2719
0	297	426	426	5	0	1	0	2.246223	0.001458	530.179626	56308
368	65	448	448	4	0	1	0	1.962422	0.001458	533.538391	600
2746	105	572	572	3	0	1	0	1.935003	0.001458	551.317810	2746
0	65	503	503	4	0	1	0	1.947448	0.001458	541.302368	14541
76443	618	782	782	4	0	1	2	2.527371	0.001458	574.629822	97057
23221	362	580	580	4	0	1	1	2.638410	0.001458	553.211060	45844
481	362	589	589	4	0	1	1	2.458524	0.001458	554.042664	481
0	440	618	618	3	0	1	2	2.202629	0.001458	558.022156	97057
499	65	627	627	4	0	1	0	2.318181	0.001458	559.124878	16040
0	448	813	813	5	0	1	0	2.130600	0.001458	577.621094	232
0	105	656	656	3	0	1	0	1.812925	0.001458	562.689453	25480
55	105	660	660	3	0	1	0	1.783685	0.001458	563.319946	55
17996	270	884	884	4	0	1	0	2.371177	0.001458	583.119812	18000
37	148	716	716	5	0	1	0	2.199784	0.001458	568.153137	37
53	65	736	736	4	0	1	0	2.259631	0.001458	570.555542	58225
290	270	831	831	4	0	1	1	2.189974	0.001458	579.411316	290
5	65	899	899	4	0	1	0	1.928701	0.001458	583.988647	283
58	362	829	829	4	0	1	1	2.553505	0.001458	579.259338	58
1108	580	871	871	5	0	1	1	2.760717	0.001458	581.989136	1108
4	148	858	858	5	0	1	1	2.381647	0.001458	581.272400	4
5	362	938	938	4	0	1	1	2.379036	0.001458	587.084229	5
408	362	968	968	4	0	1	1	2.399486	0.001458	588.852112	408
