NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	DriverIdentity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	PassengerMutations
1	1	-1	-1	0.000000	0	0	0	1	1.000000	0.000000	0.000000	0	0	0
6	1	-1	-1	1.060990	0	0	0	6	1.000000	0.000000	0.000000	0	0	0
7	1	-1	-1	2.067101	0	0	0	7	1.000000	0.000000	0.000000	0	0	0
7	1	-1	-1	3.070472	0	0	0	7	1.000000	0.000000	0.000000	0	0	0
14	1	-1	-1	4.097158	0	0	0	14	1.000000	0.000000	0.000000	0	0	0
19	1	-1	-1	5.099475	0	0	0	19	1.000000	0.000000	0.000000	0	0	0
16	1	-1	-1	6.194743	0	0	0	16	1.000000	0.000000	0.000000	0	0	0
19	1	-1	-1	7.201932	0	0	0	19	1.000000	0.000000	0.000000	0	0	0
9	1	-1	-1	8.248285	0	0	0	9	1.000000	0.000000	0.000000	0	0	0
4	1	-1	-1	9.430346	0	0	0	4	1.000000	0.000000	0.000000	0	0	0
10	1	-1	-1	10.432297	0	0	0	10	1.000000	0.000000	0.000000	0	0	0
13	1	-1	-1	11.471234	0	0	0	13	1.000000	0.000000	0.000000	0	0	0
17	1	-1	-1	12.475446	0	0	0	17	1.000000	0.000000	0.000000	0	0	0
20	1	-1	-1	13.481987	0	0	0	20	1.000000	0.000000	0.000000	0	0	0
37	1	-1	-1	14.495207	0	0	0	37	1.000000	0.000000	0.000000	0	0	0
28	1	-1	-1	15.497908	0	0	0	28	1.000000	0.000000	0.000000	0	0	0
30	1	-1	-1	16.524801	0	0	0	30	1.000000	0.000000	0.000000	0	0	0
31	1	-1	-1	17.538778	0	0	0	31	1.000000	0.000000	0.000000	0	0	0
36	1	-1	-1	18.555149	0	0	0	36	1.000000	0.000000	0.000000	0	0	0
39	1	-1	-1	19.559690	0	0	0	39	1.000000	0.000000	0.000000	0	0	0
46	1	-1	-1	20.578125	0	0	0	46	1.000000	0.000000	0.000000	0	0	0
40	1	-1	-1	21.585825	0	0	0	40	1.000000	0.000000	0.000000	0	0	0
42	1	-1	-1	22.587646	0	0	0	42	1.000000	0.000000	0.000000	0	0	0
21	1	-1	-1	23.596821	0	0	0	21	1.000000	0.000000	0.000000	0	0	0
22	1	-1	-1	24.610769	0	0	0	22	1.000000	0.000000	0.000000	0	0	0
33	1	-1	-1	25.630800	0	0	0	33	1.000000	0.000000	0.000000	0	0	0
21	1	-1	-1	26.669600	0	0	0	21	1.000000	0.000000	0.000000	0	0	0
31	1	-1	-1	27.677002	0	0	0	31	1.000000	0.000000	0.000000	0	0	0
27	1	-1	-1	28.704313	0	0	0	27	1.000000	0.000000	0.000000	0	0	0
15	1	-1	-1	29.708698	0	0	0	15	1.000000	0.000000	0.000000	0	0	0
18	1	-1	-1	30.768663	0	0	0	18	1.000000	0.000000	0.000000	0	0	0
21	1	-1	-1	31.802641	0	0	0	21	1.000000	0.000000	0.000000	0	0	0
22	1	-1	-1	32.852570	0	0	0	22	1.000000	0.000000	0.000000	0	0	0
37	1	-1	-1	33.862736	0	0	0	37	1.000000	0.000000	0.000000	0	0	0
39	1	-1	-1	34.865410	0	0	0	39	1.000000	0.000000	0.000000	0	0	0
49	1	-1	-1	35.872364	0	0	0	49	1.000000	0.000000	0.000000	0	0	0
43	1	-1	-1	36.872776	0	0	0	43	1.000000	0.000000	0.000000	0	0	0
41	1	-1	-1	37.876587	0	0	0	41	1.000000	0.000000	0.000000	0	0	0
51	1	-1	-1	38.878498	0	0	0	51	1.000000	0.000000	0.000000	0	0	0
47	1	-1	-1	39.899071	0	0	0	47	1.000000	0.000000	0.000000	0	0	0
45	1	-1	-1	40.905476	0	0	0	45	1.000000	0.000000	0.000000	0	0	0
49	1	-1	-1	41.905804	0	0	0	49	1.000000	0.000000	0.000000	0	0	0
54	1	-1	-1	42.918701	0	0	0	54	1.000000	0.000000	0.000000	0	0	0
55	1	-1	-1	43.945301	0	0	0	55	1.000000	0.000000	0.000000	0	0	0
49	1	-1	-1	44.955616	0	0	0	49	1.000000	0.000000	0.000000	0	0	0
51	1	-1	-1	45.956215	0	0	0	51	1.000000	0.000000	0.000000	0	0	0
73	1	-1	-1	46.962154	0	0	0	73	1.000000	0.000000	0.000000	0	0	0
63	1	-1	-1	47.963150	0	0	0	63	1.000000	0.000000	0.000000	0	0	0
68	1	-1	-1	48.974167	0	0	0	68	1.000000	0.000000	0.000000	0	0	0
73	1	-1	-1	49.980812	0	0	0	73	1.000000	0.000000	0.000000	0	0	0
81	1	-1	-1	50.983177	0	0	0	81	1.000000	0.000000	0.000000	0	0	0
73	1	-1	-1	51.992626	0	0	0	73	1.000000	0.000000	0.000000	0	0	0
64	1	-1	-1	52.996670	0	0	0	64	1.000000	0.000000	0.000000	0	0	0
49	1	-1	-1	54.007843	0	0	0	49	1.000000	0.000000	0.000000	0	0	0
51	1	-1	-1	55.028103	0	0	0	51	1.000000	0.000000	0.000000	0	0	0
62	1	-1	-1	56.040100	0	0	0	62	1.000000	0.000000	0.000000	0	0	0
71	1	-1	-1	57.041420	0	0	0	71	1.000000	0.000000	0.000000	0	0	0
63	1	-1	-1	58.053783	0	0	0	63	1.000000	0.000000	0.000000	0	0	0
73	1	-1	-1	59.067017	0	0	0	73	1.000000	0.000000	0.000000	0	0	0
80	1	-1	-1	60.068287	0	0	0	80	1.000000	0.000000	0.000000	0	0	0
58	1	-1	-1	61.073250	0	0	0	58	1.000000	0.000000	0.000000	0	0	0
46	1	-1	-1	62.103531	0	0	0	46	1.000000	0.000000	0.000000	0	0	0
36	1	-1	-1	63.117760	0	0	0	36	1.000000	0.000000	0.000000	0	0	0
31	1	-1	-1	64.121071	0	0	0	31	1.000000	0.000000	0.000000	0	0	0
27	1	-1	-1	65.131424	0	0	0	27	1.000000	0.000000	0.000000	0	0	0
39	1	-1	-1	66.135101	0	0	0	39	1.000000	0.000000	0.000000	0	0	0
33	1	-1	-1	67.136734	0	0	0	33	1.000000	0.000000	0.000000	0	0	0
28	1	-1	-1	68.143425	0	0	0	28	1.000000	0.000000	0.000000	0	0	0
36	1	-1	-1	69.145554	0	0	0	36	1.000000	0.000000	0.000000	0	0	0
46	1	-1	-1	70.147926	0	0	0	46	1.000000	0.000000	0.000000	0	0	0
55	1	-1	-1	71.151886	0	0	0	55	1.000000	0.000000	0.000000	0	0	0
49	1	-1	-1	72.153641	0	0	0	49	1.000000	0.000000	0.000000	0	0	0
75	1	-1	-1	73.172813	0	0	0	75	1.000000	0.000000	0.000000	0	0	0
62	1	-1	-1	74.175575	0	0	0	62	1.000000	0.000000	0.000000	0	0	0
54	1	-1	-1	75.177231	0	0	0	54	1.000000	0.000000	0.000000	0	0	0
55	1	-1	-1	76.195686	0	0	0	55	1.000000	0.000000	0.000000	0	0	0
52	1	-1	-1	77.199966	0	0	0	52	1.000000	0.000000	0.000000	0	0	0
67	1	-1	-1	78.207611	0	0	0	67	1.000000	0.000000	0.000000	0	0	0
86	1	-1	-1	79.209938	0	0	0	86	1.000000	0.000000	0.000000	0	0	0
71	1	-1	-1	80.210709	0	0	0	71	1.000000	0.000000	0.000000	0	0	0
79	1	-1	-1	81.215408	0	0	0	79	1.000000	0.000000	0.000000	0	0	0
83	1	-1	-1	82.216003	0	0	0	83	1.000000	0.000000	0.000000	0	0	0
113	1	-1	-1	83.222336	0	0	0	113	1.000000	0.000000	0.000000	0	0	0
97	1	-1	-1	84.231064	0	0	0	97	1.000000	0.000000	0.000000	0	0	0
96	1	-1	-1	85.233330	0	0	0	96	1.000000	0.000000	0.000000	0	0	0
87	1	-1	-1	86.235283	0	0	0	87	1.000000	0.000000	0.000000	0	0	0
70	1	-1	-1	87.246521	0	0	0	70	1.000000	0.000000	0.000000	0	0	0
57	1	-1	-1	88.251381	0	0	0	57	1.000000	0.000000	0.000000	0	0	0
58	1	-1	-1	89.254585	0	0	0	58	1.000000	0.000000	0.000000	0	0	0
68	1	-1	-1	90.257271	0	0	0	68	1.000000	0.000000	0.000000	0	0	0
75	1	-1	-1	91.257416	0	0	0	75	1.000000	0.000000	0.000000	0	0	0
65	1	-1	-1	92.257805	0	0	0	65	1.000000	0.000000	0.000000	0	0	0
58	1	-1	-1	93.259544	0	0	0	58	1.000000	0.000000	0.000000	0	0	0
64	1	-1	-1	94.261246	0	0	0	64	1.000000	0.000000	0.000000	0	0	0
77	1	-1	-1	95.267563	0	0	0	77	1.000000	0.000000	0.000000	0	0	0
106	1	-1	-1	96.268394	0	0	0	106	1.000000	0.000000	0.000000	0	0	0
102	1	-1	-1	97.269310	0	0	0	102	1.000000	0.000000	0.000000	0	0	0
97	1	-1	-1	98.277634	0	0	0	97	1.000000	0.000000	0.000000	0	0	0
88	1	-1	-1	99.284203	0	0	0	88	1.000000	0.000000	0.000000	0	0	0
81	1	-1	-1	100.297676	0	0	0	81	1.000000	0.000000	0.000000	0	0	0
