Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
0.000000	1	0	0	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
1.060990	6	9	4	0	0.166667	0.000000	0.138889	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2	2	1	1	1	2	1	3	6	0	0	0	0	0	0	0	0	0	0
2.067101	7	13	7	0	0.142857	0.000000	0.122449	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2	2	1	1	1	2	1	3	7	0	0	0	0	0	0	0	0	0	0
3.070472	7	22	16	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1	1	1	1	1	3	1	4	7	0	0	0	0	0	0	0	0	0	0
4.097158	14	38	25	0	0.571429	0.000000	0.673469	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3	3	1	1	1	4	1	7	14	0	0	0	0	0	0	0	0	0	0
5.099475	19	58	40	0	0.473684	0.000000	0.459834	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7	7	1	1	1	7	1	12	19	0	0	0	0	0	0	0	0	0	0
6.194743	16	71	56	0	0.687500	0.000000	0.464844	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6	6	1	1	1	7	1	13	16	0	0	0	0	0	0	0	0	0	0
7.201932	19	91	73	0	1.263158	0.000000	0.825485	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6	6	1	1	1	7	1	18	19	0	0	0	0	0	0	0	0	0	0
8.248285	9	100	92	0	1.666667	0.000000	0.666667	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6	6	1	1	1	7	1	20	9	0	0	0	0	0	0	0	0	0	0
9.430346	4	106	103	0	2.000000	0.000000	0.000000	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2	2	1	1	1	8	1	21	4	0	0	0	0	0	0	0	0	0	0
10.432297	10	117	108	0	2.100000	0.000000	0.090000	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2	2	1	1	1	8	1	22	10	0	0	0	0	0	0	0	0	0	0
11.471234	13	130	118	0	2.230769	0.000000	0.177515	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3	3	1	1	1	8	1	24	13	0	0	0	0	0	0	0	0	0	0
12.475446	17	151	135	0	2.411765	0.000000	0.242215	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4	4	1	1	1	10	1	27	17	0	0	0	0	0	0	0	0	0	0
13.481987	20	166	147	0	2.700000	0.000000	0.510000	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5	5	1	1	1	10	1	29	20	0	0	0	0	0	0	0	0	0	0
14.495207	37	212	176	0	2.729730	0.000000	0.683711	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	11	11	1	1	1	18	1	40	37	0	0	0	0	0	0	0	0	0	0
15.497908	28	238	211	0	2.857143	0.000000	0.765306	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	9	9	1	1	1	18	1	45	28	0	0	0	0	0	0	0	0	0	0
