Generation	NumCells	DriverDiversity	DriverEdgeDiversity	DriverAlphaDiversity	DriverDiversityFrom1RandomSamples	DriverDiversityFrom1BigRandomSamples	DriverDiversityFrom2RandomSamples	DriverDiversityFrom2BigRandomSamples	DriverDiversityFrom4RandomSamples	DriverDiversityFrom4BigRandomSamples
0.000000	1	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
10.432297	10	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
20.578125	46	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
30.768663	18	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
40.905476	45	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
50.983177	81	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
61.073250	58	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
71.151886	55	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
81.215408	79	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
91.257416	75	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
101.309509	110	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
111.342819	195	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
121.358894	333	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
131.380905	420	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
141.391205	449	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
151.400452	492	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
161.420593	518	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
171.432007	594	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
181.440338	761	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
191.444229	1117	1.007188	1.007188	1.007188	1.000000	1.000000	1.005013	1.010050	1.006018	1.010555
201.448685	1140	1.003515	1.003515	1.003515	1.000000	1.010050	1.000000	1.000000	1.002002	1.003005
211.453217	1421	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
221.456116	1447	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
231.458359	1732	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
241.461182	2655	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
251.464264	2901	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
261.465027	3232	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
271.466827	3944	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
281.467560	4782	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
284.944153	5000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
291.468475	5661	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
301.469238	7149	1.002241	1.002241	1.002241	1.000000	1.000000	1.005013	1.004008	1.005013	1.001501
311.469666	8019	1.002247	1.002247	1.002247	1.000000	1.000000	1.000000	1.002002	1.000000	1.001501
321.470367	9646	1.000207	1.000207	1.000207	1.000000	1.000000	1.000000	1.000000	1.000000	1.000500
324.260345	10000	1.000200	1.000200	1.000200	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
331.470764	11451	1.000349	1.000349	1.000349	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
341.471558	13364	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
347.137054	15000	1.000533	1.000533	1.000533	1.000000	1.000000	1.000000	1.000000	1.001001	1.000500
351.471985	16809	1.002025	1.002025	1.002025	1.000000	1.000000	1.000000	1.002002	1.003005	1.001501
356.437439	20000	1.004008	1.004008	1.004008	1.000000	1.010050	1.005013	1.008032	1.000000	1.004008
361.472260	22233	1.004056	1.004056	1.004056	1.000000	1.000000	1.005013	1.002002	1.003005	1.003506
367.445251	25000	1.003448	1.003448	1.003448	1.000000	1.000000	1.000000	1.006022	1.004009	1.002504
371.472504	27603	1.004579	1.004579	1.004579	1.000000	1.000000	1.000000	1.004010	1.003006	1.007032
374.842499	30000	1.004078	1.004078	1.004078	1.000000	1.010050	1.015138	1.008032	1.001001	1.003508
380.978363	35000	1.004987	1.004987	1.004987	1.000000	1.010050	1.010050	1.012090	1.004010	1.004010
