Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
86997	0	0	0	0	0	1	0	1.000000	0.000000	0.000000	1000000
636	0	16	16	1	0	1	0	1.031910	0.000000	341.682678	636
672	0	23	23	1	0	1	0	1.032175	0.000000	361.771973	672
127	0	24	24	1	0	1	0	1.016777	0.000000	366.470215	127
81408	0	28	28	1	0	1	0	1.167636	0.000000	378.157501	81434
16187	0	30	30	1	0	1	0	1.153253	0.000000	381.244751	16187
448	0	55	55	1	0	1	0	1.202293	0.000000	408.431244	448
812956	0	32	32	1	0	1	0	1.201582	0.000000	382.403046	813446
17	0	36	36	1	0	1	0	1.034675	0.000000	393.375946	17
3	32	96	96	2	0	0	0	1.263304	0.000000	422.973938	3
2	32	100	100	2	0	0	0	1.204977	0.000000	423.403900	2
30	0	63	63	1	0	1	1	1.012926	0.000000	412.812378	30
375	32	60	60	2	0	1	0	1.220952	0.000000	410.806030	375
3	28	147	147	2	0	0	0	1.271396	0.000000	427.257690	3
8	28	152	152	2	0	1	0	1.214281	0.000000	427.452698	8
3	32	107	107	2	0	1	0	1.514813	0.000000	423.796844	3
5	32	126	126	2	0	0	0	1.442417	0.000000	425.041565	5
45	32	82	82	2	0	1	0	1.281178	0.000000	420.257660	45
12	32	92	92	2	0	1	0	1.204436	0.000000	422.331329	12
2	28	135	135	2	0	0	0	1.400545	0.000000	425.773285	2
2	32	160	160	2	0	0	0	1.274957	0.000000	428.118530	2
7	32	139	139	2	0	0	0	1.359283	0.000000	426.356781	7
1	32	162	162	2	0	0	0	1.522738	0.000000	428.416565	1
4	32	106	106	2	0	0	0	1.267699	0.000000	423.772614	4
10	28	111	111	2	0	1	0	1.270163	0.000000	424.102112	10
1	32	112	112	2	0	0	0	1.201875	0.000000	424.128113	1
3	32	153	153	2	0	0	0	1.406576	0.000000	427.555786	3
3	28	151	151	2	0	0	0	1.278738	0.000000	427.433075	3
5	0	141	141	1	0	0	0	1.052436	0.000000	426.722687	5
3	32	117	117	2	0	0	0	1.271989	0.000000	424.393860	3
10	32	157	157	2	0	1	0	1.622522	0.000000	427.751160	10
4	32	158	158	2	0	0	0	1.266239	0.000000	427.762482	4
1	32	156	156	2	0	0	0	1.225317	0.000000	427.702026	1
1	32	159	159	2	0	0	0	1.298940	0.000000	427.843323	1
1	32	161	161	2	0	0	0	1.281408	0.000000	428.155273	1
2	32	163	163	2	0	0	0	1.298560	0.000000	428.459991	2
1	0	166	166	1	0	0	0	1.150266	0.000000	428.526184	1
2	32	165	165	2	0	0	0	1.219972	0.000000	428.470306	2
3	32	167	167	2	0	0	0	1.224531	0.000000	428.530884	3
