Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.432297	1	0.100000	1
10.432297	2	0.200000	0
10.432297	3	0.300000	0
10.432297	4	0.400000	0
10.432297	5	0.500000	0
10.432297	6	0.600000	0
10.432297	7	0.700000	0
10.432297	8	0.800000	0
10.432297	9	0.900000	1
10.432297	10	1.000000	0
20.578125	1	0.021739	5
20.578125	2	0.043478	2
20.578125	3	0.065217	2
20.578125	4	0.086957	1
20.578125	5	0.108696	0
20.578125	6	0.130435	0
20.578125	7	0.152174	2
20.578125	8	0.173913	0
20.578125	9	0.195652	0
20.578125	10	0.217391	0
20.578125	13	0.282609	1
30.768663	1	0.055556	4
30.768663	2	0.111111	0
30.768663	3	0.166667	0
30.768663	4	0.222222	1
30.768663	5	0.277778	2
30.768663	6	0.333333	0
30.768663	7	0.388889	0
30.768663	8	0.444444	0
30.768663	9	0.500000	0
30.768663	10	0.555556	0
40.905476	1	0.022222	10
40.905476	2	0.044444	4
40.905476	3	0.066667	3
40.905476	4	0.088889	1
40.905476	5	0.111111	1
40.905476	6	0.133333	0
40.905476	7	0.155556	0
40.905476	8	0.177778	0
40.905476	9	0.200000	1
40.905476	10	0.222222	0
50.983177	1	0.012346	17
50.983177	2	0.024691	2
50.983177	3	0.037037	2
50.983177	4	0.049383	1
50.983177	5	0.061728	2
50.983177	6	0.074074	0
50.983177	7	0.086420	0
50.983177	8	0.098765	0
50.983177	9	0.111111	0
50.983177	10	0.123457	0
50.983177	12	0.148148	1
50.983177	11	0.135802	1
50.983177	17	0.209877	1
61.073250	1	0.017241	9
61.073250	2	0.034483	4
61.073250	3	0.051724	5
61.073250	4	0.068966	0
61.073250	5	0.086207	0
61.073250	6	0.103448	2
61.073250	7	0.120690	2
61.073250	8	0.137931	0
61.073250	9	0.155172	0
61.073250	10	0.172414	0
71.151886	1	0.018182	6
71.151886	2	0.036364	3
71.151886	3	0.054545	2
71.151886	4	0.072727	3
71.151886	5	0.090909	0
71.151886	6	0.109091	1
71.151886	7	0.127273	0
71.151886	8	0.145455	1
71.151886	9	0.163636	0
71.151886	10	0.181818	0
71.151886	11	0.200000	1
81.215408	1	0.012658	17
81.215408	2	0.025316	2
81.215408	3	0.037975	3
81.215408	4	0.050633	4
81.215408	5	0.063291	1
81.215408	6	0.075949	1
81.215408	7	0.088608	0
81.215408	8	0.101266	0
81.215408	9	0.113924	1
81.215408	10	0.126582	0
81.215408	13	0.164557	1
91.257416	1	0.013333	11
91.257416	2	0.026667	7
91.257416	3	0.040000	4
91.257416	4	0.053333	2
91.257416	5	0.066667	3
91.257416	6	0.080000	1
91.257416	7	0.093333	0
91.257416	8	0.106667	0
91.257416	9	0.120000	1
91.257416	10	0.133333	0
101.309509	1	0.009091	10
101.309509	2	0.018182	5
101.309509	3	0.027273	4
101.309509	4	0.036364	5
101.309509	5	0.045455	1
101.309509	6	0.054545	0
101.309509	7	0.063636	1
101.309509	8	0.072727	1
101.309509	9	0.081818	1
101.309509	10	0.090909	1
101.309509	19	0.172727	1
111.342819	1	0.005128	35
111.342819	2	0.010256	16
111.342819	3	0.015385	9
111.342819	4	0.020513	3
111.342819	5	0.025641	4
111.342819	6	0.030769	3
111.342819	7	0.035897	2
111.342819	8	0.041026	1
111.342819	9	0.046154	0
111.342819	10	0.051282	0
111.342819	29	0.148718	1
121.358894	1	0.003003	53
121.358894	2	0.006006	19
121.358894	3	0.009009	14
121.358894	4	0.012012	10
121.358894	5	0.015015	7
121.358894	6	0.018018	2
121.358894	7	0.021021	2
121.358894	8	0.024024	3
121.358894	9	0.027027	3
121.358894	10	0.030030	1
121.358894	11	0.033033	1
121.358894	13	0.039039	1
121.358894	14	0.042042	1
131.380905	1	0.002381	96
131.380905	2	0.004762	35
131.380905	3	0.007143	18
131.380905	4	0.009524	12
131.380905	5	0.011905	9
131.380905	6	0.014286	2
131.380905	7	0.016667	5
131.380905	8	0.019048	0
131.380905	9	0.021429	2
131.380905	10	0.023810	0
131.380905	15	0.035714	1
131.380905	13	0.030952	1
131.380905	14	0.033333	1
141.391205	1	0.002227	85
141.391205	2	0.004454	30
141.391205	3	0.006682	19
141.391205	4	0.008909	12
141.391205	5	0.011136	4
141.391205	6	0.013363	2
141.391205	7	0.015590	3
141.391205	8	0.017817	5
141.391205	9	0.020045	7
141.391205	10	0.022272	1
141.391205	17	0.037862	1
141.391205	16	0.035635	1
151.400452	1	0.002033	104
151.400452	2	0.004065	51
151.400452	3	0.006098	19
151.400452	4	0.008130	9
151.400452	5	0.010163	9
151.400452	6	0.012195	8
151.400452	7	0.014228	1
151.400452	8	0.016260	0
151.400452	9	0.018293	3
151.400452	10	0.020325	1
151.400452	19	0.038618	1
151.400452	12	0.024390	1
151.400452	14	0.028455	1
151.400452	11	0.022358	1
161.420593	1	0.001931	100
161.420593	2	0.003861	39
161.420593	3	0.005792	14
161.420593	4	0.007722	13
161.420593	5	0.009653	5
161.420593	6	0.011583	6
161.420593	7	0.013514	5
161.420593	8	0.015444	5
161.420593	9	0.017375	2
161.420593	10	0.019305	1
161.420593	20	0.038610	2
161.420593	31	0.059846	1
161.420593	11	0.021236	1
171.432007	1	0.001684	117
171.432007	2	0.003367	40
171.432007	3	0.005051	30
