Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
520067	0	0	0	0	0	1	0	1.000000	1.000000	0.000000	1000000
67	0	24	24	1	0	1	0	1.125300	1.000000	160.770599	856
97	0	13	13	1	0	1	0	1.168425	1.000000	132.492615	715
11576	0	115	115	1	0	1	0	1.535458	1.000000	252.965179	68766
573	13	205	205	2	0	1	0	1.275248	1.000000	299.840485	618
231	0	135	135	1	0	1	0	1.257659	1.000000	266.019562	4565
1509	0	143	143	1	0	1	0	1.154969	1.000000	269.168549	1509
1860	0	494	494	1	0	1	0	1.205689	1.000000	399.806396	5274
823	0	193	193	1	0	1	0	1.371883	1.000000	291.034363	27550
5392	0	256	256	1	0	1	0	1.297654	1.000000	321.778717	10797
27	0	281	281	1	0	1	0	1.133105	1.000000	332.117828	27
3405	115	286	286	2	0	1	0	1.826254	1.000000	333.648895	8244
44	0	347	347	1	0	1	0	1.058297	1.000000	355.300964	44
1279	0	489	489	1	0	1	0	1.136141	1.000000	397.452301	4861
408	0	470	470	1	0	1	0	1.323893	1.000000	392.757233	1426
1827	135	664	664	2	0	1	0	1.431360	1.000000	443.083862	1838
1205	0	587	587	1	0	1	0	1.240260	1.000000	424.219910	1205
1007	0	515	515	1	0	1	0	1.189845	1.000000	404.681763	1007
881	193	703	703	2	0	1	0	1.671535	1.000000	451.613586	26627
45	0	730	730	1	0	1	0	1.270475	1.000000	457.162628	3127
3307	0	602	602	1	0	1	0	1.277422	1.000000	426.871155	3310
6401	115	575	575	2	0	1	0	1.928849	1.000000	421.255432	8728
1612	0	678	678	1	0	1	0	1.183022	1.000000	445.966370	1612
52	0	611	611	1	0	1	0	1.146912	1.000000	428.879211	469
9104	0	728	728	1	0	1	0	1.344209	1.000000	456.521606	11037
4709	0	601	601	1	0	1	0	1.274722	1.000000	426.715027	6643
407	0	765	765	1	0	1	0	1.191089	1.000000	465.250153	407
1013	0	1791	1791	1	0	1	0	1.120560	1.000000	614.154114	1013
96	0	954	954	1	0	1	1	1.019675	1.000000	498.791901	96
5917	0	809	809	1	0	1	0	1.214430	1.000000	473.233002	5948
156	0	935	935	1	0	1	0	1.178021	1.000000	494.720581	156
8683	0	961	961	1	0	1	1	1.255749	1.000000	500.915009	8933
53	0	903	903	1	0	1	0	1.003874	1.000000	490.258179	53
900	0	1160	1160	1	0	1	0	1.050093	1.000000	530.940002	900
3921	0	986	986	1	0	1	0	1.272716	1.000000	505.192047	7766
5829	0	1012	1012	1	0	1	1	1.272607	1.000000	508.838318	5831
193	0	1083	1083	1	0	1	0	1.043380	1.000000	517.955444	193
972	0	1063	1063	1	0	1	0	1.306029	1.000000	515.752808	1125
8168	0	1228	1228	1	0	1	0	1.409812	1.000000	539.859741	13413
116820	0	1031	1031	1	0	1	1	1.420400	1.000000	511.617676	143332
103	0	1027	1027	1	0	1	1	1.078172	1.000000	510.815369	103
3062	0	1089	1089	1	0	1	0	1.230321	1.000000	518.594849	3062
6306	0	1364	1364	1	0	1	0	1.289861	1.000000	558.679626	6309
12404	115	1144	1144	2	0	1	0	1.974841	1.000000	528.493591	15731
22	0	1157	1157	1	0	1	0	1.143317	1.000000	530.766602	22
3713	0	1172	1172	1	0	1	0	1.249742	1.000000	532.450317	3825
6673	0	1206	1206	1	0	1	0	1.285768	1.000000	536.869995	7864
1034	0	1417	1417	1	0	1	0	1.116814	1.000000	565.363037	1034
817	0	1311	1311	1	0	1	1	1.154422	1.000000	552.079041	817
5762	0	1335	1335	1	0	1	1	1.208475	1.000000	554.605652	5763
2050	0	1287	1287	1	0	1	0	1.292192	1.000000	548.513062	4490
215	0	1454	1454	1	0	1	0	1.111236	1.000000	571.899170	215
