Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
204072	0	0	0	0	0	1	0	1.000000	0.000000	0.000000	1000000
120358	0	10	10	1	0	1	0	1.050329	0.000000	107.619476	384606
11822	0	30	30	1	0	1	0	1.211034	0.000000	187.682510	13869
5121	0	61	61	1	0	1	0	1.298446	0.000000	250.601913	6144
14321	0	103	103	1	0	1	0	1.098890	0.000000	311.620209	36864
24251	10	114	114	2	0	1	0	1.261176	0.000000	324.235718	34816
2048	0	125	125	1	0	1	0	1.423796	0.000000	331.015411	2048
9983	10	132	132	2	0	1	0	1.194888	0.000000	334.234131	43008
7852	0	137	137	1	0	1	1	1.276602	0.000000	337.888641	16384
16741	10	138	138	2	0	1	1	1.158872	0.000000	338.460144	21079
8192	0	194	194	1	0	1	0	1.240456	0.000000	364.724030	8192
28542	0	202	202	1	0	1	0	1.523714	0.000000	367.499268	34817
2048	0	179	179	1	0	1	1	1.167186	0.000000	358.893585	2048
0	0	218	218	1	0	1	0	1.266158	0.000000	373.040802	6144
3913	10	214	214	2	0	1	0	1.201733	0.000000	370.831116	4096
24568	213	251	251	3	0	1	0	1.762115	0.000000	385.409760	49154
12270	10	213	213	2	0	1	0	1.432983	0.000000	370.650818	61442
16384	103	354	354	2	0	1	0	1.368272	0.000000	410.576294	16384
4060	10	232	232	2	0	1	0	1.244909	0.000000	377.431396	16385
5883	103	376	376	2	0	1	0	1.267974	0.000000	415.374176	6144
0	0	229	229	1	0	1	0	1.602071	0.000000	377.116760	180230
3107	10	235	235	2	0	1	0	1.207120	0.000000	378.546173	5545
50872	229	255	255	2	0	1	0	2.045005	0.000000	386.089264	180230
499	0	404	404	1	0	1	0	1.023488	0.000000	420.832123	499
2048	0	288	288	1	0	1	0	1.156841	0.000000	395.432587	6144
4095	10	282	282	2	0	1	0	1.163750	0.000000	392.397186	4096
22322	0	271	271	1	0	1	0	1.323400	0.000000	388.439758	22528
0	10	353	353	2	0	1	0	1.196657	0.000000	410.211670	8192
6138	218	303	303	2	0	1	0	1.469671	0.000000	399.457581	6144
36380	255	343	343	3	0	1	0	2.564120	0.000000	407.886780	116741
4096	288	375	375	2	0	1	0	1.324118	0.000000	415.305481	4096
26417	132	417	417	3	0	1	0	1.448776	0.000000	423.399292	26624
3873	0	472	472	1	0	1	0	1.048675	0.000000	432.922119	3873
1612	10	431	431	2	0	1	0	1.437968	0.000000	425.843933	2048
6144	10	530	530	2	0	1	0	1.338422	0.000000	443.062042	6144
7199	0	413	413	1	0	1	0	1.067993	0.000000	422.565002	7201
4096	10	411	411	2	0	1	0	1.171827	0.000000	421.812683	4096
12286	0	557	557	1	0	1	0	1.211877	0.000000	447.030914	12286
8193	0	442	442	1	0	1	0	1.270531	0.000000	428.623383	8193
4087	10	427	427	2	0	1	0	1.127129	0.000000	424.924164	4089
2011	202	432	432	2	0	1	0	1.654626	0.000000	425.847443	2048
8191	114	466	466	3	0	1	0	1.620280	0.000000	431.626984	8192
2048	0	464	464	1	0	1	0	1.316710	0.000000	431.461609	2048
24116	251	461	461	4	0	1	0	2.168257	0.000000	431.169678	24578
2048	0	459	459	1	0	1	0	1.314330	0.000000	431.040375	2048
8185	10	534	534	2	0	1	0	1.217034	0.000000	443.514343	8186
3117	0	512	512	1	0	1	0	1.068722	0.000000	440.018280	3117
1854	0	493	493	1	0	1	0	1.113871	0.000000	436.655609	1854
6144	132	587	587	3	0	1	1	1.649883	0.000000	449.547333	6144
2432	138	517	517	3	0	1	2	1.228109	0.000000	440.791595	2432
2048	10	524	524	2	0	1	0	1.220384	0.000000	442.201630	2048
3476	0	560	560	1	0	1	0	1.136221	0.000000	447.283264	6110
10239	0	546	546	1	0	1	0	1.158413	0.000000	445.299652	10240
3099	10	596	596	2	0	1	0	1.121685	0.000000	450.511444	3099
16157	10	583	583	2	0	1	0	1.220757	0.000000	449.170471	16384
302	114	591	591	3	0	1	0	1.297707	0.000000	450.116486	302
2031	0	575	575	1	0	1	0	1.147721	0.000000	448.387726	2031
25417	343	599	599	4	0	1	0	3.318712	0.000000	451.229523	28672
3941	0	615	615	1	0	1	0	1.125196	0.000000	453.923523	3992
1068	0	633	633	1	0	1	1	1.068099	0.000000	455.716339	1068
11187	232	659	659	3	0	1	0	1.435276	0.000000	458.399109	11197
2031	0	667	667	1	0	1	0	1.146087	0.000000	459.455353	2031
256	132	1099	1099	3	0	1	1	1.233364	0.000000	496.343048	256
319	10	694	694	2	0	1	0	1.096729	0.000000	461.526245	319
2152	0	771	771	1	0	1	0	1.063944	0.000000	470.430206	2152
2047	30	657	657	2	0	1	0	1.370892	0.000000	458.393402	2047
22459	343	665	665	4	0	1	0	2.758840	0.000000	459.228943	22531
3350	343	893	893	4	0	1	0	2.850267	0.000000	481.305389	4096
1400	0	708	708	1	0	1	0	1.037559	0.000000	463.199646	1400
3631	137	766	766	2	0	1	1	1.505885	0.000000	470.007721	4096
12	271	898	898	2	0	1	0	1.394974	0.000000	482.045105	12
613	255	682	682	3	0	1	0	2.062903	0.000000	460.544434	613
15060	343	683	683	4	0	1	0	2.676420	0.000000	460.665253	15075
2048	202	755	755	2	0	1	0	2.276639	0.000000	469.119720	2048
2048	0	728	728	1	0	1	0	1.228477	0.000000	465.637878	2048
261	10	868	868	2	0	1	0	1.084173	0.000000	479.664246	261
2048	202	786	786	2	0	1	0	1.776677	0.000000	472.139252	2048
1906	138	794	794	3	0	1	1	1.372075	0.000000	472.811127	1906
6144	343	790	790	4	0	1	0	3.086401	0.000000	472.251251	6144
24	271	1228	1228	2	0	1	0	1.334292	0.000000	503.104370	24
