Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
0	0	0	0	0	0	1	0	1.000000	0.000166	0.000000	1000000
126843	0	2	2	1	0	1	0	1.126927	0.000166	90.362732	850669
95445	0	34	34	1	0	1	0	1.196316	0.000166	263.008148	145235
0	0	14	14	1	0	1	1	1.082731	0.000166	205.081970	2048
2048	2	139	139	2	0	1	0	1.360867	0.000166	385.704407	2048
37779	2	83	83	2	0	1	0	1.339105	0.000166	340.020660	50300
0	2	106	106	2	0	1	0	1.177666	0.000166	359.965546	2048
334574	2	167	167	2	0	1	0	1.565858	0.000166	401.245911	438346
0	34	151	151	2	0	1	2	1.241769	0.000166	391.416046	2048
34778	2	249	249	2	0	1	0	1.293398	0.000166	437.522583	41103
2048	2	264	264	2	0	1	0	1.351050	0.000166	443.861542	2048
2048	2	279	279	2	0	1	0	1.210933	0.000166	450.544861	2048
0	34	230	230	2	0	1	0	1.314863	0.000166	429.295746	2048
2048	2	335	335	2	0	1	0	1.420098	0.000166	467.682953	2048
0	83	289	289	3	0	1	1	1.443668	0.000166	453.441193	2048
0	2	299	299	2	0	1	0	1.275709	0.000166	456.639313	2048
1942	2	300	300	2	0	1	0	1.282228	0.000166	456.815186	2048
1929	2	308	308	2	0	1	0	1.460852	0.000166	458.948608	2049
1464	106	434	434	3	0	1	0	1.284834	0.000166	493.009827	2048
0	2	314	314	2	0	1	0	1.304672	0.000166	459.959412	2048
0	2	322	322	2	0	1	0	1.339979	0.000166	462.592468	2048
737	2	442	442	2	0	1	0	1.242165	0.000166	494.560089	2048
64066	2	514	514	2	0	1	0	1.475685	0.000166	509.355133	81772
2048	2	528	528	2	0	1	0	1.213606	0.000166	512.367554	2048
0	167	438	438	3	0	1	1	1.696348	0.000166	493.972382	2048
2048	2	390	390	2	0	1	0	1.211533	0.000166	484.030365	2048
2048	289	415	415	4	0	1	1	1.669275	0.000166	487.970093	2048
2048	34	453	453	2	0	1	0	1.341921	0.000166	495.546082	2048
2048	2	490	490	2	0	1	1	1.393184	0.000166	503.199768	2048
2048	34	495	495	2	0	1	0	1.332135	0.000166	504.933594	2048
0	34	449	449	2	0	1	0	1.626356	0.000166	495.217682	2048
0	249	629	629	3	0	1	0	1.609747	0.000166	532.268188	2048
1591	2	617	617	2	0	1	0	1.773843	0.000166	530.363647	2048
2046	314	603	603	3	0	1	0	1.719708	0.000166	527.666809	2048
0	151	565	565	3	0	1	2	1.335663	0.000166	519.684631	2048
1959	2	616	616	2	0	1	0	1.176305	0.000166	530.154114	1959
17004	2	595	595	2	0	1	0	1.454067	0.000166	525.555786	21062
0	167	614	614	3	0	1	1	2.430210	0.000166	530.003906	2048
2048	2	643	643	2	0	1	1	1.311014	0.000166	534.177246	2048
0	299	701	701	3	0	1	0	1.462527	0.000166	542.700317	2048
2048	2	691	691	2	0	1	0	1.358036	0.000166	540.975647	4096
176	2	658	658	2	0	1	0	1.278566	0.000166	535.893127	2049
2048	0	705	705	1	0	1	0	1.229399	0.000166	543.032593	2048
0	34	686	686	2	0	1	0	1.703971	0.000166	540.338196	2048
415	83	760	760	3	0	1	0	1.489815	0.000166	549.637573	2048
2048	34	703	703	2	0	1	0	1.442269	0.000166	542.808655	2048
728	167	670	670	3	0	1	0	1.881130	0.000166	538.133972	2048
0	2	700	700	2	0	1	0	1.290751	0.000166	542.547119	2048
0	629	878	878	4	0	1	0	1.885884	0.000166	563.506592	2048
0	2	815	815	2	0	1	0	1.287965	0.000166	555.865112	2048
2048	322	873	873	3	0	1	0	1.508114	0.000166	563.096741	2048
758	2	861	861	2	0	1	0	1.154251	0.000166	561.432007	758
2048	167	897	897	3	0	1	0	2.038929	0.000166	565.119629	2048
2048	2	765	765	2	0	1	0	1.314850	0.000166	550.181335	2048
0	449	896	896	3	0	1	0	1.761810	0.000166	565.029419	2048
2048	2	902	902	2	0	1	0	1.353782	0.000166	565.750610	2048
2048	167	900	900	3	0	1	0	1.822978	0.000166	565.561890	2048
0	167	820	820	3	0	1	0	1.724438	0.000166	557.011169	2048
2048	34	975	975	2	0	1	0	1.470526	0.000166	572.924683	2048
2048	167	850	850	3	0	1	0	1.655826	0.000166	560.354980	2048
112	896	1252	1252	4	0	1	0	2.148892	0.000166	598.917175	2048
1340	34	840	840	2	0	1	0	1.612486	0.000166	558.912537	2048
1254	167	899	899	3	0	1	0	1.726822	0.000166	565.323669	2048
2048	2	891	891	2	0	1	0	1.277440	0.000166	564.185120	2048
2047	2	1406	1406	2	0	1	0	1.309925	0.000166	611.274780	2048
440	167	1015	1015	3	0	1	0	1.695490	0.000166	577.164795	2048
1061	167	964	964	3	0	1	0	1.842469	0.000166	571.453247	2048
2048	701	907	907	4	0	1	1	1.544642	0.000166	566.128723	2048
2048	167	929	929	3	0	1	0	1.772560	0.000166	568.540161	2048
73	167	1011	1011	3	0	1	0	1.930165	0.000166	576.548767	2048
594	2	1083	1083	2	0	1	0	1.234023	0.000166	584.470764	2048
517	691	951	951	3	0	1	0	1.448886	0.000166	569.925049	517
1531	691	1090	1090	3	0	1	0	1.481803	0.000166	585.092834	1531
0	686	941	941	3	0	1	0	2.101957	0.000166	569.219849	2048
2049	514	1269	1269	3	0	1	0	1.635551	0.000166	601.025757	2049
2048	167	1111	1111	3	0	1	0	1.771996	0.000166	586.980957	2048
64	167	1116	1116	3	0	1	0	1.574883	0.000166	587.220032	64
0	438	1046	1046	4	0	1	2	2.342398	0.000166	580.074036	2048
48	34	1163	1163	2	0	1	0	1.260935	0.000166	591.682434	48
708	840	1136	1136	3	0	1	0	1.648092	0.000166	588.848877	708
1775	2	1253	1253	2	0	1	0	1.362984	0.000166	598.961487	2048
2048	941	1356	1356	4	0	1	0	2.181347	0.000166	608.293030	2048
2048	167	1215	1215	3	0	1	0	1.727528	0.000166	595.658813	2048
2037	167	1248	1248	3	0	1	0	1.625235	0.000166	598.614868	2037
2048	2	1335	1335	2	0	1	0	1.388833	0.000166	606.276428	2048
2048	2	1177	1177	2	0	1	0	1.226844	0.000166	593.085388	2048
1838	2	1237	1237	2	0	1	0	1.181006	0.000166	597.502686	1838
2048	167	1302	1302	3	0	1	0	1.825079	0.000166	603.559143	2048
2049	83	1217	1217	3	0	1	0	1.587136	0.000166	595.931213	2049
50	34	1226	1226	2	0	1	0	1.330362	0.000166	596.873352	2048
0	167	1260	1260	3	0	1	0	2.185968	0.000166	599.709961	2048
2048	230	1348	1348	3	0	1	0	1.402915	0.000166	607.580017	2048
2048	1046	1200	1200	5	0	1	2	2.420331	0.000166	594.479858	2048
1819	167	1316	1316	3	0	1	0	1.831706	0.000166	604.549133	2049
2047	34	1279	1279	2	0	1	0	1.295245	0.000166	601.882996	2047
2048	34	1315	1315	2	0	1	1	1.650216	0.000166	604.482910	2048
0	167	1291	1291	3	0	1	0	1.837036	0.000166	602.591553	2048
746	34	1440	1440	2	0	1	0	1.217062	0.000166	614.569519	746
2048	167	1310	1310	3	0	1	1	1.752561	0.000166	604.065552	2048
1314	167	1503	1503	3	0	1	0	1.892484	0.000166	619.000183	2048
1528	760	1664	1664	4	0	1	0	1.564065	0.000166	629.545654	1528
1069	34	1551	1551	2	0	1	0	1.263021	0.000166	622.924011	1069
2048	565	1448	1448	4	0	1	2	1.698253	0.000166	615.160889	2048
2048	2	1465	1465	2	0	1	0	1.222269	0.000166	616.422974	2048
340	34	1458	1458	2	0	1	0	1.222300	0.000166	615.810303	340
