Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
0	0	0	0	0	0	1	0	1.000000	0.000000	0.000000	1000000
0	0	15	15	1	0	1	0	1.202786	0.000000	27.629049	335874
0	0	23	23	1	0	1	0	1.338734	0.000000	35.515213	664126
0	15	100	100	2	0	1	0	1.341262	0.000000	94.091568	212994
0	23	59	59	2	0	1	0	1.748284	0.000000	66.829453	664126
0	15	111	111	2	0	1	0	1.314696	0.000000	104.945457	24531
0	59	112	112	3	0	1	0	2.474976	0.000000	105.083328	664126
0	100	148	148	3	0	1	0	1.406787	0.000000	134.321762	90113
0	15	122	122	2	0	1	1	1.326002	0.000000	113.319115	98349
1455	111	212	212	3	0	1	1	1.378363	0.000000	169.246567	24531
9	100	243	243	3	0	1	0	1.827116	0.000000	185.602020	122881
0	122	282	282	3	0	1	1	1.601843	0.000000	200.825165	98304
0	148	323	323	4	0	1	0	1.575830	0.000000	212.076309	90113
0	112	340	340	4	0	1	0	2.932895	0.000000	215.632477	16384
369	243	378	378	4	0	1	0	1.884078	0.000000	222.134995	24567
0	112	396	396	4	0	1	0	3.222128	0.000000	224.849686	81921
7971	112	420	420	4	0	1	0	2.782679	0.000000	230.895584	418364
0	243	500	500	4	0	1	0	2.036038	0.000000	248.477707	73729
0	396	497	497	5	0	1	0	3.345056	0.000000	248.268936	81921
0	112	550	550	4	0	1	0	2.938288	0.000000	258.260742	147457
22055	212	525	525	4	0	1	1	1.423328	0.000000	253.747025	22587
0	282	662	662	4	0	1	2	2.027055	0.000000	269.457367	40960
0	340	552	552	5	0	1	0	3.147306	0.000000	258.334351	16384
17448	323	601	601	5	0	1	0	2.007648	0.000000	263.874969	90113
18	662	866	866	5	0	1	2	2.156792	0.000000	287.410034	32768
0	282	975	975	4	0	1	1	2.151125	0.000000	295.728271	40960
45	122	882	882	3	0	1	1	1.376607	0.000000	289.160431	45
12	282	968	968	4	0	1	1	1.968410	0.000000	295.015076	16384
0	420	939	939	5	0	1	0	3.954983	0.000000	292.745331	303675
0	662	1195	1195	5	0	1	2	2.290488	0.000000	309.136322	8192
