tumour,minimal,index_value
K136,0,0.475618888
K136,1,0.543564443
K153,0,0.488289278
K153,1,0.611346585
K252,0,0.128034375
K252,1,0.781453646
K255,0,0.591672779
K255,1,0.591672779
K448,0,0.490535001
K448,1,0.621944004
CRUK0029,0,0.770771295
CRUK0029,1,0.867659994
CRUK0062,0,0.751589244
CRUK0062,1,0.810006776
CRUK0065,0,0.589961821
CRUK0065,1,0.752853537
CRUK0071,0,0.679159936
CRUK0071,1,0.726374263
CRUK0096,0,0.425510541
CRUK0096,1,0.563590121
PD9694,0,0.263218363
PD9694,1,0.586175806
PD9849,0,0.072426138
PD9849,1,0.93868087
PD9852,0,0.113103901
PD9852,1,0.650022422
