K,migration_type,init_migration_rate,migration_edge_only,migration_rate_scales_with_K,mu_driver_birth,mu_passenger,mu_driver_migration,normal_birth_rate,baseline_death_rate,s_driver_birth,s_passenger,s_driver_migration,max_relative_birth_rate,max_relative_migration_rate,init_pop,seed,biopsy_size_per_sample,Generation,NumCells,TotalBirths,TotalDeaths,TotalMigrations,Passengers,Drivers,VarPassengers,VarDrivers,MeanBirthRate,MeanMigrationRate,VarBirthRate,VarMigRate,NumClones,NumGenotypes,NumDriverGenotypes,NumDemes,NumNon-EmptyDemes,MatrixColumns,DriverMatrixColumns,EverGenotypes,CellsWith0Drivers,CellsWith1Drivers,CellsWith2Drivers,CellsWith3Drivers,CellsWith4Drivers,CellsWith5Drivers,CellsWith6Drivers,CellsWith7Drivers,CellsWith8Drivers,CellsWith9Drivers,CellsWith10Drivers,DriverDiversity,DriverEdgeDiversity,DriverAlphaDiversity,DriverDiversityFrom1SamplesAtDepth0,DriverDiversityFrom1SamplesAtDepth1,DriverDiversityFrom1SamplesAtDepth2,DriverDiversityFrom1SamplesAtDepth3,DriverDiversityFrom1SamplesAtDepth4,DriverDiversityFrom1SamplesAtDepth5,DriverDiversityFrom1SamplesAtDepth6,DriverDiversityFrom1SamplesAtDepth7,DriverDiversityFrom1SamplesAtDepth8,DriverDiversityFrom1SamplesAtDepth9,DriverDiversityFrom1SamplesAtDepth10,DriverDiversityFrom1RandomSamples,DriverDiversityFrom1BigSamplesAtDepth0,DriverDiversityFrom1BigSamplesAtDepth1,DriverDiversityFrom1BigSamplesAtDepth2,DriverDiversityFrom1BigSamplesAtDepth3,DriverDiversityFrom1BigSamplesAtDepth4,DriverDiversityFrom1BigSamplesAtDepth5,DriverDiversityFrom1BigSamplesAtDepth6,DriverDiversityFrom1BigSamplesAtDepth7,DriverDiversityFrom1BigSamplesAtDepth8,DriverDiversityFrom1BigSamplesAtDepth9,DriverDiversityFrom1BigSamplesAtDepth10,DriverDiversityFrom1BigRandomSamples,DriverDiversityFrom2SamplesAtDepth0,DriverDiversityFrom2SamplesAtDepth1,DriverDiversityFrom2SamplesAtDepth2,DriverDiversityFrom2SamplesAtDepth3,DriverDiversityFrom2SamplesAtDepth4,DriverDiversityFrom2SamplesAtDepth5,DriverDiversityFrom2SamplesAtDepth6,DriverDiversityFrom2SamplesAtDepth7,DriverDiversityFrom2SamplesAtDepth8,DriverDiversityFrom2SamplesAtDepth9,DriverDiversityFrom2SamplesAtDepth10,DriverDiversityFrom2RandomSamples,DriverDiversityFrom2BigSamplesAtDepth0,DriverDiversityFrom2BigSamplesAtDepth1,DriverDiversityFrom2BigSamplesAtDepth2,DriverDiversityFrom2BigSamplesAtDepth3,DriverDiversityFrom2BigSamplesAtDepth4,DriverDiversityFrom2BigSamplesAtDepth5,DriverDiversityFrom2BigSamplesAtDepth6,DriverDiversityFrom2BigSamplesAtDepth7,DriverDiversityFrom2BigSamplesAtDepth8,DriverDiversityFrom2BigSamplesAtDepth9,DriverDiversityFrom2BigSamplesAtDepth10,DriverDiversityFrom2BigRandomSamples,DriverDiversityFrom4SamplesAtDepth0,DriverDiversityFrom4SamplesAtDepth1,DriverDiversityFrom4SamplesAtDepth2,DriverDiversityFrom4SamplesAtDepth3,DriverDiversityFrom4SamplesAtDepth4,DriverDiversityFrom4SamplesAtDepth5,DriverDiversityFrom4SamplesAtDepth6,DriverDiversityFrom4SamplesAtDepth7,DriverDiversityFrom4SamplesAtDepth8,DriverDiversityFrom4SamplesAtDepth9,DriverDiversityFrom4SamplesAtDepth10,DriverDiversityFrom4RandomSamples,DriverDiversityFrom4BigSamplesAtDepth0,DriverDiversityFrom4BigSamplesAtDepth1,DriverDiversityFrom4BigSamplesAtDepth2,DriverDiversityFrom4BigSamplesAtDepth3,DriverDiversityFrom4BigSamplesAtDepth4,DriverDiversityFrom4BigSamplesAtDepth5,DriverDiversityFrom4BigSamplesAtDepth6,DriverDiversityFrom4BigSamplesAtDepth7,DriverDiversityFrom4BigSamplesAtDepth8,DriverDiversityFrom4BigSamplesAtDepth9,DriverDiversityFrom4BigSamplesAtDepth10,DriverDiversityFrom4BigRandomSamples,maxgen,gen_adj,SmoothNumCells,SmoothRadius,GrowthRate,RadiusGrowthRate,mean_autocor,log_mean_autocor,sqrt_mean_autocor,skewness,Population,Parent,Identity,DriverIdentity,DriverMutations,MigrationMutations,Immortal,PassengerMutations,BirthRate,MigrationRate,OriginTime,Descendants,pop_size,VAF,Diversity,Diversity2,DriverMutationDiversity
512,0,0.001457678,0,1,1e-06,0,0,0.9,0,0.05,0,0,10,10,1,2000,100,1208.812134,1e+06,343288553,342288554,500144,0,1.441663,0,0.438905,1.27934,0.001457678,0.03639897,0,2415,30,30,2115,2064,99,99,744,480,652742,251722,94747,309,0,0,0,0,0,0,2.190332,1.014993,1.048305,1,1,1,1,1.999748,1,1,1,1.195886,1,1,2.085941,1,1,1.993248,2,2.563556,1.995569,1.999527,1.998686,1.094032,1,1,2.148689,1,1,1.545338,1.6,2.147518,3.989822,4.039643,1.999522,1.094706,1,1,2.125794,1,1,1,1,1.935763,1,1.191354,1,1.744298,1.002561,1,2.348355,1,1,2.026257,1.999994,2.593103,2.038756,2.276252,2.0028,1.338449,1.002554,1,2.150857,1,1,1.562762,1.601153,2.058895,3.982607,4.549773,2.066416,1.280012,1,1,2.162704,1208.812134,1,1010519.25752658,567.149248302251,2668.91674572433,0.749309816604165,0.0492458900069696,-3.01092936648146,0.221914150082796,1.85146753798128,480,0,0,0,0,0,1,0,1,0.001458,0,1e+06,1e+06,1,2.19033211453876,2.19033472176713,2.88808968485651
512,0,0.001457678,0,1,1e-06,0,0,0.9,0,0.05,0,0,10,10,1,1001,100,1773.584961,1e+06,501231984,500231985,731008,0,1.043367,0,0.213098,1.221029,0.001457678,0.01113048,0,2575,37,37,2127,2078,125,125,1000,85806,785021,129173,0,0,0,0,0,0,0,0,3.648454,3.462987,1.066383,1,1,1,1,1.0202,1,1.138859,1,1.045953,1.14969,1.021274,3.405995,1.084953,1.994475,2,1.999796,1.999949,1.999167,2.131257,2.553798,2.865735,1.998049,1.021388,3.432298,2.046795,3.991462,3.681374,3.99868,3.883403,2.643371,2.785041,2.89628,2.836865,1.562162,1.196322,3.745318,1,1,1,1.002628,1.009412,1,1.316535,1.009709,1.275627,1.806041,1.228164,3.879518,1.585084,1.998445,1.999999,2.391449,2.009307,1.996725,2.28745,2.677949,3.095849,1.832723,1.231755,3.732639,3.50675,3.997004,3.834664,3.925954,3.764618,2.858047,2.956688,3.080559,2.988927,1.390184,1.515066,3.609043,1773.584961,1,907344.186259473,537.416621121621,1387.14902121525,0.410870247600838,0.026398123620829,-3.63446234632441,0.162474993832371,0.787964216496094,85806,0,0,0,0,0,1,0,1,0.001458,0,1e+06,1e+06,1,3.64845395852817,3.64846362132575,3.10862807841376
512,0,0.001457678,0,1,1e-06,0,0,0.9,0,0.05,0,0,10,10,1,4002,100,1715.275146,1e+06,526125735,525125736,766827,0,1.535317,0,0.601291,1.229116,0.001457678,0.01503115,0,2613,49,49,2133,2076,138,138,1047,142544,213320,610411,33725,0,0,0,0,0,0,0,4.342236,2.638637,1.06697,1,1,1,1.453858,1,1,1,1,1,1.950078,1.292324,4.549591,2,1.997373,1.993248,2.303305,1.993248,2,2,1.997141,2,1.637001,1.219512,4.746085,3.580562,3.995008,3.990022,2.970165,2.612541,2.666667,2.452894,1.995378,2.675496,2.067651,1.219512,4.686859,1,1,1,1.89521,1,1,1,1,1,1.974076,1.357615,4.321036,1.980396,1.992389,2.042985,3.2202,2.082139,2.00965,1.999999,1.999732,1.999488,1.55688,1.360421,4.343388,3.73814,3.991312,4.265641,3.643514,2.672459,2.673061,2.541421,1.999844,2.695929,2.088814,1.272246,4.333889,1715.275146,1,927177.763521581,543.258546530744,1358.47717880337,0.398015242315086,0.0228518097140672,-3.7787249650377,0.151168150461885,1.62791243387456,142544,0,0,0,0,0,1,0,1,0.001458,0,1e+06,1e+06,1,4.34223588869756,4.3422504015372,4.35981338837814
512,0,0.001457678,0,1,1e-06,0,0,0.9,0,0.05,0,0,10,10,1,6003,100,1459.152832,1e+06,429103360,428103361,626449,0,1.624779,0,0.662688,1.353363,0.001457678,0.040061,0,2519,21,21,2131,2088,105,105,822,79364,342258,461613,107765,9000,0,0,0,0,0,0,2.956985,1.705127,1.05518,1,1,1,1.675603,1,1,1.022219,1.0202,1,1,1,3.238342,1.550459,2.086785,2,1.834862,1,1,1.993037,2.039984,2.397794,1.999463,1,3.179145,1.722519,2.021958,2.989537,1.782618,1,1,2.560089,2.683907,2.833965,2.287969,1,3.129646,1,1,1,1.824295,1,1,1.057922,1.673234,1,1,1.269281,2.916132,1.962221,2.376007,1.999997,1.790039,1,1,1.988953,2.502186,2.311317,1.999933,1.254591,2.871043,1.601823,2.187531,2.613875,1.744536,1,1,2.242748,2.87804,2.886328,2.233556,1.235922,3.00567,1459.152832,1,1025851.66736709,571.435672216106,2480.13206019188,0.6907760427939,0.0362777172126644,-3.31655157708572,0.190467102704547,1.19016490085469,79364,0,0,0,0,0,1,0,1,0.001458,0,1e+06,1e+06,1,2.95698503531239,2.95699082210497,3.15714707375644
512,0,0.001457678,0,1,1e-06,0,0,0.9,0,0.05,0,0,10,10,1,4,100,1553.346313,1e+06,409418794,408418795,597733,0,1.843279,0,0.409492,1.380226,0.001457678,0.02803496,0,2440,26,26,2115,2068,114,114,816,31979,199450,661884,106687,0,0,0,0,0,0,0,2.986228,2.882783,1.047183,1,1,1,1,1.873361,1,1,1,1,1.35809,1,3.004808,2,1.997373,1.997373,1.993248,1.740365,1,1,1,1,1.999075,1,2.598078,1.856413,2.674973,1.999332,1.999986,2.346653,1.660353,1.606458,1.575107,1.104112,1.919088,1.047718,3.285151,1,1.675367,1.002577,1,1.788084,1.182898,1,1,1,1.970329,1.044259,2.961366,1.988198,2.544379,1.999046,1.997936,2.060224,1.090551,1,1,1,1.810628,1.058119,2.915244,2.050945,2.613909,2.007771,2.049367,2.487005,1.710883,1.615193,1.593649,1.087452,1.748058,1.159589,2.914627,1553.346313,1,867762.885718963,525.563987909862,1954.7876682376,0.592046907816079,0.0322984725076964,-3.43273534065517,0.179717757908606,1.45037749692127,31979,0,0,0,0,0,1,0,1,0.001458,0,1e+06,1e+06,1,2.98622747568933,2.9862334070341,3.48491075497301
512,0,0.001457678,0,1,1e-06,0,0,0.9,0,0.05,0,0,10,10,1,19005,100,1969.650146,1e+06,615028630,614028631,896061,0,1.132371,0,1.029013,1.144875,0.001457678,0.01985057,0,2757,47,47,2146,2080,151,151,1262,332975,317936,240682,100557,7850,0,0,0,0,0,0,6.263753,1.444429,1.087426,1,1,1,1.367615,1,1,1,1,1,1,1,5.524862,1.059946,1.999114,1.997373,2.363787,1.995378,2.354069,2.059683,1.999167,1.994475,1,1,7.168459,1.020476,1.603458,1.611378,3.971784,4.24546,4.722776,2.921813,2.32585,1.649561,1,1,7.103534,1,1,1,1.604623,1.01172,1,1,1.229988,1,1,1.007203,5.635644,1.981719,1.999879,1.996291,2.459026,2.127574,2.648463,2.473529,2.219863,2.116248,1.006224,1.009633,6.180049,1.599334,1.601027,1.619824,4.034151,4.790762,5.385521,3.452646,2.607057,1.705774,1.004286,1.013664,6.479679,1969.650146,1,982637.630603247,559.270303482346,1113.04291671611,0.316793489099063,0.00920116590717302,-4.68842507391604,0.0959227079849866,1.3172332265135,332975,0,0,0,0,0,1,0,1,0.001458,0,1e+06,1e+06,1,6.26375343734439,6.2637864084046,3.89141799392175
512,0,0.001457678,0,1,1e-06,0,0,0.9,0,0.05,0,0,10,10,1,4006,100,1723.425415,1e+06,492065254,491065255,717768,0,1.752869,0,1.064355,1.195759,0.001457678,0.01528663,0,2635,34,34,2148,2086,124,124,973,146929,234779,347500,260078,10714,0,0,0,0,0,0,6.595782,2.780668,1.071153,1,1,1,1,1,1,1,1.907669,1,1,1.700102,6.188119,2,1.575107,2.30259,2.099738,1.997373,1.994475,1.994475,2.88226,1,1,1.854599,6.35324,1.881591,2.947397,2.841046,4.091025,4.036142,4.010662,3.993652,3.643485,1.884325,1.015665,1.798197,6.41334,1.264646,1.129133,1.043988,1.011961,1.162573,1.524475,1,1.958672,1,1,1.979626,6.259311,2.260148,2.044653,2.502162,2.125806,2.123342,2.440292,2.225854,2.895022,1.004914,1.257426,1.975435,6.904623,2.283543,2.983675,2.964533,4.719573,4.407407,4.425296,4.631264,3.577119,1.841276,1.130332,1.985419,6.438471,1723.425415,1,974694.780650493,557.005372229747,1724.28633944121,0.492748265243278,0.0173450488429928,-4.05444818259479,0.131700603047187,0.0811086187122659,146929,0,0,0,0,0,1,0,1,0.001458,0,1e+06,1e+06,1,6.59578163582833,6.59581854462552,4.20038244280105
512,0,0.001457678,0,1,1e-06,0,0,0.9,0,0.05,0,0,10,10,1,11007,100,1425.050659,1e+06,362766467,361766468,529044,0,1.048388,0,0.078547,1.218755,0.001457678,0.006129355,0,2261,22,22,2129,2071,89,89,727,16240,919142,64608,10,0,0,0,0,0,0,0,2.024512,1.75872,1.02442,1,1,1,1,1,1,1.195886,1,1,1.342282,1,1.909855,1.645331,2.039984,2.027304,1.997829,1.999938,1.999946,2.292264,2,2,1.104972,1,1.9393,1.979581,2.041751,2.564724,1.999652,1.999774,1.999987,2.118218,2.724785,2.724608,1.061797,1,2.00105,1,1,1,1,1,1,1.795678,1.002418,1,1.834743,1.028752,1.941883,2.247488,2.107675,2.244578,1.978138,1.982428,1.997531,2.613462,2.06274,2.186357,1.561207,1.01297,1.976904,2.007748,2.059537,2.458162,1.997444,1.990304,1.996723,2.339326,2.967913,2.743689,1.396825,1.013605,1.991019,1425.050659,1,982522.35198099,559.237496983257,2515.56944518262,0.716349586758613,0.0335631007454029,-3.39432800756887,0.183202349180907,0.757519064559277,16240,0,0,0,0,0,1,0,1,0.001458,0,1e+06,1e+06,1,2.02451162919049,2.0245137033304,2.65510140416405
512,0,0.001457678,0,1,1e-06,0,0,0.9,0,0.05,0,0,10,10,1,5008,100,1240.740845,1e+06,295369891,294369892,430479,0,1.14233,0,0.127312,1.271652,0.001457678,0.003229065,0,2316,24,24,2118,2075,72,72,592,2620,852430,144950,0,0,0,0,0,0,0,0,1.368252,1.02649,1.030041,1,1,1,1,1,1,1.9992,1,1.999748,1,1.27421,1.22971,1,1,1,1,1,1.022344,3.354017,2,2.575606,1.995569,1.18786,1.598593,1,1,1,1.015189,1,1,2.158799,3.355523,3.554025,2.915887,1.172316,1.349892,1,1,1,1,1,1,1.978756,1.041547,2.04023,1.009627,2.189969,1.460088,1,1,1,1,1,1.001278,4.027477,2.033743,2.698944,2.002953,2.209531,1.354761,1,1,1,1.034451,1.004208,1.000619,2.310065,3.375624,3.53922,2.855613,2.22937,1.361399,1240.740845,1,1062346.33247283,581.511255417466,4460.11631010518,1.22139183756042,0.0488713435442354,-3.01856407586935,0.221068639893214,1.65504319250961,2620,0,0,0,0,0,1,0,1,0.001458,0,1e+06,1e+06,1,1.36825166957192,1.36825217343357,2.29595931135876
512,0,0.001457678,0,1,1e-06,0,0,0.9,0,0.05,0,0,10,10,1,18009,100,1771.856689,1e+06,529971120,528971121,773838,0,0.966775,0,0.497277,1.210028,0.001457678,0.0359567,0,2692,46,46,2130,2077,129,129,1059,265602,502222,231975,201,0,0,0,0,0,0,0,5.746597,2.116184,1.071684,1,1.531369,1,1.907669,1.853733,1.393146,1,1.190997,1,1,1.465183,5.34188,1.780234,2.246917,2.059538,2.567724,2.510959,2.68254,2,2.102074,1.998089,1.999536,1.519288,5.793743,1.706599,2.858044,2.767862,2.944966,2.889754,4.113742,2.72015,2.622707,2.734501,1.999885,1.529039,5.906239,1,1.742037,1,1.646573,1.9385,2.066813,1.131505,1.321131,1.251335,1,1.467218,5.683756,1.831011,2.533315,2.182147,2.563576,2.649615,4.065831,2.164775,2.253212,2.246178,1.995809,1.467553,5.717487,1.43492,2.879488,3.142593,3.021606,3.076488,4.415809,2.92919,2.653801,2.711963,2.092536,1.724954,5.691945,1771.856689,1,952283.058101904,550.564357581533,1376.3408887249,0.397978512989985,0.0191160212158662,-3.95722848841822,0.138260700185795,1.89699770813878,265602,0,0,0,0,0,1,0,1,0.001458,0,1e+06,1e+06,1,5.74659691746734,5.7466241944033,3.15581765873064
